metadata,Category
study_id,Others
read_length_bp,sequencing
latitude_deg,collection infomation
longitude_deg,collection infomation
depth_m,collection infomation
altitude_m,collection infomation
elevation_m,collection infomation
adiv_observed_otus,alpha diver
adiv_chao1,alpha diver
adiv_shannon,alpha diver
adiv_faith_pd,alpha diver
technology_GAIIx,sequencing
technology_HiSeq,sequencing
technology_MiSeq,sequencing
extraction_center_ANL-Chicago,sequencing
extraction_center_Barnard,sequencing
extraction_center_CCME-Boulder,sequencing
extraction_center_LBNL-Berkeley,sequencing
extraction_center_NIG-Japan,sequencing
sample_scientific_name_Thalassia testudinum,Others
sample_scientific_name_activated carbon metagenome,Others
sample_scientific_name_air metagenome,Others
sample_scientific_name_algae metagenome,Others
sample_scientific_name_bat metagenome,Others
sample_scientific_name_biofilm metagenome,Others
sample_scientific_name_bovine gut metagenome,Others
sample_scientific_name_coral metagenome,Others
sample_scientific_name_ecological metagenomes,Others
sample_scientific_name_estuary metagenome,Others
sample_scientific_name_fish metagenome,Others
sample_scientific_name_freshwater metagenome,Others
sample_scientific_name_freshwater sediment metagenome,Others
sample_scientific_name_groundwater metagenome,Others
sample_scientific_name_gut metagenome,Others
sample_scientific_name_human gut metagenome,Others
sample_scientific_name_human metagenome,Others
sample_scientific_name_human nasal/pharyngeal metagenome,Others
sample_scientific_name_human oral metagenome,Others
sample_scientific_name_human skin metagenome,Others
sample_scientific_name_hydrocarbon metagenome,Others
sample_scientific_name_hydrothermal vent metagenome,Others
sample_scientific_name_hypersaline lake metagenome,Others
sample_scientific_name_indoor metagenome,Others
sample_scientific_name_insect metagenome,Others
sample_scientific_name_marine metagenome,Others
sample_scientific_name_marine sediment metagenome,Others
sample_scientific_name_metagenomes,Others
sample_scientific_name_microbial mat metagenome,Others
sample_scientific_name_mine drainage metagenome,Others
sample_scientific_name_organismal metagenomes,Others
sample_scientific_name_permafrost metagenome,Others
sample_scientific_name_primate metagenome,Others
sample_scientific_name_rat metagenome,Others
sample_scientific_name_rhizosphere metagenome,Others
sample_scientific_name_root metagenome,Others
sample_scientific_name_seawater metagenome,Others
sample_scientific_name_sediment metagenome,Others
sample_scientific_name_skin metagenome,Others
sample_scientific_name_soil metagenome,Others
sample_scientific_name_upper respiratory tract metagenome,Others
host_scientific_name_Acropora,collection infomation
host_scientific_name_Acropora yongei,collection infomation
host_scientific_name_Anthopleura elegantissima,collection infomation
host_scientific_name_Aphis gossypii,collection infomation
host_scientific_name_Apinae,collection infomation
host_scientific_name_Apis mellifera,collection infomation
host_scientific_name_Ateles geoffroyi,collection infomation
host_scientific_name_Balaenoptera acutorostrata,collection infomation
host_scientific_name_Balaenoptera physalus,collection infomation
host_scientific_name_Blattellinae,collection infomation
host_scientific_name_Bos taurus,collection infomation
host_scientific_name_Canis lupus familiaris,collection infomation
host_scientific_name_Cannabis sativa,collection infomation
host_scientific_name_Carollia castanea,collection infomation
host_scientific_name_Carollia perspicillata,collection infomation
host_scientific_name_Carollia sowelli,collection infomation
host_scientific_name_Catostomus,collection infomation
host_scientific_name_Catostomus discobolus,collection infomation
host_scientific_name_Chiroxiphia lanceolata,collection infomation
host_scientific_name_Choloepus hoffmanni,collection infomation
host_scientific_name_Cicadellidae,collection infomation
host_scientific_name_Clamator glandarius,collection infomation
host_scientific_name_Columba livia,collection infomation
host_scientific_name_Columbidae,collection infomation
host_scientific_name_Columbina passerina,collection infomation
host_scientific_name_Columbina talpacoti,collection infomation
host_scientific_name_Coracias garrulus,collection infomation
host_scientific_name_Corvus monedula,collection infomation
host_scientific_name_Crotalus viridis viridis,collection infomation
host_scientific_name_Delisea pulchra,collection infomation
host_scientific_name_Delphinus delphis,collection infomation
host_scientific_name_Drosophila immigrans,collection infomation
host_scientific_name_Ecklonia radiata,collection infomation
host_scientific_name_Formicidae,collection infomation
