name,SAFE total score,number of enriched nodes,number of enriched samples,SAFE enriched score,enriched abundance ratio,enriched SAFE score ratio
unclassfied_f:Chitinophagaceae,223.96431477065283,367,785,214.37112365562547,0.8667125944995377,0.9571664301750432
unclassfied_c:Subdivision3,178.43760175180722,286,705,170.00001599117172,0.9488917861799218,0.9527140822461203
unclassfied_o:Cytophagales,181.97387527043745,358,797,164.33917408758583,0.8774425322232201,0.9030921270614032
"unclassfied_p:""Verrucomicrobia""",163.76892937906126,298,735,150.34746707646647,0.9268551814318404,0.9180463452165012
unclassfied_c:Gammaproteobacteria,164.55588664371726,312,510,150.33799423534157,0.6439454362760572,0.9135983968828834
unclassfied_f:Anaerolineaceae,162.77070979298733,306,716,150.04948875104924,0.9729191706730769,0.9218457604681026
unclassfied_c:Deltaproteobacteria,156.5248382264535,270,680,144.24287668484132,0.906980855238735,0.9215334659931533
"unclassfied_p:""Proteobacteria""",180.1380354956109,376,810,143.89929486825602,0.7746233357517738,0.7988279347687355
Gemmatimonas,158.05860783301367,272,651,140.81418863532423,0.8862711130359463,0.8908985759515996
unclassfied_o:Burkholderiales,155.60234725253179,317,753,135.95121120506644,0.7954005511736197,0.8737092569974352
Armatimonas/Armatimonadetes_gp1,146.00876262638937,303,609,131.90053275152076,0.7922705314009661,0.9033740878212284
unclassfied_c:Opitutae,146.7324111169337,315,761,130.18502883162012,0.9348980640740107,0.8872274901001479
unclassfied_o:Desulfuromonadales,137.40006900803905,257,682,127.35669028870198,0.90949449125081,0.9269041217239167
Latescibacteria_genera_incertae_sedis,135.1144996293615,251,669,124.15334197226267,0.9728512151748666,0.9188750453343878
"unclassfied_p:""Bacteroidetes""",167.14412874509878,380,793,122.2217866534115,0.6145405418142688,0.7312358954576527
unclassfied_f:Rhodospirillaceae,137.67953719514438,318,691,119.85458826458053,0.8463347706781654,0.8705330560103561
Ornatilinea,127.35949708454027,269,699,116.9813233545707,0.9731471535982814,0.9185127613759294
Devosia,130.108941895674,317,671,116.77332847119945,0.8802972484434626,0.8975042512053666
unclassfied_c:Spartobacteria,130.48721639958993,257,658,115.83645755928518,0.8775592945469288,0.887722650198623
Terrisporobacter,122.14079001708478,232,318,113.91038214513856,0.8683574879227053,0.9326154033325397
Intestinimonas,120.2915498342752,223,321,112.1990630759619,0.9151917404129793,0.9327260579029677
Methylibium,121.71425678796331,267,691,110.64855124563101,0.9272330152891137,0.9090845572708076
unclassfied_o:Solirubrobacterales,117.90587947343735,257,565,109.9669256274446,0.7863664029214851,0.9326670232099723
Subdivision3_genera_incertae_sedis,116.74208334188889,204,570,109.89263933934967,0.9248870736523221,0.9413284069765995
unclassfied_d:Bacteria,133.37525117954675,257,681,109.44783918828543,0.6802034329307056,0.8206008102728836
Nocardioides,115.68874915882012,194,205,108.80373630479151,0.5532433750609657,0.9404867551590803
unclassfied_f:Parachlamydiaceae,123.14784606558246,254,672,106.37476532380037,0.8559027777777778,0.8637972057355386
Roseburia,111.5677997377187,199,308,104.76905728856346,0.9196153846153846,0.9390617860606896
Gp16,114.8673309455989,184,531,104.51089951133501,0.8396281231841952,0.9098400620175576
unclassfied_c:Acidobacteria_Gp3,117.94332229711921,216,610,103.96224550271262,0.9373144176839326,0.8814593609701286
Pelolinea,111.58050368790455,261,702,103.2754725476482,0.9400921658986175,0.9255691553115241
Labilithrix,121.10485295025799,245,592,103.11396714468106,0.8622862286228623,0.8514437252736153
unclassfied_f:Ectothiorhodospiraceae,110.23913713861876,256,583,102.22300518822908,0.8766999093381687,0.9272841555326227
Gp3,114.50941020980297,220,583,101.50288701772736,0.9078876826162713,0.8864152459763334
unclassfied_p:Cyanobacteria/Chloroplast,113.72702943241434,282,389,101.34436136110529,0.4630552593205215,0.8911193923457938
unclassfied_f:Geobacteraceae,111.07400517252033,246,682,100.35356748821326,1.0,0.9034838289331868
Niastella,111.17097029572378,222,557,99.48518067353552,0.9136359451247583,0.8948845225412434
Aquisphaera,110.02671392153705,286,681,99.37855645449886,0.884272997032641,0.9032220713723063
Streptomyces,107.82358076677875,266,636,98.52256933980897,0.8918308040038747,0.9137386148667446
Prosthecobacter,113.37814346708933,261,711,98.46211415726968,0.87974314068885,0.8684399933383159
Conexibacter,119.64376736243744,360,800,98.16103873020509,0.8179271708683473,0.8204442311887872
Anaerococcus,106.04521904275504,200,297,97.89084577472713,0.6024054585405343,0.9231047534095785
