other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
empo_1_Host-associated,1.809111372379759e-74,7.283610777284841e-67,3.193481226986884e-109,123.20819112627986
env_material_feces,2.930900940293738e-68,6.754977453137233e-57,9.361515314058566e-43,36.86006825938566
empo_3_Animal distal gut,1.49538978082716e-67,7.814394477598628e-56,3.763381756194659e-42,36.51877133105802
Mogibacterium,1.954893158580643e-67,1.0107268146035672e-62,2.952335248675015e-47,40.955631399317404
unclassfied_f:Lachnospiraceae,1.3730781229079634e-64,1.9918966446341547e-63,5.967662865186741e-42,38.56655290102389
extraction_center_CCME-Boulder,8.595723849383048e-62,2.7443112554044537e-72,3.7922122199131033e-81,117.06484641638227
Prevotella,2.8955585958200928e-61,4.484091183516878e-59,1.2167001408095316e-41,33.44709897610921
Peptoniphilus,6.2484921474979e-61,5.593986035253238e-57,5.578251471653999e-39,42.32081911262799
Ruminococcus,3.35087400224175e-59,1.1137477450483026e-57,3.846983320443274e-37,32.42320819112628
Peptostreptococcaceae_incertae_sedis,9.136602569469788e-58,6.099993613220901e-45,2.2100757342772645e-39,34.129692832764505
envo_biome_3_dense settlement biome,2.967434049969575e-57,4.6317268409777815e-73,4.772656851907702e-74,99.65870307167235
Intestinimonas,2.054930954825981e-56,1.9995705884189913e-69,7.966575849830503e-49,56.31399317406144
Roseburia,8.838728519551772e-56,4.6623463961215515e-64,2.3661596958508935e-47,51.877133105802045
Finegoldia,3.8227950281495863e-53,3.557165180528883e-53,1.7382337203154162e-35,41.63822525597269
Clostridium_XlVb,5.0591391674156865e-53,9.74060874241938e-53,3.6936858042002813e-37,33.78839590443686
envo_biome_4_urban biome,1.1395275947955095e-52,7.235606349558147e-71,1.8309802186846302e-70,97.26962457337885
env_biome_urban biome,1.1395275947955095e-52,7.235606349558147e-71,1.8309802186846302e-70,97.26962457337885
Acetanaerobacterium,2.703242128480499e-52,1.3216090898060402e-55,1.0511339927478399e-40,41.979522184300336
sample_scientific_name_gut metagenome,1.505188254442902e-51,6.543517098923459e-57,8.194722422862851e-44,37.54266211604095
Flavonifractor,2.5069776787426565e-50,1.5446704112053793e-46,7.0429715135787085e-34,31.399317406143346
Sutterella,4.551756699661543e-49,5.280377409598167e-26,4.6540412693883534e-30,29.692832764505116
Dialister,2.3388563315084315e-48,1.5939580625630192e-49,2.951797734480683e-33,30.37542662116041
env_feature_human-associated habitat,2.923872155639e-48,1.7393918111537163e-61,8.164837236846574e-41,40.61433447098976
Alistipes,1.9404894096078794e-47,3.8305774064935103e-50,3.870875725584032e-33,32.76450511945392
host_scientific_name_Homo sapiens,7.505526258701368e-47,6.725299440820722e-61,1.3791272530680544e-40,40.61433447098976
Clostridium_IV,8.572363397156492e-47,1.6904806756967033e-48,1.7116048565525586e-32,32.42320819112628
Pseudobacteroides,1.74522529928649e-46,2.769335561397809e-31,1.438026214263845e-29,25.938566552901023
unclassfied_f:Ruminococcaceae,2.101635806688436e-46,7.987648697628831e-50,3.072618220344504e-31,29.351535836177472
Anaerococcus,3.4027529078024025e-46,6.271563210757728e-50,3.003917162456254e-38,48.122866894197955
Asaccharobacter,7.853513846777993e-46,1.0298908467791409e-26,2.3092947160909744e-27,25.597269624573375
Catonella,7.853513846777993e-46,7.235680958100252e-30,8.475859316324445e-33,25.597269624573375
Clostridium_XlVa,8.388150956286931e-46,1.2225048858716215e-49,9.070636073238336e-31,27.986348122866893
