n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps0,179,empo_1_Host-associated,0.004015610205950718,1.3081465110042625e-62,1.228393193642625e-08,2.997059126763919e-11,0.9039072602534723,41.27423822714682
comps0,179,country_GAZ:Germany,3.3411653766085647e-19,4.149317920775509e-37,,7.607671736195909e-10,,74.22680412371135
comps0,179,Clostridium_sensu_stricto,0.001054833209671801,5.48577951311991e-16,0.44430985098491216,2.8566959787845435e-08,0.1142007289111534,42.25352112676056
comps0,179,host_scientific_name_Homo sapiens,1.4398058731993689e-22,3.666898687051581e-66,0.018491765590176144,3.3716036539802895e-06,0.002496908915141548,83.19327731092437
comps0,179,Intestinimonas,2.8536391919617936e-29,2.264547724305529e-82,0.09934224785346528,3.6949801889359336e-06,0.9445432110434201,76.36363636363637
comps0,179,env_feature_human-associated habitat,4.894921200025626e-23,6.265696944178496e-68,0.017960477526078766,1.0550962375694686e-05,0.0026997960632601866,84.03361344537815
comps0,179,Terrisporobacter,2.2043941066898688e-23,6.749651982915111e-28,,0.00015255189226258176,,53.125
comps0,179,Falsochrobactrum,1.4228598642311266e-05,1.4044856919335395e-08,,0.0014722534751929273,,61.111111111111114
comps0,179,unclassfied_o:Clostridiales,8.398130399354159e-28,1.3629377281117858e-50,,0.00195461621338954,,71.85185185185186
comps0,179,Neorickettsia,0.0021692299296195974,0.004300321929411875,,0.0031323203525904946,,40.625
comps0,179,Filibacter,9.771900950877882e-05,3.8103498925851446e-11,,0.0035004758217558195,,82.6086956521739
comps0,179,unclassfied_f:Dermabacteraceae,3.626520305189203e-08,1.417131504766677e-16,,0.004065831088982607,,75.0
comps0,179,sample_scientific_name_organismal metagenomes,0.0008413006145172123,0.004783625571129059,0.07442789118664107,0.004879669133096687,0.3364168335882751,28.703703703703702
comps0,179,Faecalibacterium,3.064760418087318e-17,6.329738615830711e-43,0.016309171877754974,0.004948236357371319,0.022824427925560963,78.125
comps0,179,Flavonifractor,5.845915933170453e-21,8.200476728129248e-68,0.028752431558545056,0.005134700977774764,0.0832645166635504,94.56521739130434
comps0,179,Sharpea,0.013649542077527613,9.567791365662372e-05,,0.005478553242547366,,69.23076923076923
comps0,179,Dialister,8.819000949281991e-24,7.271470207420478e-67,,0.005743491819187484,,96.62921348314607
comps0,179,Facklamia,0.0024057953920242105,1.4046306386726443e-15,0.011656686132397214,0.005910608131453188,0.5453496680111236,54.054054054054056
comps0,179,Thermoactinomyces,0.019336387489367557,6.613957456145658e-08,0.920344325445942,0.00656165010312273,0.48401121808406355,47.16981132075472
comps0,179,Promicromonospora,4.272547812263216e-06,0.010411714557470687,,0.006776162596028781,,30.37974683544304
comps0,179,Megasphaera,3.1444410929789408e-15,8.904231432517513e-43,,0.006802258021965918,,95.16129032258065
comps0,179,Gordonia,4.066329950284424e-06,5.6650728204592936e-14,,0.008664896726025113,,80.64516129032258
comps0,179,Campylobacter,0.00042726896583178116,3.517821892588328e-37,0.04860657067343578,0.008817563785773965,0.937947456842939,72.72727272727273
comps0,179,Oceanobacillus,0.013649542077527613,0.001597252550882631,,0.009374768459434876,,52.94117647058824
comps0,179,envo_biome_2_anthropogenic terrestrial biome,1.4068737936012166e-34,2.989632653953927e-70,0.2550360413016657,0.009604918955178558,0.8542160353446095,42.5
comps0,179,Anaerorhabdus,5.365051919957998e-07,2.676579977745629e-14,,0.009761310469311573,,75.67567567567568
comps0,179,unclassfied_f:Sporolactobacillaceae,0.0001920122390261313,1.0809501660865708e-05,,0.010803684532845371,,53.125
comps0,179,Anaerobiospirillum,3.5638216205273506e-12,4.774277608376668e-19,,0.013872503827574448,,63.1578947368421
comps0,179,Pontibaca,0.0001920122390261313,3.2905723928022928e-06,,0.014352114721675885,,56.666666666666664
comps0,179,host_scientific_name_Varanus komodoensis,1.0319261613308049e-06,0.043595842931119476,,0.015315890867372665,,26.732673267326735
comps0,179,Oceanisphaera,2.614155767726324e-09,7.668547164162109e-15,,0.015922615445057287,,63.793103448275865
comps0,179,Clostridium_XlVa,1.0754998222862932e-21,1.1747065076875981e-62,,0.016180679073871402,,97.5609756097561
comps0,179,Tahibacter,0.001154850245697764,0.02767353677281063,,0.016511265453754816,,32.55813953488372
comps0,179,Akkermansia,2.625481949317539e-16,1.8621787375182741e-47,,0.016703403847161492,,96.92307692307692
comps0,179,Negativicoccus,1.478939141743614e-11,4.1175986128673175e-32,,0.017451044827930712,,93.87755102040816
comps0,179,Clostridium_IV,1.0381254456878357e-24,5.02419180206229e-66,,0.019239277765691294,,93.6842105263158
comps0,179,Clostridium_III,1.0319261613308049e-06,0.00015049431003678058,,0.02036342150503642,,36.986301369863014
comps0,179,host_scientific_name_Pygathrix nemaeus,1.5454382884485184e-12,1.8621787375182741e-47,0.6777163491076792,0.030368472234253933,0.0832645166635504,92.64705882352942
