other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Gp16,1.9260914002933584e-70,2.112143989948499e-70,1.1175560564588732e-49,50.70422535211267
"unclassfied_p:""Verrucomicrobia""",4.075601800111232e-70,1.6654941458811074e-81,2.661426532085214e-62,76.76056338028168
adiv_shannon,6.93458112660091e-70,6.924521944797872e-85,8.961746010190811e-82,118.30985915492957
Subdivision3_genera_incertae_sedis,2.941870042986316e-67,8.419113683634925e-73,1.262927405868692e-51,54.5774647887324
unclassfied_f:Chitinophagaceae,1.9567727167605063e-66,5.64296060207904e-79,3.290943626146101e-74,102.8169014084507
Armatimonadetes_gp2,2.756974216120957e-64,1.5910660656922473e-67,4.88049445210847e-47,49.29577464788733
unclassfied_c:Spartobacteria,9.483213373836206e-62,2.989344298246824e-69,2.450925233104209e-55,63.02816901408451
unclassfied_f:Syntrophobacteraceae,4.53632299760099e-60,5.72677914057725e-56,5.975219814820942e-47,47.183098591549296
Gp3,2.4709208816922514e-59,4.189991029248359e-55,9.511382638215499e-53,52.816901408450704
Gemmatimonas,3.8279293266983207e-59,8.655986882071439e-69,3.3115828620131017e-57,70.07042253521126
Labilithrix,1.1797447940163489e-56,2.8123264539481184e-58,3.0041134951690913e-50,57.04225352112676
unclassfied_c:Subdivision3,1.6627052377304527e-55,1.7703991507111834e-75,3.569694977230685e-58,78.52112676056338
adiv_observed_otus,2.6775431926972597e-55,6.465607518818938e-76,1.5388982862110642e-63,77.8169014084507
adiv_faith_pd,4.892380359356084e-55,1.6538567517071064e-74,1.6076525789111614e-66,80.63380281690141
Caldilinea,8.282087667368937e-55,2.627457684834237e-59,9.908150107960319e-45,47.53521126760563
env_feature_forest soil,1.855678886004443e-52,3.3906346528072065e-25,9.369175352099202e-33,31.690140845070424
adiv_chao1,2.7784083876529777e-52,1.073920464926306e-74,1.2450778070154184e-62,75.0
Sideroxydans,8.87623086572423e-52,7.544719818213216e-43,1.7762851360461364e-40,43.66197183098591
Steroidobacter,3.624883187269556e-51,1.4301559994714778e-45,1.9969622969599656e-42,37.67605633802817
Granulibacter,2.415317198912858e-50,1.4195831340330347e-52,1.8275283651017866e-41,43.66197183098591
