n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps0,233,sample_scientific_name_soil metagenome,7.143391938176378e-06,9.602373777947506e-09,,3.337006434160914e-15,,45.08196721311475
comps0,233,Gp7,9.77653367003741e-11,3.671010108626052e-54,,9.864749090173464e-08,,88.07339449541286
comps0,233,Methanosarcina,1.9926122910206515e-06,7.533664207072699e-29,,1.6927314976849364e-06,,82.1917808219178
comps0,233,study_id,1.0684366904194949e-06,0.03985435427942069,,3.3308116275069453e-06,,28.31858407079646
comps0,233,Oligella,0.0007896513331958866,4.357169564209389e-11,,4.237251707889704e-05,,63.63636363636363
comps0,233,Methanothrix,5.298433661849866e-07,4.0252856330646885e-32,,5.142078370558977e-05,,83.33333333333334
comps0,233,env_feature_rice field,8.069401974760674e-05,1.5086239240808148e-17,,5.178789682317959e-05,,72.58064516129032
comps0,233,extraction_center_NIG-Japan,0.0001420584775300774,1.9731306597894018e-16,,5.2603756150977815e-05,,71.66666666666667
comps0,233,host_scientific_name_Oryza sativa,0.00014656647702451493,5.48409529760347e-17,,5.78379969248659e-05,,72.1311475409836
comps0,233,country_GAZ:Japan,0.00014656647702451493,5.48409529760347e-17,,6.191882402095218e-05,,72.1311475409836
comps0,233,Tepidisphaera,9.966636930177488e-07,8.179158074071552e-36,0.11504016122838738,0.00010570289697101017,1.0,73.68421052631578
comps0,233,Anaerobacter,0.0007896513331958866,8.003837908517307e-14,,0.00014872403585983505,,72.91666666666666
comps0,233,Subdivision3_genera_incertae_sedis,4.330122895330536e-17,4.3408736724734905e-80,,0.00016433069905403362,,87.09677419354838
comps0,233,Terrimonas,7.143391938176378e-06,4.285571979837861e-16,,0.0002341771965022458,,61.111111111111114
comps0,233,Methanoregula,5.241167806759042e-07,8.723734515653488e-33,,0.0002913541692737473,,83.54430379746836
comps0,233,unclassfied_o:Selenomonadales,8.014319094980457e-05,3.877420866050412e-20,,0.00043085525302813946,,77.96610169491525
comps0,233,Saccharopolyspora,0.0001498084294705541,2.51896695458178e-16,,0.0005190139373973153,,72.41379310344827
comps0,233,env_material_surface layer,0.0001420584775300774,1.0382815485171822e-12,,0.0005345883420891016,,61.42857142857143
comps0,233,Gp6,3.02552198476593e-08,1.3386072188271665e-39,,0.0005601207014078916,,85.39325842696628
comps0,233,Sphaerotilus,2.620605021905805e-07,4.0085548483020875e-34,,0.0005643374734672112,,83.9506172839506
comps0,233,unclassfied_o:Desulfuromonadales,1.4864398634634524e-11,1.0690338088892331e-26,,0.0005714244898240886,,55.434782608695656
comps0,233,WPS-1_genera_incertae_sedis,0.0020263765457746163,7.532416427323687e-33,1.0,0.0006464212843295641,0.880764615259515,71.29629629629629
comps0,233,Reyranella,0.042139032021912826,1.0660591949861737e-31,0.3458523926742638,0.0007286739348872129,0.6780187427259468,68.46846846846847
comps0,233,empo_3_Soil (non-saline),0.01294860235965553,5.143864459351556e-41,0.1528848492938505,0.0007956023966031675,0.09936733549674236,75.0
comps0,233,Cohnella,0.0001420584775300774,1.9731306597894018e-16,,0.0009205717482582816,,71.66666666666667
comps0,233,unclassfied_o:Methanosarcinales,0.010826332902774355,4.0495788394044974e-08,,0.0009373665082735297,,64.86486486486487
comps0,233,Melioribacter,0.046252079081390444,3.051789217685225e-40,0.0017322360551342317,0.0009391539666408265,0.9160510722818964,75.47169811320755
comps0,233,Turneriella,1.0186948077324277e-06,9.2758581202455e-28,,0.0009472217002736584,,77.77777777777779
comps0,233,Aeromicrobium,0.004054540317386858,9.628928197931751e-11,,0.0011520450981421845,,68.18181818181817
comps0,233,Gp25,2.620605021905805e-07,1.9350355946979508e-33,,0.0011653211857271327,,82.92682926829268
comps0,233,Cetobacterium,0.00025179400735493183,1.8523176442898643e-11,,0.0016863895388481054,,59.42028985507246
comps0,233,Verrucomicrobium,2.620605021905805e-07,9.907580947261012e-29,,0.0016865365153562208,,75.55555555555556
comps0,233,Paraeggerthella,0.0001498084294705541,4.484090318360603e-11,,0.0019553195212769514,,57.534246575342465
comps0,233,adiv_shannon,3.606935987805417e-39,1.3026240368758675e-99,,0.0022397247193921346,,62.797619047619044
comps0,233,unclassfied_f:Gallionellaceae,0.0002564514274369428,1.047398696145469e-21,,0.0024155571227912676,,88.88888888888889
comps0,233,Roseomonas,0.003911921815111921,3.94290212267538e-06,,0.0025107762025462065,,50.90909090909091
comps0,233,Polyangium,1.0186948077324277e-06,8.382735985790464e-31,,0.002886308534359004,,82.89473684210526
comps0,233,unclassfied_f:Cystobacteraceae,0.0038370214664476495,7.266306519744353e-10,,0.0030889386705520347,,65.9090909090909
comps0,233,unclassfied_o:Lactobacillales,0.006496042749432722,0.02317419489991661,,0.003402167851671577,,34.21052631578947
comps0,233,Segetibacter,0.0002564514274369428,1.141204418806754e-15,,0.0036105143123296027,,72.72727272727273
comps0,233,Desulfuromonas,0.00025179400735493183,0.0008426568895178632,,0.0037418723949409426,,36.283185840707965
comps0,233,empo_3_Plant rhizosphere,0.004054540317386858,5.967945910716775e-07,,0.0038344524788181166,,53.57142857142857
comps0,233,unclassfied_f:Peptococcaceae_1,0.010826332902774355,4.0495788394044974e-08,,0.004192779700997078,,64.86486486486487
comps0,233,Actinokineospora,0.002256145903641124,1.4927483059312536e-13,,0.004596482629775435,,77.5
comps0,233,Peredibacter,1.3073588568794984e-09,4.7235997678679874e-24,,0.0048074005204268916,,57.99999999999999
comps0,233,Domibacillus,4.6185517824767704e-05,1.547513870228425e-22,,0.004931664018198446,,82.45614035087719
comps0,233,country_GAZ:Canada,1.9926122910206515e-06,3.2284022838639556e-34,,0.004947560496579222,,90.9090909090909
comps0,233,extraction_center_Barnard,0.001329998408133051,3.6836588206097214e-17,,0.005063753941491427,,85.0
comps0,233,Erysipelotrichaceae_incertae_sedis,0.002256145903641124,3.7424386484033655e-07,,0.005140100654974351,,53.44827586206896
comps0,233,Clostridium_sensu_stricto,2.449668991036673e-05,0.0005367074253561422,,0.00557183248601337,,35.2112676056338
comps0,233,Anaerobiospirillum,0.0038370214664476495,0.0026525932761070938,,0.005707544613385836,,38.15789473684211
comps0,233,Terrisporobacter,1.993624420143847e-06,3.310762620741038e-06,,0.006073982924499056,,38.125
comps0,233,unclassfied_f:Burkholderiaceae,0.0001420584775300774,2.6703651785606923e-09,,0.006255867936791938,,51.80722891566265
comps0,233,Armatimonadetes_gp5,9.943035504555333e-09,1.3623441185561063e-41,0.13691121191221292,0.006911210354339814,0.44110482535611073,77.11864406779661
comps0,233,Thiocystis,0.049309986920974574,3.963731117643738e-06,,0.007632881787792299,,65.38461538461539
comps0,233,Draconibacterium,0.001329998408133051,0.007691307442395122,,0.008149386502000259,,34.69387755102041
comps0,233,unclassfied_c:Deltaproteobacteria,9.656868305372316e-06,6.987988138499486e-48,0.7495264359364809,0.00864144336923282,0.0027348850142220756,63.45177664974619
comps0,233,Hydrocarboniphaga,7.143391938176378e-06,8.690638900745695e-31,,0.00890861753420207,,90.1639344262295
comps0,233,Agromyces,0.03000034204183658,3.732647696302639e-10,,0.009789698190976399,,86.36363636363636
comps0,233,Aridibacter,2.3823251283625485e-10,1.0381480158864792e-46,,0.010087636930016632,,82.30088495575221
comps0,233,Gp4,1.1166694573963611e-10,1.1953358807094405e-52,,0.010316166299722866,,87.85046728971963
comps0,233,GpIIb,0.049309986920974574,1.7292691243628743e-06,,0.0103704040735331,,68.0
comps0,233,Kribbella,0.00041170528016236065,6.426149444462025e-21,0.08942935902899353,0.010509112881652412,0.10247043485974937,74.6268656716418
comps0,233,sample_scientific_name_ecological metagenomes,0.002256145903641124,5.071782640878546e-16,,0.011125494095222427,,86.11111111111111
comps0,233,env_material_stromatolite mat,0.0023204882565125155,1.2206755470584324e-16,,0.01133197564519805,,86.48648648648648
comps0,233,Isosphaera,4.411893533007722e-05,9.576809749079328e-20,,0.011497347982284063,,75.0
comps0,233,unclassfied_f:Syntrophobacteraceae,0.00029355830060582135,1.3983615170283387e-62,2.2998784831555165e-05,0.011702225690780646,0.0032830649171196424,81.34328358208955
comps0,233,unclassfied_f:Thermoactinomycetaceae_2,0.01832219864925143,1.1449060887889349e-10,,0.011727228417794732,,84.0
comps0,233,Formivibrio,0.03000034204183658,8.32737217576999e-06,,0.01196426142928831,,59.375
comps0,233,unclassfied_f:Geodermatophilaceae,0.004054540317386858,1.5979397482768316e-13,,0.012196684243008987,,78.94736842105263
comps0,233,Neochlamydia,9.77653367003741e-11,9.074671611609446e-58,,0.012582103604045455,,91.42857142857143
comps0,233,Chondromyces,0.00014656647702451493,6.99657257291697e-10,,0.013583914850351052,,53.01204819277109
comps0,233,env_feature_stromatolite mat,0.001329998408133051,6.905754105371671e-18,,0.013991110313447642,,87.17948717948718
comps0,233,Streptosporangium,0.001329998408133051,3.6836588206097214e-17,,0.014561229218522468,,85.0
comps0,233,Nitrococcus,0.0065448986410785144,1.4798209451225431e-08,,0.014800806626650917,,62.7906976744186
comps0,233,env_material_soil,0.007389014028434903,4.439972185160593e-43,0.1541864108577273,0.01579784720349349,0.7587401350491447,78.84615384615384
comps0,233,Roseivirga,0.0050436693545834,1.546855458690861e-19,0.05895743015624646,0.016074396776014535,0.9586501393764599,62.76595744680851
comps0,233,Tahibacter,0.0038370214664476495,3.111783853864822e-10,,0.016511265453754816,,67.44186046511628
comps0,233,Leptolinea,0.00025179400735493183,0.0002549981910235584,,0.01671195746581354,,37.96296296296296
comps0,233,Magnetospirillum,1.0684366904194949e-06,2.200200295634627e-24,,0.01810264579068305,,71.11111111111111
comps0,233,Oscillochloris,0.006496042749432722,0.002284770356950131,,0.018168866499300614,,39.39393939393939
comps0,233,Microgenomates_genera_incertae_sedis,0.0004416290119573466,3.161877451109166e-23,,0.018365176965026365,,95.0
comps0,233,Asinibacterium,1.1166694573963611e-10,3.311702042187131e-57,,0.019934393644182372,,92.15686274509804
comps0,233,unclassfied_d:Archaea,0.010826332902774355,4.625644761446167e-14,,0.02092133533779403,,92.3076923076923
comps0,233,Gimesia,4.066152888590078e-05,8.361416536942573e-08,0.8398380274485986,0.021170109122130763,0.4524688295610886,41.54929577464789
comps0,233,Leminorella,0.0004416290119573466,2.304682698139937e-10,,0.02127969640990237,,58.46153846153847
comps0,233,GpIII,0.0191118993927785,1.8611960036681888e-06,,0.021549872336261613,,57.49999999999999
comps0,233,Filomicrobium,0.0004487223570211209,1.1246637708504756e-14,,0.021569025146765463,,70.9090909090909
comps0,233,Virgibacillus,0.004054540317386858,7.823369176434957e-07,,0.022759326510606574,,52.63157894736842
comps0,233,unclassfied_o:Methanomicrobiales,8.014319094980457e-05,1.128565116479659e-28,,0.023199500703128283,,95.83333333333334
comps0,233,unclassfied_f:Pseudonocardiaceae,4.6185517824767704e-05,1.0275802055908449e-13,,0.02405488214607275,,61.038961038961034
comps0,233,Desulfacinum,0.000764679593312542,1.0378152008399848e-08,,0.024628884722588014,,54.54545454545454
comps0,233,Thiopseudomonas,0.0038370214664476495,8.54174579440752e-15,,0.025298310856926697,,85.29411764705883
