other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
env_feature_vineyard,2.0662479968205227e-66,1.2598777316946012e-47,1.4575214518485402e-42,47.27272727272727
env_biome_cropland biome,1.4762556486559784e-58,2.535983913860187e-53,6.742505577385721e-47,65.45454545454545
envo_biome_3_cropland biome,1.4762556486559784e-58,2.535983913860187e-53,6.742505577385721e-47,65.45454545454545
study_id,5.654342077827617e-58,5.647574404076617e-62,3.6882402791778757e-68,136.96969696969697
Streptophyta,1.2352122480927313e-57,4.3982601761953243e-41,9.11201253969195e-38,38.78787878787879
Methylophaga,1.2352122480927313e-57,4.212580651086003e-39,1.0185279526607408e-33,38.78787878787879
empo_3_Plant surface,1.274211742016493e-55,4.92813122062994e-46,1.2288639601817333e-36,49.696969696969695
host_scientific_name_Ecklonia radiata,1.274211742016493e-55,8.197711110380078e-46,1.2288639601817333e-36,49.696969696969695
country_GAZ:Australia,1.274211742016493e-55,5.084868197519384e-46,1.2288639601817333e-36,49.696969696969695
longitude_deg,1.6688455346495483e-55,1.1876830604151989e-48,1.6368775531879454e-42,68.48484848484848
env_feature_kelp forest,6.640980397364933e-54,4.92813122062994e-46,1.2288639601817333e-36,50.90909090909091
env_material_organic material,5.0506089922852684e-51,8.510384099918424e-53,4.252398882905116e-62,111.51515151515153
Arenicella,1.9874324054214755e-50,3.6599426346264103e-44,5.8063141602262604e-36,50.90909090909091
empo_3_Plant corpus,2.9828164408687917e-50,1.6723324735945977e-44,2.677647199849651e-40,49.696969696969695
extraction_center_ANL-Chicago,7.07381593156494e-47,5.382268201476055e-50,3.8683879852200106e-79,225.45454545454544
Hellea,5.4388710411320914e-46,1.8673049313812385e-40,2.547189096943103e-33,49.09090909090909
Aquimarina,3.9521786122056286e-44,1.1672297615383178e-31,7.890907977102057e-25,30.303030303030305
Roseibacillus,3.7853612552519405e-42,1.346070901672183e-40,8.969584316830436e-34,52.72727272727272
host_scientific_name_Phyllospora comosa,2.1451925823706955e-40,1.3792060313066285e-25,3.4404262767966626e-25,27.878787878787882
Phycisphaera,6.479101757391727e-40,1.9361435382067028e-31,4.358286953892382e-25,32.121212121212125
sample_scientific_name_algae metagenome,9.606679065174973e-40,4.976106283726463e-32,1.8309835095290418e-27,33.33333333333333
