n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps0,22,adiv_shannon,6.448259404258485e-23,1.278620373159131e-10,0.0005968698614286022,2.105791442557917e-11,0.23826747577003637,6.547619047619048
comps0,22,adiv_observed_otus,7.987438875583544e-28,1.2234905614692221e-14,,9.206638660850026e-11,,9.95475113122172
comps0,22,adiv_chao1,7.987438875583544e-28,5.212604628790959e-15,,3.907564874762364e-10,,10.328638497652582
comps0,22,Gp7,7.987438875583544e-28,6.547896557102159e-22,,1.4061804854977855e-09,,20.18348623853211
comps0,22,empo_3_Plant rhizosphere,7.987438875583544e-28,2.3019802118608687e-29,,2.8694929568731197e-09,,39.285714285714285
comps0,22,Gp6,7.987438875583544e-28,4.326550131980987e-24,,8.711417720989179e-09,,24.719101123595504
comps0,22,Latescibacteria_genera_incertae_sedis,7.987438875583544e-28,5.357128048123609e-17,,2.2728816599573637e-08,,12.571428571428573
comps0,22,unclassfied_o:Myxococcales,5.1528757372697024e-20,7.43014781470737e-25,4.791353685302263e-05,5.730654287301404e-08,0.020660668088017444,23.655913978494624
comps0,22,Tepidisphaera,7.987438875583544e-28,1.9546742121665386e-21,,7.09537795260232e-08,,19.298245614035086
comps0,22,Haliangium,7.987438875583544e-28,1.8172341297960133e-20,,8.870218998694936e-08,,17.599999999999998
comps0,22,Armatimonadetes_gp5,7.987438875583544e-28,4.515360625329927e-21,,4.807412570568112e-07,,18.64406779661017
comps0,22,Gp25,7.987438875583544e-28,5.460711044543916e-25,,8.705973610530956e-07,,26.82926829268293
comps0,22,env_biome_cropland biome,1.513698171624844e-07,2.260633748665758e-32,6.16375574806072e-08,1.6810308959218834e-06,3.970880640890811e-12,20.37037037037037
comps0,22,envo_biome_3_cropland biome,1.513698171624844e-07,2.260633748665758e-32,6.16375574806072e-08,1.6810308959218834e-06,3.970880640890811e-12,20.37037037037037
comps0,22,extraction_center_NIG-Japan,7.987438875583544e-28,1.520729012545942e-28,,2.1368708578722147e-06,,36.666666666666664
comps0,22,host_scientific_name_Oryza sativa,7.987438875583544e-28,2.3785761478282643e-28,,2.404368176433193e-06,,36.0655737704918
comps0,22,adiv_faith_pd,7.987438875583544e-28,2.7816249186767406e-14,,2.8059926388470767e-06,,9.606986899563319
comps0,22,country_GAZ:Japan,7.987438875583544e-28,2.3785761478282643e-28,,2.997109459594428e-06,,36.0655737704918
comps0,22,env_feature_rice field,7.987438875583544e-28,3.686793029133796e-28,,5.465313499804318e-06,,35.483870967741936
comps0,22,Gp4,7.987438875583544e-28,4.1616855283926626e-22,,8.680179466127292e-06,,20.5607476635514
comps0,22,Reyranella,7.987438875583544e-28,1.0208097160650801e-21,,1.783081276267611e-05,,19.81981981981982
comps0,22,Anaerolinea,7.987438875583544e-28,2.6286438937973828e-33,,2.562308400637966e-05,,53.65853658536586
comps0,22,latitude_deg,0.00043460267820873074,0.008884840120632698,0.6642467839263452,5.027380601567759e-05,4.118633251137267e-06,5.113636363636364
comps0,22,Gp18,7.987438875583544e-28,6.324655822050027e-27,,5.2756446335537866e-05,,31.88405797101449
comps0,22,Zavarzinella,7.987438875583544e-28,2.315238696031633e-19,,5.983390560296947e-05,,15.827338129496402
comps0,22,Paucibacter,2.788224629625095e-08,0.00026116969002189125,,7.850637010519458e-05,,10.126582278481013
comps0,22,Methanosarcina,7.987438875583544e-28,2.7546799265281717e-26,,9.338558039749917e-05,,30.136986301369863
comps0,22,WPS-1_genera_incertae_sedis,7.987438875583544e-28,5.226302756586147e-22,,0.00010997912921124565,,20.37037037037037
comps0,22,Thermanaerovibrio,7.987438875583544e-28,6.931163859716264e-37,,0.00011232486485427491,,68.75
comps0,22,sample_scientific_name_freshwater sediment metagenome,2.4863149563535716e-09,0.00015637085597695142,,0.0001273506131302181,,9.473684210526317
comps0,22,empo_3_Sediment (non-saline),2.4863149563535716e-09,0.0002007702806700579,,0.00015134587316541494,,9.183673469387756
comps0,22,Anaerobacter,7.987438875583544e-28,2.942301771340332e-31,,0.00029342780773381925,,45.83333333333333
comps0,22,Magnetospirillum,7.987438875583544e-28,5.726316351151269e-24,,0.0003799792883195788,,24.444444444444443
comps0,22,env_material_rhizosphere,7.987438875583544e-28,4.0476763363192275e-39,,0.0004197846111111213,,78.57142857142857
comps0,22,sample_scientific_name_rhizosphere metagenome,7.987438875583544e-28,4.0476763363192275e-39,,0.0004197846111111213,,78.57142857142857
comps0,22,Methanothrix,7.987438875583544e-28,1.5224370977588903e-25,,0.0004317008212535608,,28.205128205128204
comps0,22,env_biome_freshwater biome,2.788224629625095e-08,0.040939919575501194,,0.0005494662557347568,,4.938271604938271
comps0,22,Methanocella,7.987438875583544e-28,4.0476763363192275e-39,,0.0005745787124990013,,78.57142857142857
comps0,22,Gp11,7.987438875583544e-28,1.9573671442253113e-27,,0.0005786969152548453,,33.33333333333333
comps0,22,envo_biome_1_terrestrial biome,0.004970652883482441,0.00010629059435417411,6.993893020482623e-05,0.0007505248269021398,0.2395251589419961,4.044943820224719
comps0,22,Pseudoduganella,7.987438875583544e-28,5.339732844284289e-31,,0.0007884262677166277,,44.89795918367347
comps0,22,unclassfied_c:Spartobacteria,7.987438875583544e-28,9.09524338010095e-17,,0.0008410296030552557,,12.290502793296088
comps0,22,unclassfied_o:Burkholderiales,2.0719291302946402e-10,0.014747310333138555,,0.0008954902959024757,,5.025125628140704
comps0,22,unclassfied_c:Acidobacteria_Gp4,4.434083827370113e-15,2.8979078560828025e-08,,0.0009034100162132915,,11.666666666666666
comps0,22,Rhizocola,7.987438875583544e-28,5.339732844284289e-31,,0.0009444426211041357,,44.89795918367347
comps0,22,Chryseolinea,7.987438875583544e-28,2.3019802118608687e-29,,0.0013938050371297144,,39.285714285714285
comps0,22,Caldanaerobacter,1.150191198084009e-25,1.1262370286066042e-35,,0.00159499361695052,,75.0
comps0,22,Opitutus,7.987438875583544e-28,5.372474700208942e-19,,0.0015951561232966506,,15.277777777777779
comps0,22,Subdivision3_genera_incertae_sedis,7.987438875583544e-28,3.077975962910163e-18,,0.001731486443395112,,14.193548387096774
comps0,22,Methanoregula,7.987438875583544e-28,2.1100443986482975e-25,,0.0018957365949298774,,27.848101265822784
comps0,22,unclassfied_f:Methanoregulaceae,1.150191198084009e-25,1.1262370286066042e-35,,0.0019107507338781981,,75.0
comps0,22,Methylibium,4.058257943906499e-22,2.2994213419568745e-12,,0.0020549585759260776,,11.65644171779141
comps0,22,env_feature_freshwater habitat,2.4863149563535716e-09,0.001327338531537004,,0.0020683255350598903,,7.199999999999999
comps0,22,Formivibrio,7.987438875583544e-28,6.931163859716264e-37,,0.0022946419486244846,,68.75
comps0,22,unclassfied_f:Candidatus_Brocadiaceae,2.788224629625095e-08,1.5753811422547335e-07,,0.002309325549132589,,25.806451612903224
comps0,22,unclassfied_f:Opitutaceae,7.987438875583544e-28,1.231733017266913e-20,,0.00234741490537968,,17.88617886178862
comps0,22,Hydrogenispora,7.987438875583544e-28,4.0476763363192275e-39,,0.002499354653217727,,78.57142857142857
comps0,22,Methanospirillum,7.987438875583544e-28,4.0476763363192275e-39,,0.002499354653217727,,78.57142857142857
comps0,22,unclassfied_c:Opitutae,7.987438875583544e-28,7.557352853312645e-16,,0.0029028749115505782,,11.224489795918368
comps0,22,unclassfied_o:Solirubrobacterales,2.903937692483935e-12,8.030635040319899e-08,0.0019437563806569609,0.003031541627988043,0.09180691631938732,9.433962264150944
comps0,22,unclassfied_o:Selenomonadales,7.987438875583544e-28,9.631283746124223e-29,,0.003051096165085074,,37.28813559322034
comps0,22,unclassfied_f:Cystobacteraceae,7.987438875583544e-28,2.260633748665758e-32,,0.0033453981081393255,,50.0
comps0,22,unclassfied_o:Methanosarcinales,7.987438875583544e-28,1.006085092560348e-34,,0.0036394070546302503,,59.45945945945946
comps0,22,"unclassfied_p:""Thaumarchaeota""",1.1457672609924432e-12,1.8827870876220513e-09,,0.004299798064130363,,18.75
comps0,22,unclassfied_f:Polyangiaceae,7.987438875583544e-28,5.608373699546163e-20,,0.0048490857742770205,,16.793893129770993
comps0,22,Ammonifex,8.338886186109137e-24,9.725980286844988e-34,,0.00616989932054416,,76.92307692307693
comps0,22,Aquitalea,1.6040741653894266e-11,5.17835756787517e-11,,0.006434652494593242,,29.72972972972973
comps0,22,env_material_sediment,2.4863149563535716e-09,0.00023593977664606477,,0.00710375432799664,,9.0
comps0,22,Gp5,7.987438875583544e-28,2.1100443986482975e-25,,0.008259409074294666,,27.848101265822784
comps0,22,BRC1_genera_incertae_sedis,1.4914097943856032e-20,2.6608818932686326e-14,,0.00834039706350303,,16.666666666666664
comps0,22,env_feature_alluvial paddy field soil,1.4914097943856032e-20,3.587991202701594e-27,,0.008363095776600823,,64.28571428571429
comps0,22,Deferrisoma,7.987438875583544e-28,2.4711088744317777e-41,,0.008434515200673226,,88.0
comps0,22,Terrimonas,1.0962856261930577e-17,1.0093728634039222e-12,,0.008864053585581386,,17.77777777777778
comps0,22,Polyangium,1.150191198084009e-25,2.6217147560381217e-23,,0.008959754509513326,,27.631578947368425
comps0,22,Desulfuromonas,7.987438875583544e-28,1.5774563817484165e-21,,0.009434150155589852,,19.469026548672566
comps0,22,Pedomicrobium,7.987438875583544e-28,2.4427993722701685e-24,,0.009797481002157552,,25.287356321839084
comps0,22,Thermodesulfovibrio,2.788224629625095e-08,2.6954817854313985e-07,,0.010391783073618528,,24.242424242424242
comps0,22,Acetonema,7.987438875583544e-28,1.006085092560348e-34,,0.010707918421031743,,59.45945945945946
comps0,22,Catelliglobosispora,6.448259404258485e-23,5.520152176974515e-33,0.4538419320508955,0.010971183748222101,0.004326256244848926,46.808510638297875
comps0,22,Desulfacinum,1.150191198084009e-25,8.124813530437543e-25,,0.011305341604149905,,31.818181818181817
comps0,22,Variovorax,2.9369299432051175e-07,0.006540503425389382,,0.011308055838822235,,7.000000000000001
comps0,22,unclassfied_f:Alicyclobacillaceae,7.987438875583544e-28,7.877537194734703e-23,,0.013151735348880318,,22.0
comps0,22,Mesorhizobium,2.36507023548478e-05,6.950916618010698e-05,0.0034147911781178164,0.014054648711444516,0.94931385140737,11.267605633802818
comps0,22,Gemmata,1.6040741653894266e-11,1.3525395338541126e-10,,0.016036770965594166,,27.500000000000004
comps0,22,Coxiella,7.987438875583544e-28,1.3976308429155333e-29,,0.016162358031581916,,40.0
comps0,22,Verrucomicrobium,4.058257943906499e-22,1.4469319220154866e-17,,0.016503133060603737,,21.11111111111111
comps0,22,Roseivirga,2.9369299432051175e-07,0.004591642182131232,,0.017148113293483418,,7.446808510638298
comps0,22,Pseudofulvimonas,2.9369299432051175e-07,9.053672769547972e-06,,0.017394717289180517,,19.444444444444446
comps0,22,env_feature_agricultural soil,1.0962856261930577e-17,2.4886762094127217e-19,,0.020738425176822037,,41.02564102564102
comps0,22,unclassfied_f:Peptococcaceae_1,1.150191198084009e-25,1.2128355790817224e-31,,0.02148946907194828,,56.75675675675676
comps0,22,Planotetraspora,1.150191198084009e-25,1.2128355790817224e-31,,0.023291714784244057,,56.75675675675676
comps0,22,unclassfied_c:Betaproteobacteria,7.987438875583544e-28,1.2085078615201623e-18,,0.024274625129248925,,14.76510067114094
comps0,22,Candidatus_Kuenenia,0.00024569434515067895,0.019640313476741857,,0.02551875022110014,,8.88888888888889
comps0,22,Acidipila,2.9185741310600637e-06,0.024608191072079403,,0.025811499716207994,,6.0606060606060606
comps0,22,"unclassfied_p:""Elusimicrobia""",7.987438875583544e-28,1.152627436182127e-19,,0.02587127173180746,,16.296296296296298
comps0,22,unclassfied_f:Anaerolineaceae,1.150191198084009e-25,3.820863665224461e-13,,0.026127629052581588,,9.90566037735849
comps0,22,Photorhabdus,2.349183484699367e-16,1.588388919322421e-22,,0.02638767759969603,,68.18181818181817
comps0,22,Rhizomicrobium,1.4914097943856032e-20,1.1504705582082345e-21,,0.028637527432912306,,38.297872340425535
comps0,22,study_id,0.0011803894780492668,2.6629469363549373e-20,5.224845695592943e-09,0.028880611176427297,6.6245087549626375e-19,9.734513274336283
comps0,22,Aggregicoccus,1.837110941384176e-26,1.011423046698848e-20,0.09725442843900328,0.028944537841640937,0.13568926483935156,17.88617886178862
comps0,22,Gp1,1.1457672609924432e-12,1.1801484445406684e-07,,0.02984688517604288,,13.333333333333334
comps0,22,Alkaliflexus,1.150191198084009e-25,5.250404608712795e-32,,0.03031888434997102,,58.333333333333336
comps0,22,Brevinema,7.987438875583544e-28,1.3364600100165194e-26,,0.03098077694203724,,30.985915492957744
comps0,22,"unclassfied_p:""Verrucomicrobia""",7.987438875583544e-28,8.919202965588764e-15,,0.03187457018792246,,10.091743119266056
comps0,22,Methylomonas,7.488674908447284e-14,6.413973711004083e-10,,0.032535846906295886,,17.56756756756757
comps0,22,Telmatocola,2.4863149563535716e-09,0.00012058760656920539,,0.03324282385963939,,9.782608695652174
comps0,22,env_biome_temperate mixed forest biome,1.150191198084009e-25,2.1900478422508758e-32,,0.033894853524689246,,60.0
comps0,22,envo_biome_3_mixed forest biome,1.150191198084009e-25,2.1900478422508758e-32,,0.033894853524689246,,60.0
comps0,22,envo_biome_4_temperate mixed forest biome,1.150191198084009e-25,2.1900478422508758e-32,,0.033894853524689246,,60.0
comps0,22,env_material_bulk soil,2.349183484699367e-16,5.0914010337641015e-23,,0.035557905699920955,,71.42857142857143
comps0,22,Thermoflavimicrobium,4.414572991381395e-19,4.037764870863615e-17,,0.03589188775625154,,26.984126984126984
comps0,22,Ktedonobacter,1.150191198084009e-25,6.750268932040987e-22,,0.03680248505643161,,24.137931034482758
comps0,22,Conexibacter,2.3177842328775875e-15,5.053596617571354e-10,0.004157062170827304,0.037122990653477336,0.6461654263228407,10.625
comps0,22,unclassfied_f:Gallionellaceae,1.1457672609924432e-12,2.0218154827676426e-11,,0.0376197072270027,,26.666666666666668
comps0,22,Candidatus_Brocadia,2.9369299432051175e-07,3.072221431057494e-06,,0.037635313787314315,,22.58064516129032
comps0,22,empo_3_Soil (non-saline),1.4914097943856032e-20,5.318521050065059e-14,,0.04018177257453807,,16.071428571428573
comps0,22,unclassfied_f:Ignavibacteriaceae,8.338886186109137e-24,2.3868682187884695e-18,,0.04041316120994063,,19.801980198019802
comps0,22,Labilithrix,2.903937692483935e-12,1.0600537744293123e-07,0.0010631149171586014,0.040543161391476124,0.08929387582089993,9.25925925925926
comps0,22,Dactylosporangium,7.987438875583544e-28,1.3001157687402443e-23,,0.040594924899248555,,23.655913978494624
comps0,22,Terrabacter,7.987438875583544e-28,2.260633748665758e-32,,0.04352404031019148,,50.0
comps0,22,Methanobacterium,1.4914097943856032e-20,1.5857771459097492e-18,,0.04614153344661738,,27.27272727272727
comps0,22,Thioalkalivibrio,2.349183484699367e-16,1.1724109855501113e-14,,0.047737232230470085,,26.785714285714285
comps2,73,unclassfied_c:Gammaproteobacteria,7.730032292235092e-31,1.4845670508655546e-28,,9.987106265017277e-11,,28.019323671497588
comps2,73,env_biome_marine biome,1.0251117764445865e-48,6.255373362476791e-57,,1.639108059743866e-08,,37.43589743589744
comps2,73,unclassfied_c:Alphaproteobacteria,1.0251117764445865e-48,4.3985018632398335e-72,,1.2130440680871329e-07,,53.67647058823529
comps2,73,envo_biome_1_aquatic biome,7.585827145689964e-47,3.3901832397060033e-26,1.0,5.729136000696715e-07,0.5233915384105579,16.114790286975715
comps2,73,longitude_deg,7.232833824123198e-29,4.0653297805767267e-82,1.3429350642334675e-05,6.839752513452211e-07,0.5547720968284046,62.83185840707964
comps2,73,env_feature_kelp forest,1.0251117764445865e-48,1.97880253741818e-98,,1.1764414632272014e-06,,86.90476190476191
comps2,73,host_scientific_name_Ecklonia radiata,1.0251117764445865e-48,3.122034984452106e-100,,3.3101454190271897e-06,,89.02439024390245
comps2,73,country_GAZ:Australia,1.0251117764445865e-48,3.122034984452106e-100,,1.3374561815848158e-05,,89.02439024390245
comps2,73,empo_3_Plant surface,1.0251117764445865e-48,3.122034984452106e-100,,1.3374561815848158e-05,,89.02439024390245
comps2,73,Haliscomenobacter,1.0790515097413835e-39,1.731463746955514e-73,,2.0673410058500708e-05,,71.27659574468085
comps2,73,unclassfied_f:Hyphomonadaceae,8.937322171618846e-11,5.9639165996450245e-18,,9.144656268618641e-05,,53.191489361702125
comps2,73,envo_biome_2_marine biome,7.585827145689964e-47,2.0846663149016691e-41,1.0,0.00013064400450293797,0.6065954735367788,24.74576271186441
comps2,73,Planktomarina,4.194932960334683e-08,1.0636485491084565e-06,,0.00017397649395756328,,24.358974358974358
comps2,73,Halobacteriovorax,4.717374018213086e-19,9.420394332514069e-30,,0.00022118535118152935,,50.617283950617285
comps2,73,Psychromonas,4.507111619502871e-24,1.9111625164402204e-52,,0.00030568722457345615,,80.32786885245902
comps2,73,GpVIII,1.217386843409815e-19,8.237738021010533e-32,,0.00044418451632136926,,53.16455696202531
comps2,73,Lewinella,2.140761120219012e-36,2.8187431291684452e-62,,0.0004745250387056444,,62.13592233009708
comps2,73,Sandaracinus,1.7819045560740524e-12,1.74821532428516e-27,0.00723749486912432,0.0005907398197233103,0.22669305581199817,41.17647058823529
