other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
envo_biome_2_marine biome,8.358624392659392e-100,5.185893041777641e-74,1.620266688143081e-101,130.5309734513274
envo_biome_1_aquatic biome,1.3038418876210364e-99,8.014634974636946e-67,4.1527492859151848e-112,200.4424778761062
env_feature_hydrothermal vent,9.24949818447486e-83,1.5015173726993453e-43,1.5329345550832503e-55,61.06194690265486
sample_scientific_name_hydrothermal vent metagenome,8.181300085967309e-82,1.5015173726993453e-43,1.5329345550832503e-55,61.504424778761056
unclassfied_c:Gammaproteobacteria,3.8622662470086096e-80,7.961186435705971e-81,1.4295586575674425e-76,91.5929203539823
country_GAZ:North Atlantic Ocean,4.4151029781564296e-77,1.8251908168529467e-48,1.3610539358362348e-51,53.53982300884957
empo_3_Water (saline),1.0230587580873457e-76,1.1782491303660042e-65,8.134817727275081e-61,51.32743362831859
env_material_sea water,1.942822450145673e-74,5.795113921256776e-63,7.187356030993718e-59,52.21238938053098
sample_scientific_name_marine metagenome,6.758287411269393e-69,3.0200145951219526e-61,2.6408149421828378e-56,47.34513274336283
env_biome_marine benthic biome,2.299035384977475e-64,2.4474227450055162e-60,6.71220652952655e-51,69.02654867256636
empo_3_Surface (saline),1.2507215675600695e-63,6.863526172608306e-57,8.408231044831842e-44,55.75221238938053
empo_1_Free-living,1.1979154860738182e-58,3.9009741326703407e-54,3.724238248269156e-96,184.07079646017698
Candidatus_Pelagibacter,1.6104085055576921e-56,1.2190417742026676e-49,7.4852548694013155e-44,36.283185840707965
env_biome_marine biome,1.9015252625332673e-56,2.6861975715075365e-61,3.275107603286143e-68,86.28318584070797
Gaetbulibacter,2.1691149395486676e-53,2.0477538385075428e-45,2.926710106184046e-39,31.858407079646017
"unclassfied_o:""Flavobacteriales""",3.357632208724507e-53,1.896527289873928e-46,1.9269967433023365e-40,33.1858407079646
unclassfied_f:Rhodobacteraceae,2.1264001007614738e-52,2.199728787953545e-44,4.783301397352761e-40,32.743362831858406
Glaciecola,3.4249700043636074e-50,2.18029151157286e-34,9.317694065755411e-38,30.08849557522124
Desulfobacula,3.4249700043636074e-50,1.2515298042043305e-34,1.33411096482467e-27,30.08849557522124
Colwellia,2.130374424095489e-49,1.4028530845306464e-37,1.170410032618893e-35,29.646017699115045
Lacinutrix,1.6894912281430752e-47,9.923859234363353e-51,4.635505657509021e-41,54.86725663716814
altitude_m,6.637585906695708e-44,2.0291326479720623e-26,2.2186290979314635e-33,26.548672566371685
env_feature_strait,6.637585906695708e-44,2.0291326479720623e-26,2.2186290979314635e-33,26.548672566371685
unclassfied_f:Desulfobulbaceae,1.6361508492400226e-43,1.7867912698478442e-36,1.093219768402966e-25,35.39823008849557
country_GAZ:English Channel,3.962678532318974e-43,7.279247317283742e-27,5.163843071959713e-33,26.10619469026549
Roseivivax,6.0336962212381875e-43,3.662110112972877e-29,4.286758593434226e-28,30.973451327433626
Curtobacterium,2.3540197471786358e-42,1.775590353069881e-34,1.3098249952393802e-31,25.663716814159294
Ulvibacter,7.528468322465069e-42,7.560270682987444e-42,3.4895705279305985e-33,43.36283185840708
Rhodovulum,1.3915181819102589e-41,2.1204671230421182e-25,1.6842424535696418e-32,25.221238938053098
Coraliomargarita,8.772086773600138e-41,1.5385023076724093e-37,1.7783562841128636e-31,27.43362831858407
Gp26,2.3199525915776863e-40,9.80947291207742e-38,2.0533876057254253e-26,30.53097345132743
unclassfied_f:Desulfuromonadaceae,3.2394341599496062e-40,2.8618708011722004e-41,1.916601805127235e-25,37.16814159292036
