name,SAFE total score,number of enriched nodes,number of enriched samples,SAFE enriched score,enriched abundance ratio,enriched SAFE score ratio
Faecalibacterium,141.53115542396893,284,602,121.92156713954978,0.6916334723159467,0.8614468438014449
unclassified_Ruminococcaceae,118.63315511729729,198,352,106.32117077906624,0.47868757798928335,0.8962180148875101
unclassified_Veillonellaceae,111.98854093612795,209,413,102.53603601043613,0.6629091442829884,0.9155939987548994
Coprococcus,109.58219799921342,246,516,93.85469501432105,0.6079922494348546,0.8564775732550531
unclassified_Lachnospiraceae,123.90938317653517,277,573,93.54656406815886,0.5889446605445239,0.7549594846653538
Roseburia,106.34598700620808,196,378,93.24711649713636,0.5739709426137637,0.8768277875092075
unclassified_Clostridiales,102.51238908117875,175,297,92.58087168117942,0.5655879261150323,0.9031188572521255
Ruminococcus,107.80943496686248,274,586,89.60741100513215,0.6407805808222549,0.8311648329543225
Bacteroides,97.28391269165438,177,294,85.62450658850847,0.4592644369992115,0.8801507281054689
Blautia,107.50139414951606,289,623,84.50398729798009,0.6084179698939847,0.7860734083173795
unclassified_Clostridiaceae,93.57891149581795,157,277,79.71740583757254,0.4270785548854851,0.8518736172853979
Alistipes,96.40467217228156,209,381,79.15276488164156,0.4805121461246158,0.8210469793433901
unclassified_Thermoanaerobacteraceae,87.96806136354456,187,336,76.7215238745282,0.6306068601583114,0.872152036606355
Methanobrevibacter,88.60069201863489,167,306,74.46352261731599,0.5903258635483807,0.8404395148703183
Sporobacter,95.23693994523119,195,319,74.44655132773316,0.4843137254901961,0.7816982713907634
unclassified_Erysipelotrichaceae,89.44727972071732,224,453,71.69320054072863,0.49391033946618296,0.8015134810647955
unclassified_Natranaerobiaceae,87.39977168791376,212,431,71.62274706767414,0.6229029905178701,0.819484372607104
unclassified_Oxalobacteraceae,83.30235200340647,167,274,70.93706779408825,0.4959409594095941,0.851561403586629
Anaerostipes,89.71510291623481,249,545,68.75890268619983,0.5909839071441364,0.7664139085968461
