name,SAFE total score,number of enriched nodes,number of enriched samples,SAFE enriched score,enriched abundance ratio,enriched SAFE score ratio,Category
Bristol_stool_score,100.23769059736418,217,396,79.4736979203327,0.3947308653191006,0.7928524434941692,Bowel Habit
Gender:F,100.90220063776806,277,521,77.42461188465374,0.5733113673805601,0.7673233229332902,Anthropometric
Hemoglobine,98.02682698696053,273,554,75.95205760931218,0.5078587453893252,0.7748088961342723,BloodParameters
Gender:M,89.89679623888655,252,503,74.27414747608611,0.5410821643286573,0.8262157338590164,Anthropometric
Mean_corpuscular_hemoglobin_concentration,77.74412042381493,206,443,52.41677978751436,0.40253646503646506,0.6742217868279826,BloodParameters
Working_start_age.option,79.39755179019372,241,447,48.9070192539182,0.43543046357615894,0.6159764142747616,Anthropometric
Shift_work:False,72.17651061373677,234,412,44.53444338212582,0.3907351460221551,0.61702128578172,Lifestyle
Red_blood_cell_count,74.50707618053178,215,434,43.89859099040203,0.39878933734695066,0.5891868697683837,BloodParameters
Weight_perception.option,63.72818052760786,141,245,43.53519881310572,0.23793768955059277,0.6831388947978159,Anthropometric
Height,58.1955136371165,190,358,42.660499747489766,0.3264354113759172,0.7330547851764528,Anthropometric
Plan_to_change_weight.option,60.52335554060137,143,271,39.97128110749351,0.2817966903073286,0.66042737965312,Anthropometric
Beer_consumption.option,66.48136731639799,185,385,39.310077315040395,0.3805862566074003,0.5912946574632852,Anthropometric
Alcohol_.average_past_week.option,61.32243872645018,173,367,38.85436512165151,0.38852361028093246,0.6336076308865465,Anthropometric
Uric_acid,73.46354873204251,202,461,38.04442553676744,0.42922797524183626,0.5178680610098767,BloodParameters
Pets_.past_3_months.,57.870848197280196,175,392,36.499115596376924,0.4318936877076412,0.6306995099147744,Lifestyle
Glomerular_filtration_rate,57.95440162588618,178,344,35.332358459329235,0.3220147430886543,0.6096578942771367,Health
Body_mass_index,60.736731828053934,136,279,33.474716602731164,0.26051503087475164,0.5511445149452278,Anthropometric
Age,62.83296448924331,176,366,31.654300103329557,0.3443125986626226,0.5037849218263228,Anthropometric
Smoking_with_inhalation:Neen,48.60048465054411,148,286,31.030071445811394,0.38144329896907214,0.6384724693370727,Lifestyle
Meat_.average_past_week.option,55.94130886663297,168,338,30.989748706234785,0.3468388245770258,0.5539689602207195,Anthropometric
Bread_type_preference.option,60.319070653929714,146,271,30.367188838658752,0.2597917699553793,0.503442584732203,Anthropometric
Creatinine,57.973427349432775,187,394,30.32119549850308,0.3675159577321246,0.523018853374722,BloodParameters
Gastroentritis_.other_treatment.,49.933341125123576,196,426,30.174339484517134,0.6136363636363636,0.6042924187449404,Health(Medication)
HDL_cholesterol,52.81554626564396,130,200,29.320348332941833,0.19420867296118072,0.5551461720280352,BloodParameters
Work_days_per_week,62.61873780601789,213,442,28.04683946206783,0.4063926940639269,0.4478985116076937,Lifestyle
Breakfast_.N_past_week.,52.5989424055324,198,385,27.148689857561692,0.35867583111235796,0.5161451659664201,DietaryHabit
Shift_work:True,53.78191875133302,138,299,27.128046946402026,0.46,0.5044083137277365,Lifestyle
Smoking_with_inhalation:Not_relevant,57.08444035782333,182,376,26.180720676841542,0.385146804835924,0.45863146792247594,Lifestyle
J01CA04_.amoxicillin.,39.4604158100735,137,257,26.123694722111576,0.3057324840764331,0.6620227938764571,Health(Medication)
Alpha.2.globulin,45.40859563152401,125,281,25.87026715667345,0.2605350361952977,0.5697218070032876,BloodParameters
Sleep_.hours.day.,43.21773156431726,158,283,25.227443540968135,0.2637336218295468,0.5837290072345487,Lifestyle
Sick_leave_.freq._past_year.option,48.455788072711314,150,332,25.15574016601649,0.3505639097744361,0.5191483033619954,Anthropometric
Smoker,45.63618636901131,156,333,24.38242888226944,0.4215686274509804,0.5342784054108874,Lifestyle
Time_since_previous_relief.option,49.48390156017662,124,286,24.084871712230076,0.2917884666489503,0.48672135690313,Anthropometric
J01CR02_.amoxicillin_and_enzyme_inhibitor.,34.21700989343098,92,166,23.88025135226756,0.25,0.697905849360967,Health(Medication)
G03CA04_CC06_.estrogens.,29.13006883677803,133,274,23.32110870490967,0.6666666666666666,0.8005854306621382,Health(Medication)
Hip_circumference,37.66134727610352,68,85,23.033974011733807,0.07969173861697458,0.6116078068813295,Anthropometric
Cigarettes_.average.day_past_3_months.,47.306672835009465,160,359,23.01585427603919,0.5025906735751295,0.48652447734616894,Lifestyle
R06AX28_.rupatadine.,28.538171069082452,129,341,22.499042869336506,0.5,0.7883841895429456,Health(Medication)
Creatine_kinase,37.77896749814985,124,281,22.285586758411732,0.27137814457591725,0.5898940133687647,BloodParameters
Smoking_with_inhalation:Ja,51.381056259439774,175,443,21.845366056346617,0.47674418604651164,0.42516381808194464,Lifestyle
Fruits_.freq._past_week.option,63.56389298558812,143,317,21.590419431425858,0.30238191360516753,0.33966483828045374,Anthropometric
Irritable_bowel_syndrome,40.05663652536671,128,290,21.538657884798518,0.34334763948497854,0.5377051034017474,Health
Sick_leave_.freq._past_year.:nan,37.359491377642314,138,303,20.944796101954907,0.30851063829787234,0.5606285131196744,Lifestyle
Childhood_residence_type.option,49.5343816154308,151,373,20.103113216825886,0.34847457627118644,0.40584161063925395,Anthropometric
Food_allergy,45.08774802394102,138,308,19.836393307108345,0.5,0.4399508553094174,Health
J01XE01_.nitrofurantoin.,38.697013066714476,139,360,19.463554166007267,0.5263157894736842,0.5029730365093472,Health(Medication)
Working_hours_.hours.week.,45.25610358073095,111,209,18.988044783798408,0.19912916132744057,0.4195687052449451,Lifestyle
Fruits_.days_since_consumed.option,35.70667145063246,138,280,18.790424310226026,0.2815158546017015,0.5262440755981805,Anthropometric
Spirits_consumption.option,39.52218127686698,138,339,18.635543886987026,0.3314567206192822,0.4715211378754222,Anthropometric
Magnesium_supplement,32.376914308228514,126,277,18.146183869555397,0.5454545454545454,0.560466747905732,DietaryHabit
L04AX01_.azathioprine.,24.82955817576915,111,256,16.959465145072063,0.5714285714285714,0.6830353172221401,Health(Medication)
Chocolate_type_preference.option,50.16732077594331,108,225,16.044369605788475,0.21409823772028497,0.31981715103833525,Anthropometric
Blood_urea,44.294620970977405,114,273,15.826445646893458,0.2548739215405879,0.35729949370744624,BloodParameters
Triglycerides,30.54984911157046,69,95,14.812183607281707,0.0987104984470806,0.4848529219632622,BloodParameters
N06AX16_.venlafaxine.,24.31234339701511,100,227,14.665297022354867,0.5454545454545454,0.6032037629147409,Health(Medication)
Beta.globulin,38.32360694267324,121,248,14.322000774147318,0.22962743236829639,0.3737122342260485,BloodParameters
Gamma.glutamyltransferase,41.86110488944159,120,255,13.952055728683895,0.26343091377371497,0.33329401518503515,BloodParameters
Soda_.freq._past_week.option,32.078200377329374,115,291,13.492035917639551,0.3047337278106509,0.42059828041895947,Anthropometric
Coffee_.days_since_consumed.option,24.681366181996395,64,111,13.349922705579225,0.1231841952353283,0.5408907516358316,Anthropometric
Ulcerative_colitis,17.31202321602224,58,108,12.589444694128392,0.3181818181818182,0.7272081683946039,Health
L04AB_.TNF.alpha_inhibitors.,17.186983937736816,77,121,11.161888784515764,0.375,0.64943848350309,Health(Medication)
Q10_supplement,13.16169053712868,43,58,11.132282625278204,0.2857142857142857,0.8458094797073685,DietaryHabit
