name,SAFE total score,number of enriched nodes,number of enriched samples,SAFE enriched score,enriched abundance ratio,enriched SAFE score ratio,Category
Bristol_stool_score,106.90887571282042,220,398,87.76089904053785,0.3967749261866909,0.8208944155046768,Bowel Habit
Gender:F,108.41787990325105,284,533,86.23464182807882,0.5815485996705108,0.7953913312548825,Anthropometric
Hemoglobine,106.10952864690776,285,572,81.82744782069454,0.5238234063858649,0.7711602234421872,BloodParameters
Gender:M,96.70896273624771,262,520,80.72168249090083,0.5511022044088176,0.834686674399056,Anthropometric
Mean_corpuscular_hemoglobin_concentration,86.55361201690275,216,452,64.311246716761,0.41036572286572287,0.7430221017720426,BloodParameters
Working_start_age.option,89.79399058868304,246,460,57.32229644601062,0.45088300220750555,0.6383756426260789,Anthropometric
Shift_work:False,80.75779701338736,237,422,57.153827234499204,0.39677744209466265,0.707718998637676,Lifestyle
Red_blood_cell_count,83.7776345155099,239,469,54.85141496222696,0.43033079451429423,0.6547262318808037,BloodParameters
Uric_acid,84.2303058992093,233,507,52.87120227850936,0.4734072124828578,0.6276980917269313,BloodParameters
Weight_perception.option,71.03969658870506,179,344,51.079141184282555,0.32809484422387647,0.7190225132859572,Anthropometric
Height,63.182351380859146,189,367,45.16970949044093,0.3346152667383197,0.7149102321020127,Anthropometric
Beer_consumption.option,73.89130569798596,197,403,45.082872116771846,0.39548294089380104,0.6101241775458389,Anthropometric
Pets_.past_3_months.,66.56219368726603,192,424,44.67583719662063,0.43853820598006643,0.671189375255935,Lifestyle
Glomerular_filtration_rate,65.3950798085863,198,376,43.83204195904973,0.3511307987194012,0.6702651344313312,Health
Alcohol_.average_past_week.option,66.39518337164857,180,377,43.55002375028689,0.39748953974895396,0.6559214319284974,Anthropometric
Gastroentritis_.other_treatment.,59.46705681224789,229,505,42.2445326312666,0.7045454545454546,0.7103854620658792,Health(Medication)
Plan_to_change_weight.option,65.0585992224328,145,272,41.98078237270637,0.2832151300236407,0.6452764565246129,Anthropometric
Age,70.08517921811847,205,405,41.54029045561752,0.3791482644246971,0.5927114822141811,Anthropometric
Body_mass_index,68.86404926830406,187,428,39.903535667857994,0.39645698845023764,0.579453809234891,Anthropometric
Smoking_with_inhalation:Neen,56.79324640061717,162,309,39.39139414665845,0.3917525773195876,0.6935929294971661,Lifestyle
Meat_.average_past_week.option,62.72177227127577,197,405,37.712473513654764,0.41228851291184326,0.6012660699469053,Anthropometric
