other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Barnesiella,5.4959971860090494e-18,1.1306341283844522e-09,1.4102818053106592e-07,311.11111111111114
Mannheimia,9.140335008317021e-14,0.0019169301998248722,2.279327558607009e-06,83.33333333333334
Aeromonas,5.771250792986586e-13,0.001272332711687824,2.279327558607009e-06,94.44444444444444
Odoribacter,8.707859416088896e-13,1.2206820572314968e-08,5.1189751670131374e-08,466.6666666666667
Streptobacillus,1.2821365195989325e-12,0.0013932638921924222,2.279327558607009e-06,100.0
unclassified_Haloplasmataceae,1.2821365195989325e-12,6.4350452524805765e-06,2.279327558607009e-06,100.0
unclassified_Thermomicrobiaceae,6.5222248209644705e-12,0.001233117070395702,0.012506454725204145,38.88888888888889
Marvinbryantia,6.5222248209644705e-12,0.001233117070395702,0.012506454725204145,38.88888888888889
Sporobacter,6.9835443066316035e-12,2.997286141993471e-08,1.4102818053106592e-07,655.5555555555555
unclassified_Puniceicoccaceae,1.9299767371092146e-11,9.498820522157212e-07,3.018626484764138e-07,283.33333333333337
Alistipes,3.0131264055279747e-11,7.95126832998482e-10,1.4102818053106592e-07,711.1111111111111
unclassified_Halanaerobiaceae,8.75791513906562e-11,0.008419245248588118,2.279327558607009e-06,138.88888888888889
Cloacibacillus,1.6851286993593394e-10,1.577931366263568e-05,9.576901163707825e-06,105.55555555555556
unclassified_Leptotrichiaceae,2.202881733623349e-10,0.0002788010763197014,2.279327558607009e-06,150.0
unclassified_TM7,2.2713256574969594e-10,0.013066137032057086,0.012506454725204145,50.0
Peptostreptococcus,5.437015332326502e-10,0.002118750519246907,7.475013226662615e-06,216.66666666666666
Parvimonas,1.0997598671019942e-09,0.00048014933252661787,2.279327558607009e-06,172.22222222222223
Gender:F,5.264811226015912e-09,1.9648868301849943e-07,5.59178053132255e-07,783.3333333333333
Porphyromonas,1.0699685847562707e-08,7.190865592560776e-05,2.279327558607009e-06,211.11111111111111
unclassified_Veillonellaceae,1.293770465957666e-08,1.786229211493604e-09,5.1189751670131374e-08,827.7777777777778
