n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps1,10,Anaerosporobacter,2.2852964029434626e-05,2.1072901760581462e-10,,6.492618427245014e-05,,14.925373134328357
comps1,10,unclassified_Incertae,2.2852964029434626e-05,1.190101850000939e-08,,0.00038488780126568774,,10.204081632653061
comps1,10,unclassified_Peptococcaceae,2.2852964029434626e-05,2.346132067680209e-09,,0.0005833128947254572,,11.904761904761903
comps1,10,unclassified_Ruminococcaceae,2.2852964029434626e-05,1.3934544042479548e-06,,0.0008068259115434745,,6.451612903225806
comps1,10,unclassified_Coriobacteriaceae,0.03594771241830069,0.018641638872712966,,0.000821996948115156,,4.854368932038835
comps1,10,unclassified_Pseudomonadaceae,2.2852964029434626e-05,3.0256451302156477e-11,,0.0014347075026557392,,17.857142857142858
comps1,10,unclassified_Oxalobacteraceae,2.2852964029434626e-05,2.706694388381601e-08,,0.0027540137772766368,,9.433962264150944
comps1,10,Enterorhabdus,0.03594771241830069,0.009424300915552072,,0.0030259712053258172,,5.681818181818182
comps1,10,unclassified_Clostridiaceae,2.2852964029434626e-05,5.275864207460785e-08,,0.00937463421685288,,8.849557522123893
comps1,10,unclassified_Victivallaceae,0.00402212166918049,0.0005178474056198107,,0.014324736630604138,,6.363636363636363
comps1,10,G03CA04_CC06_.estrogens.,2.2852964029434626e-05,1.2503321900012466e-12,,0.018152254426323476,,23.809523809523807
comps1,10,Cerasicoccus,0.0004113533525298235,1.8994677655917246e-08,,0.026720095908353118,,13.432835820895523
comps1,10,Fruits_.freq._past_week.option,0.0004113533525298235,5.8119213758473505e-11,,0.02817965491078827,,24.324324324324326
comps1,10,unclassified_Heliobacteriaceae,2.2852964029434626e-05,1.2241924139678149e-09,,0.0290991316884967,,12.658227848101266
comps1,10,Streptobacillus,2.2852964029434626e-05,3.718257314350857e-17,,0.032969381244220046,,55.55555555555556
comps1,10,unclassified_Cryomorphaceae,2.2852964029434626e-05,6.8653426247644225e-09,,0.033426478725242265,,10.75268817204301
comps1,10,unclassified_Haloplasmataceae,2.2852964029434626e-05,3.718257314350857e-17,,0.03679514717145202,,55.55555555555556
comps1,10,unclassified_Porphyromonadaceae,2.2852964029434626e-05,3.622765715627812e-08,,0.03864343744788298,,9.174311926605505
comps1,10,Aeromonas,2.2852964029434626e-05,1.6525588063781608e-17,,0.04042397933690852,,58.82352941176471
comps1,10,Plan_to_change_weight.option,0.00402212166918049,1.4294744668695552e-05,,0.04439045263626714,,10.76923076923077
