other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
unclassified_Thermaceae,2.1296142508428722e-10,0.0002991110275864296,0.0004922222258745367,106.66666666666667
N03AE01_.clonazepam.,5.931814273448165e-10,4.13199873712345e-05,3.479780059273534e-05,46.666666666666664
Ulcerative_colitis,4.9571085799522844e-09,3.2628075658694494e-06,0.0004922222258745367,146.66666666666666
Spirits_consumption.option,3.444079924920198e-08,3.3735479494450873e-05,0.00013522791827601274,260.0
Gemella,3.7122773572927565e-08,5.290800630713865e-05,3.479780059273534e-05,73.33333333333333
Bacteroides,1.061592188958665e-07,6.132125668454204e-07,5.768835808299801e-05,860.0
Soda_.freq._past_week.option,3.711595460287913e-07,0.00013948315314934,7.847262635094097e-06,160.0
Clostridium_XlVb,5.270324552325936e-07,1.3849270513855623e-05,0.0009133144098038714,606.6666666666666
J01CR02_.amoxicillin_and_enzyme_inhibitor.,7.903511076338976e-07,2.4551954796269073e-06,0.0004922222258745367,260.0
J01CA04_.amoxicillin.,3.098205700535447e-06,4.1943407147482646e-06,0.0004922222258745367,306.6666666666667
Mean_corpuscular_hemoglobin_concentration,8.080668659593558e-06,0.0010077860614258693,0.0033355926450153433,613.3333333333334
L04AB_.TNF.alpha_inhibitors.,1.1789713465104725e-05,3.6282598383699235e-05,3.479780059273534e-05,166.66666666666669
Beer_consumption.option,1.59870721324694e-05,0.0006421262021652157,4.970465418775988e-07,506.66666666666663
N06AX16_.venlafaxine.,2.994965012902488e-05,0.0009187810541260824,0.009978398020720102,193.33333333333334
L04AX01_.azathioprine.,5.4842921225805174e-05,0.00698142715602006,0.009018206516041785,213.33333333333334
Faecalibacterium,7.58394253857478e-05,0.00016210166346328707,0.00024307328116407204,1186.6666666666667
Height,9.471845432181155e-05,2.0235313894863934e-05,0.0004922222258745367,473.3333333333333
Paraeggerthella,0.00016813200548268476,0.012195500417794906,0.13505137526039176,86.66666666666667
Paraprevotella,0.0002081213454382969,0.00147306853447862,3.479780059273534e-05,266.66666666666663
unclassified_Saprospiraceae,0.00024479366670929214,0.00023804827864887357,0.00015285632608919963,173.33333333333334
Holdemania,0.0005266394186218855,0.004541279880318142,0.1544238232815053,113.33333333333333
unclassified_Sutterellaceae,0.0005962185586343468,0.0007225036763439601,0.0005197121535667593,606.6666666666666
unclassified_Fusobacteriaceae,0.0006668735209362279,0.0014305753863670004,0.13892411346138483,120.0
Magnesium_supplement,0.0013801191753719335,0.0009292489650746078,0.037319841664638496,246.66666666666669
Shift_work:True,0.0015521967161174163,0.007554922211622246,0.009018206516041785,380.0
unclassified_Streptococcaceae,0.0029044589912024313,0.022519222316855277,0.009018206516041785,426.6666666666667
Alcohol_.average_past_week.option,0.0029044589912024313,0.011530480532115661,0.009018206516041785,426.6666666666667
Creatinine,0.01141229861293656,0.014713522227757837,0.03453600858704742,393.3333333333333
Odoribacter,0.01180971650407605,0.00037399179415538913,0.00947093672110055,560.0
Smoking_with_inhalation:Ja,0.021435245103315435,0.010184521479533484,0.13892411346138483,300.0
Uric_acid,0.03603179570521253,0.004589238714672514,0.037319841664638496,520.0
