other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Creatinine,6.492342740245916e-17,8.804728043393121e-12,3.99284193325659e-12,107.27272727272728
unclassified_Pseudomonadaceae,2.9213861103930916e-15,2.305826235833234e-09,1.9104053706058243e-08,101.81818181818181
Sick_leave_.freq._past_year.:nan,1.52784301741027e-14,2.082030853481382e-08,1.4771412144468777e-10,81.81818181818183
unclassified_Sinobacteraceae,1.463437395851738e-13,5.6781023598843295e-05,9.262615579406736e-06,45.45454545454545
Allobaculum,5.364931345703932e-13,2.0789610568753824e-07,9.567456967044333e-07,101.81818181818181
Clostridium_sensu_stricto,1.7040935296855927e-12,1.513927476127383e-08,1.3466291452802466e-10,147.27272727272725
Stenotrophomonas,3.777100347348503e-12,0.00012261037388030564,7.887671780915176e-07,45.45454545454545
Psychrobacter,1.1683902756506058e-11,5.0224443654876006e-05,8.495590958312029e-07,54.54545454545454
unclassified_Neisseriaceae,2.7463302955641733e-10,0.012874837293369213,0.0003270697525999839,16.363636363636363
Carnobacterium,6.718419836982103e-10,9.445459439828583e-09,1.2291919500607685e-06,43.63636363636363
Dorea,9.654335853362202e-10,8.937855046245412e-07,8.242156252287826e-08,147.27272727272725
Coprococcus,2.2181313925169765e-09,1.9069793338448941e-13,1.0938673696451055e-10,260.0
Actinobacillus,4.908092750370745e-09,2.2400835609760953e-07,8.902848554065066e-07,56.36363636363636
Blood_urea,1.4761605662878247e-08,7.928496336945376e-05,2.1681452280265572e-06,60.0
unclassified_Aquificaceae,3.924605140504557e-08,0.0012373863251319652,0.0011649096754714594,47.27272727272727
Clostridium_XI,1.28452904767435e-07,1.1688974456975176e-07,2.529720311362808e-09,130.9090909090909
Hafnia,1.461995227073275e-07,0.023194988491208574,0.0003270697525999839,23.636363636363637
Vagococcus,4.42586145611408e-07,0.00020628795501363855,1.5379107713891489e-06,83.63636363636363
unclassified_Acidaminococcaceae,1.2160846763621407e-06,9.490222372098052e-09,1.7998888102398018e-06,134.54545454545453
Pseudobutyrivibrio,1.2508075946314209e-06,5.3881824201380914e-08,2.0244673774991302e-06,100.0
Turicibacter,2.4974835062694847e-06,4.771206363313013e-08,2.8084273734269163e-09,140.0
Paraprevotella,2.589467296585869e-06,6.568581838459613e-05,0.0004099622777481667,72.72727272727273
Bread_type_preference.option,2.9500211785602095e-06,0.00012511537373100174,7.853501890051849e-05,105.45454545454544
unclassified_Erysipelotrichaceae,3.111527619989758e-06,2.659751160696572e-08,5.1867865027083374e-08,209.0909090909091
unclassified_Lachnospiraceae,4.652983140259657e-06,1.0680609565625525e-08,4.232128566431182e-09,270.9090909090909
Anaerosporobacter,5.714065608841284e-06,1.7414448295936829e-07,1.2897865618864014e-07,121.81818181818183
Gamma.glutamyltransferase,6.8450096389556905e-06,0.00013961347863037627,1.1436950816034585e-05,49.09090909090909
Work_days_per_week,8.393913884763046e-06,1.8126026961136719e-06,5.0713190284785824e-08,112.72727272727272
unclassified_Ignavibacteriaceae,2.202796404220097e-05,4.9187585571214436e-08,1.530630523112703e-05,96.36363636363636
Pseudomonas,2.2752990517552533e-05,0.03204505779006209,0.001175017557406208,74.54545454545455
Enterorhabdus,2.5147588664024127e-05,5.1668720092250304e-06,4.95495123869349e-07,160.0
Working_hours_.hours.week.,2.831789051591775e-05,2.2731721929394286e-06,1.720503734035265e-06,65.45454545454545
Smoking_with_inhalation:Neen,4.631018527092969e-05,3.9407352519224854e-05,1.6883445651050776e-06,101.81818181818181
Howardella,5.850792275952951e-05,2.431822808157264e-05,6.372690425828088e-07,210.90909090909088
Olsenella,6.582091644293063e-05,2.3207425156204774e-08,0.0005627029353934619,92.72727272727272
Fruits_.freq._past_week.option,0.00021529028509048026,0.0005960751085878865,3.5163810976733164e-05,67.27272727272727
Mitsuokella,0.00028143106527644073,1.3528629822932203e-07,1.0933323628397366e-05,69.0909090909091
Gender:M,0.00039770704293801514,6.6700393160503095e-09,6.278828738694489e-10,230.9090909090909
Blautia,0.0004105964578901601,1.8881637951859345e-10,4.125132624163105e-08,263.6363636363636
Streptococcus,0.00042342584634905785,6.606915374582112e-05,4.519064289180808e-06,83.63636363636363
unclassified_Xanthomonadaceae,0.00042342584634905785,8.988767964004339e-06,0.0003177382509488531,83.63636363636363
Meat_.average_past_week.option,0.0004611661250119825,3.8833791424296536e-08,1.2282809568746476e-05,109.09090909090908
Megasphaera,0.0004852475971795964,4.906205194548099e-07,6.860613846921057e-05,61.81818181818181
unclassified_Anaplasmataceae,0.0006239721990651426,0.00550494184098729,0.0003270697525999839,52.72727272727272
unclassified_Sphingobacteriaceae,0.0006306440299363343,0.043928228731336935,0.0052027210341188315,63.63636363636363
unclassified_Dehalogenimonas,0.0008049383114593562,0.00025637269597532234,0.003178945075541907,89.0909090909091
