n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps1,11,Oscillibacter,3.760857412006668e-10,1.0732063507780224e-11,,1.6333400528531156e-05,,25.64102564102564
comps1,11,Akkermansia,3.760857412006668e-10,1.0732063507780224e-11,,0.0004032137835119374,,25.64102564102564
comps1,11,unclassified_Ignavibacteriaceae,3.3641997807623234e-05,5.7173614950617295e-09,0.013328328780817546,0.0005122985706435755,0.9454683706438456,16.9811320754717
comps1,11,Alistipes,6.518819514144875e-10,6.703313177629334e-08,0.8435258690926943,0.005911283579073654,0.09668029707257912,8.59375
comps1,11,Chocolate_type_preference.option,8.649972047615337e-09,2.3039612787305325e-10,,0.012478906268712394,,26.47058823529412
comps2,30,Stenotrophomonas,8.253264843694907e-06,5.4164456943694673e-17,,0.021856009098313683,,64.0
comps2,30,Vagococcus,8.253264843694907e-06,1.5554727611814513e-11,,0.04995152987720942,,34.78260869565217
comps3,12,Megasphaera,0.0003497796718609037,5.95295008312085e-07,0.016703403847161492,0.01816301834787641,0.5119597422647295,20.588235294117645
comps3,12,Meat_.average_past_week.option,0.006605945818538227,2.891200879365853e-05,0.04764542558436181,0.027334386460503818,0.8029212195198919,11.666666666666666
comps3,12,Prevotella,2.2793075224282786e-12,4.505025173490289e-10,,0.04041403355769228,,12.5
