other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
unclassified_Desulfarculaceae,4.5597040959918285e-09,0.0006238176523501098,0.010152855759587052,285.7142857142857
Working_start_age:nan,6.374053251954295e-09,0.0006321229801698907,0.010152855759587052,300.0
Scardovia,8.751216058094803e-09,0.00074337547780037,0.010152855759587052,314.2857142857143
Bloating_.days_past_week.option,2.0678387519682307e-08,0.00026827367878838387,0.010152855759587052,357.14285714285717
Triglycerides,3.445844837028756e-08,0.0002171922077318263,0.012896570962607327,385.7142857142857
Body_mass_index,6.162217193861948e-08,0.0036284850943794538,0.00379974554470792,828.5714285714287
Abiotrophia,8.519291695115895e-08,0.0008178814838648027,0.010152855759587052,442.8571428571429
Megamonas,3.937375980505135e-07,0.03161812761222835,0.013981626189124465,271.42857142857144
Creatine_kinase,5.123651363928628e-07,0.00024203608423939665,0.010152855759587052,585.7142857142857
Uric_acid,5.414492075673769e-07,0.0010057806377885838,0.00379974554470792,1114.2857142857142
Hip_circumference,5.968378057623468e-07,0.00015476401184205622,0.010152855759587052,600.0
Dorea,7.126441810077864e-07,0.003318727164782213,0.00379974554470792,1157.142857142857
Constipation_.days_past_week.option,8.839666280367946e-07,0.0015698814954484023,0.034312246321689034,314.2857142857143
Carnobacterium,1.4184631324683317e-06,0.02632290528055387,0.034312246321689034,342.85714285714283
Prevotella,2.4427995550187265e-06,3.97056538789164e-05,0.00379974554470792,1371.4285714285713
Smoking_with_inhalation:Neen,3.6142354456293122e-06,0.00032592365999353274,0.015039162266804637,800.0
Height,1.5565087290517724e-05,0.0003507895478929179,0.012896570962607327,1014.2857142857142
Gender:M,1.8313305457521922e-05,0.005513462521714232,0.00379974554470792,1814.2857142857142
Working_hours_.hours.week.,0.0003561137282955491,0.0036341407057232846,0.003583332019740556,514.2857142857143
Roseburia,0.0007319350881322214,0.00747430848068559,0.010152855759587052,1928.5714285714284
