other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Shift_work:True,2.513367275728116e-16,8.7553193361065e-12,8.704536252756562e-13,89.0625
Aerococcus,4.1121623147946845e-15,0.014913425511099788,1.575765295479118e-08,31.25
unclassified_Fusobacteriaceae,7.159279301524456e-15,7.23923917615032e-05,1.0122039445107278e-08,28.125
Smoker,1.640341944814595e-14,2.526479534289754e-08,9.92119400483644e-11,73.4375
Roseburia,4.5073461181186695e-14,6.737763133581265e-18,9.609704831458862e-14,210.9375
Smoking_with_inhalation:Ja,6.152186794889709e-14,7.818710880837831e-10,2.2019409395269175e-10,70.3125
Veillonella,6.335169256012424e-14,3.5001636073172404e-05,2.539794225221394e-09,53.125
Facklamia,6.335169256012424e-14,0.0036451806368759743,1.3649935341144763e-09,53.125
Yersinia,7.474497056894648e-14,0.010339474831364895,2.7747830987724216e-05,26.5625
J01CR02_.amoxicillin_and_enzyme_inhibitor.,1.983377938938154e-13,7.141649361402338e-13,5.5588066893313205e-09,60.9375
Bacteroides,4.4274853202405604e-13,1.598415326960534e-17,4.543219318039349e-16,201.5625
L04AX01_.azathioprine.,3.778368215103735e-12,0.0007219047427493327,1.6779708748889278e-07,50.0
unclassified_Thermaceae,3.690602345475744e-11,1.936237305995371e-05,5.663877442374052e-06,25.0
Flavonifractor,5.7193308356892925e-11,1.847061939695141e-08,1.4809299738578295e-07,29.6875
Fusobacterium,7.271264205561542e-11,0.0030752562873657724,4.901040648425012e-07,21.875
J01CA04_.amoxicillin.,1.7629889469314656e-09,2.6899973350860392e-11,4.2954655698206634e-08,71.875
Eggerthella,1.0017406881009682e-08,1.181525766452449e-06,3.240956620384188e-05,23.4375
Paraeggerthella,2.4633919888310403e-08,1.8426998176903915e-05,0.0005810384357312435,20.3125
Clostridium_XlVb,2.8135650784910934e-08,1.82568777754086e-07,6.516739961586285e-10,142.1875
Sick_leave_.freq._past_year.option,3.491765239349754e-08,1.1730427179273915e-08,2.67680209580199e-10,75.0
Mucispirillum,4.994635225165828e-08,6.81375307861383e-05,1.4809299738578295e-07,42.1875
Beer_consumption.option,6.136480626951418e-08,2.7595476332320046e-05,1.4617104286639394e-07,118.75
Pelomonas,1.5813106752854123e-07,1.0838783260566085e-06,2.0774687406919838e-09,89.0625
Spirits_consumption.option,3.085212562183125e-07,9.541246238194023e-08,2.7829851484212407e-06,60.9375
Faecalibacterium,3.6440411007475536e-07,3.3458114510208864e-13,3.89460139390792e-12,278.125
Meat_.average_past_week.option,2.3216293138806587e-06,3.0101741190362953e-07,8.227008826574203e-08,93.75
Cellulosilyticum,2.3583844791893515e-06,0.00012465232139895777,8.201322169456479e-06,46.875
Sutterella,4.485871978343067e-06,3.4530069770743e-10,4.2829807339245534e-07,71.875
Cigarettes_.average.day_past_3_months.,6.557795918003965e-06,0.00025311787585198206,0.0002442077635825879,65.625
Ulcerative_colitis,2.509061057161891e-05,6.6945404123127556e-06,0.00031286831497181225,34.375
