n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps0,33,Flavonifractor,2.265125629617512e-05,2.709212530420069e-15,,0.001193745444872003,,73.68421052631578
comps0,33,Paraprevotella,0.011109856904695705,0.005860297439222194,,0.005804313875566889,,17.5
comps0,33,Clostridium_XlVb,1.3453617417600188e-12,6.3771249593487125e-18,,0.00716734760546187,,29.67032967032967
comps0,33,Shift_work:True,0.013619556901652983,1.7754557239753474e-15,0.6040780906072429,0.010732756195768118,0.02693379154403571,35.08771929824561
comps0,33,Pets_.past_3_months.,3.00360777191079e-06,1.1558470000748263e-07,,0.039242544174691675,,23.18840579710145
comps1,10,Sutterella,5.2867432765110156e-08,1.647038302926002e-12,0.19305906087643554,0.020812334051882434,0.5810721847929581,21.73913043478261
comps1,10,Shift_work:True,0.003658300787192815,1.2177914480470176e-10,0.6040780906072429,0.02693379154403571,0.010732756195768118,15.789473684210526
comps2,20,Faecalibacterium,6.993588001129531e-05,4.127958485974474e-10,0.0033454649574249243,0.005853802400130639,0.281070211031375,10.674157303370785
comps2,20,Body_mass_index,0.0005169766819508245,0.012941967841381984,,0.010673370946293127,,10.344827586206897
comps2,20,Spirits_consumption.option,7.646247968085991e-08,8.651126190118424e-14,0.6338389313837578,0.03321204070703563,0.48319718446621684,35.8974358974359
comps2,20,Hemoglobine,1.6332828962541142e-07,1.478756183406117e-10,0.19849148956929163,0.03839580337952217,0.9632873502293684,13.333333333333334
