other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Anaerofustis,2.1350551012278073e-17,2.041044254522436e-06,1.66536597942344e-07,35.55555555555556
unclassified_Aeromonadaceae,8.317642533282827e-15,0.013419231920434406,4.6877151779949844e-07,26.666666666666668
Robinsoniella,1.9282922712904207e-14,1.2487957609277384e-07,2.3258791151537474e-09,60.0
Acetanaerobacterium,4.471813837439498e-14,5.465698378239319e-08,7.359502615134447e-08,33.33333333333333
Anaerotruncus,2.5332665649739335e-11,1.7207936029326657e-07,6.845605270036534e-07,44.44444444444444
HDL_cholesterol,2.7784312933702067e-11,3.145836901060167e-09,9.698436746789035e-12,120.0
Anoxybacillus,4.38405530927386e-11,0.03866937626940439,0.00039988550316481634,31.11111111111111
Irritable_bowel_syndrome,1.3684579719769296e-10,1.2655908205553433e-09,2.2117643304277056e-09,102.22222222222221
Clostridium_XVIII,2.8686526678065197e-10,0.00022358172234461307,1.7278199985740178e-06,42.22222222222222
Mucispirillum,4.510293269684855e-09,0.02452611405257148,4.358473836510448e-07,60.0
Bilophila,1.721496294972317e-08,2.5598234911461278e-08,2.3147721074684376e-10,180.0
Murdochiella,1.3974454466148093e-07,2.5499983154517864e-05,3.285018559134335e-05,13.333333333333334
Fruits_.days_since_consumed.option,6.718287855417633e-07,4.1039322124827636e-07,3.227271964952606e-06,84.44444444444444
Hip_circumference,2.5449036041618103e-06,1.1725543009980083e-07,8.553431165939416e-06,93.33333333333333
Lactonifactor,2.692757787580023e-06,1.5042790763965891e-06,2.1471545197727066e-07,66.66666666666666
Coffee_.days_since_consumed.option,3.3026232280445894e-06,0.0011422753243196019,5.813457642706794e-07,55.55555555555556
Beta.globulin,3.453241979292576e-06,1.4255149323764745e-06,1.579389976939464e-08,95.55555555555556
Body_mass_index,4.55016377597387e-06,5.026042301560196e-07,1.6691606359618496e-06,128.88888888888889
unclassified_Ferroplasmaceae,7.395930006693824e-06,0.0012436632124241012,5.9296790189526906e-05,86.66666666666667
Pediococcus,8.702372048886149e-06,0.02355349439721155,0.00537605387222833,37.77777777777778
Glomerular_filtration_rate,7.238510544276851e-05,1.7132440573337327e-07,2.2865129380005072e-09,140.0
Pseudoflavonifractor,7.905140774142062e-05,3.4664740918503405e-07,1.7280443260876991e-06,75.55555555555556
Parabacteroides,0.00010654151585760091,1.665733746005998e-06,1.1673026880049302e-07,126.66666666666666
unclassified_Halobacteriaceae,0.00012358637422348748,0.0006204399649861216,0.00517266595228408,51.11111111111111
Mitsuokella,0.00022621035544957734,2.2688891775705064e-06,0.0008277290069949016,84.44444444444444
Granulicatella,0.0002871041362131179,2.0801688730346307e-05,4.870170640875375e-06,86.66666666666667
J01CR02_.amoxicillin_and_enzyme_inhibitor.,0.0002871041362131179,4.637331061758439e-06,5.813457642706794e-07,86.66666666666667
unclassified_Bryobacter,0.0003591723444517148,2.8403692306286275e-06,0.0016721409699961168,180.0
unclassified_Mariprofundaceae,0.0003612558034216457,4.22508469140757e-05,0.004896185093024669,88.88888888888889
unclassified_Thermoactinomycetaceae,0.0004116316395430736,1.9890575890492412e-07,3.021849490015573e-07,162.22222222222223
Megasphaera,0.0004730509523506754,9.797157635040332e-06,0.0020274179620743543,75.55555555555556
Bacteroides,0.0004796887797728379,3.383250416036704e-09,8.133369022582646e-12,286.6666666666667
Sleep_.hours.day.,0.00048657598118588953,0.00021837853005995725,6.643886285193694e-08,108.88888888888889
Slackia,0.0006295486357805452,0.0012660753005426482,4.279656352789422e-08,148.88888888888889
Pets_.past_3_months.,0.0008563979166820821,2.468345928157399e-06,4.279656352789422e-08,153.33333333333334
Alistipes,0.0011229229720157018,7.442229326838922e-09,2.177702043340966e-08,284.44444444444446
Phascolarctobacterium,0.0015524958907891812,1.3659266499324698e-05,1.903584691290721e-05,55.55555555555556
unclassified_Enterobacteriaceae,0.001637047409421709,0.0005866043218709858,0.0008003598382123353,17.77777777777778
Pseudomonas,0.002096572876454085,0.022898897417027584,3.266066265517658e-06,91.11111111111111
Working_hours_.hours.week.,0.003550672005140062,0.010161915894835056,0.0004276339554384224,80.0
Streptococcus,0.004912552968213174,0.0040645412933508545,0.0020274179620743543,102.22222222222221
J01XE01_.nitrofurantoin.,0.005099066011668151,0.006905126783184349,3.296178709004627e-05,84.44444444444444
Gender:F,0.005439381474191151,8.430760121058053e-07,8.769768663137829e-10,313.3333333333333
Holdemania,0.006301441444237447,0.0017641358305084697,0.00040681943643287486,37.77777777777778
Gordonibacter,0.006527963927855324,0.00016396619965876948,0.00041336942718661954,53.333333333333336
Creatinine,0.00881909456345102,0.00013206703628684366,0.0009781573011789222,131.11111111111111
Flavonifractor,0.01054179694250444,0.00012425007451437466,0.00040681943643287486,42.22222222222222
Childhood_residence_type.option,0.014082647332276441,1.6216740068754914e-05,0.00017593031089732053,80.0
Clostridium_XI,0.015518856131912645,1.2768713838201815e-05,0.00039988550316481634,160.0
unclassified_Prevotellaceae,0.016661153147784765,4.110159114924272e-06,0.0008030459141894784,133.33333333333331
EscherichiaShigella,0.021435245103313214,0.0005866043218709858,0.0008003598382123353,33.33333333333333
Shift_work:nan,0.021435245103313214,0.0007589804234935379,0.0008003598382123353,33.33333333333333
unclassified_Desulfohalobiaceae,0.027027984642768843,2.1305800882825217e-05,0.0014213985841004596,122.22222222222223
Turicibacter,0.03392061244422699,3.8434922020497195e-05,0.00039988550316481634,171.11111111111111
Clostridium_sensu_stricto,0.04006079002942057,2.005838407516037e-06,0.00039988550316481634,180.0
Triglycerides,0.0460621521327006,0.0006140372382920322,0.010662292457291396,60.0
Gamma.glutamyltransferase,0.0460621521327006,0.0108649757735748,0.00230965586936607,60.0
