n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps0,47,Faecalibacterium,2.0061301373698676e-07,4.846193867435555e-22,0.0011085894779239993,2.485890038573677e-07,0.13692444628240658,24.719101123595504
comps0,47,Bloating_.days_past_week.option,0.005101893414585791,7.951862685346165e-07,,0.010907842959036329,,44.0
comps0,47,A07EC02_.mesalazine.,0.01105097002547523,3.1654487296614817e-07,,0.015694295206034586,,60.0
comps0,47,Glomerular_filtration_rate,0.010941734857079426,6.036572837908094e-06,0.16005734623194479,0.024690976959950952,0.7921473917958973,25.396825396825395
comps0,47,Bacteroides,0.0007096985091972418,0.0015333591185348586,0.8193227771513388,0.04018661384580195,0.5421210456726284,15.503875968992247
comps2,15,Smoking_with_inhalation:Ja,1.2660051980535257e-05,4.0808611991022925e-06,0.43342193095607373,0.023655378364711585,0.382576613700195,17.77777777777778
comps2,15,Shift_work:nan,0.0010639334359594016,0.00047230497091529586,,0.043005893360148616,,26.666666666666668
comps3,11,Hip_circumference,1.5094758029656518e-07,3.2441664756081775e-06,,0.004121010316289229,,16.666666666666664
comps3,11,unclassified_Lactobacillaceae,3.860551925743358e-10,4.807302739442686e-15,,0.005478553242547366,,69.23076923076923
comps3,11,Catenibacterium,1.746065999883934e-13,1.1593542739643337e-11,,0.00809948937497647,,18.96551724137931
comps3,11,Leuconostoc,1.5094758029656518e-07,1.803082644039014e-11,,0.016703403847161492,,70.0
comps3,11,Constipation_.days_past_week.option,0.0023470839260312797,0.008405058653319232,,0.02777296959686304,,13.636363636363635
comps3,11,unclassified_Euzebyaceae,3.860551925743358e-10,1.2713787212491459e-10,,0.032969765151724506,,29.03225806451613
comps3,11,Rothia,3.756835605350257e-09,1.2713787212491459e-10,0.6015081344405899,0.043005893360148616,0.36571229628151325,28.125
