other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Oscillibacter,1.0921627374524185e-13,9.429901516467838e-12,1.2607841050630776e-05,118.18181818181819
unclassified_Acanthopleuribacteraceae,4.206379674427322e-12,0.0012889939824146971,4.058273127799832e-05,36.36363636363637
unclassified_Anaplasmataceae,6.20634014462199e-12,2.127001728063048e-06,0.0015250735133967058,87.87878787878788
Streptophyta,5.766172014098764e-11,2.599872526739458e-08,4.2536169232990153e-07,100.0
Clostridium_III,8.495181604374332e-11,0.0016602912757990211,0.00017685808046218133,33.33333333333333
Succinatimonas,1.5419278130389102e-10,5.1616512008388664e-05,5.121017683526555e-06,57.57575757575758
unclassified_Eubacteriaceae,2.0438982891206096e-10,3.962898120362948e-11,1.6163510172882823e-06,227.27272727272728
Anaerosporobacter,2.8199293217753973e-10,3.200468953496191e-06,2.2655796325638516e-05,203.03030303030303
unclassified_Neisseriaceae,3.3689054528292975e-10,0.042760781489220155,0.04674784202732645,27.27272727272727
unclassified_Beutenbergiaceae,8.756863396357711e-10,0.0006897169798984639,0.00018873938922936697,118.18181818181819
Chocolate_type_preference.option,1.721119484753781e-09,6.424311858040464e-05,0.0007666280541172652,103.03030303030303
unclassified_Gracilibacteraceae,3.4885389740009243e-09,2.571690409208772e-10,1.4813345664163624e-06,330.3030303030303
Arcobacter,6.731947304398521e-09,0.00010061235035636644,3.401793881456276e-05,24.242424242424242
Desulfovibrio,7.017234780814622e-09,1.0204474944587701e-06,1.509925107470756e-05,212.12121212121212
unclassified_Sutterellaceae,8.510074492775048e-09,1.2390058575185345e-09,1.6163510172882823e-06,275.75757575757575
unclassified_Desulfomicrobiaceae,1.2208726848122413e-08,3.2979758935383715e-07,3.9347625030161824e-05,190.9090909090909
Comamonas,1.4617254487518028e-08,0.0009327436158460763,0.00017685808046218133,48.484848484848484
Age,1.476160566287811e-08,2.1681452280265572e-06,7.928496336945376e-05,166.66666666666669
unclassified_Methylococcaceae,1.9961092485916523e-08,0.011482273108458185,5.121017683526555e-06,81.81818181818183
Hafnia,4.123378399773665e-08,0.015815720660730156,0.04674784202732645,39.39393939393939
Methanobrevibacter,5.09630300359198e-08,1.2576821723369027e-08,5.609287400017555e-06,339.3939393939394
Lactonifactor,7.503892544851346e-08,3.0898671691678896e-06,5.121017683526555e-06,90.9090909090909
Fruits_.freq._past_week.option,8.008230960966987e-08,0.00010778633227178465,0.004810752492522063,112.12121212121211
Lactococcus,9.3268144169975e-08,0.005201368220681832,3.401793881456276e-05,30.303030303030305
unclassified_Cryomorphaceae,1.0647742414480616e-07,9.82443008261646e-06,8.082505526976516e-06,281.8181818181818
Porphyromonas,1.1299266157834543e-07,0.013133883060026287,0.004810752492522063,115.15151515151516
unclassified_Peptococcaceae,1.5084998261185257e-07,1.903635669957683e-07,1.2607841050630776e-05,254.54545454545453
unclassified_Clostridiales,2.184222439689981e-07,7.148544513633678e-09,1.4813345664163624e-06,406.06060606060606
unclassified_Porphyromonadaceae,2.3051741844187145e-07,1.558498494809866e-07,1.6163510172882823e-06,330.3030303030303
unclassified_Natranaerobiaceae,3.7282495468927867e-07,6.29673321973529e-10,8.808034720975604e-06,339.3939393939394
Creatinine,4.0026141815075796e-07,4.697677699816982e-07,0.0001405692831339432,178.78787878787878
Campylobacter,5.054504008698476e-07,0.008091008473028407,0.00017685808046218133,66.66666666666666
unclassified_Oxalobacteraceae,9.71056549718289e-07,1.468228497569493e-07,8.082505526976516e-06,321.2121212121212
unclassified_Haloplasmataceae,1.1531066449997074e-06,0.0015649105077962752,0.01028467910127604,54.54545454545454
unclassified_Xanthomonadaceae,1.222910662467874e-06,4.87929381058025e-07,0.011282346645098338,139.3939393939394
Shift_work:False,1.2304961962534323e-06,0.00024275166077742603,0.00021399206529224433,224.24242424242422
unclassified_Rhodobacteraceae,1.2351580972252479e-06,0.0003931975244887173,0.007544524239184281,115.15151515151516
unclassified_Clostridiaceae,2.7649153336138863e-06,5.79407476859123e-09,2.4350227946618888e-06,342.42424242424244
unclassified_Ruminococcaceae,3.4503547050701576e-06,2.1545726923676672e-10,1.4813345664163624e-06,469.69696969696975
Alistipes,3.7279277139386116e-06,1.8952474124145782e-10,1.6163510172882823e-06,387.8787878787879
unclassified_Puniceicoccaceae,4.172159516362018e-06,2.9923314540387064e-07,0.004810752492522063,154.54545454545453
unclassified_Thermoactinomycetaceae,6.940740892661247e-06,2.4483025463131623e-07,0.0004223980049390561,221.2121212121212
unclassified_Acetobacteraceae,9.905509883910256e-06,3.489455074505436e-07,0.00020023600046367344,260.6060606060606
unclassified_Incertae,1.0577875705910462e-05,1.0390652069080852e-08,0.00034158682137117974,296.969696969697
unclassified_Pseudomonadaceae,1.2255420327828035e-05,0.005460769552509253,0.0003850992513296704,169.6969696969697
Barnesiella,1.2255420327828035e-05,3.6203336551740544e-08,0.004810752492522063,169.6969696969697
Enterorhabdus,1.3500317395495707e-05,3.712362680487147e-05,1.3599610560340418e-05,266.66666666666663
Succinivibrio,1.4485081060207923e-05,0.001149394343178044,8.132555716746941e-05,93.93939393939394
Parvimonas,1.4485081060207923e-05,2.1119749138477796e-05,0.03837028153011279,93.93939393939394
unclassified_Alicyclobacillaceae,1.7976924193194906e-05,0.00010532067933849483,3.401793881456276e-05,54.54545454545454
unclassified_Heliobacteriaceae,1.90182825374158e-05,0.00029306668128020334,7.652723798880509e-05,239.3939393939394
Sleep_.hours.day.,1.993179625346736e-05,2.3083612052472006e-06,3.0213116963230663e-05,148.4848484848485
Stenotrophomonas,2.1643632812884697e-05,0.0003138622061368235,0.00012630551153760086,75.75757575757575
unclassified_Gilvimarinus,2.419401128104272e-05,7.07914587335392e-05,0.0019290425787191127,124.24242424242425
Clostridium_IV,2.4387395745736344e-05,6.731054925094001e-09,7.763656185503225e-07,278.7878787878788
Bilophila,2.6013085249919137e-05,5.164986304386596e-07,4.2536169232990153e-07,245.45454545454547
unclassified_Alteromonadaceae,3.0052841527684565e-05,0.042760781489220155,0.04674784202732645,78.78787878787878
unclassified_Veillonellaceae,4.472734561656858e-05,5.651346037351138e-10,1.6163510172882823e-06,451.51515151515156
Victivallis,6.371257018340168e-05,1.0873006142000011e-07,6.745802886817632e-06,196.96969696969697
unclassified_Desulfohalobiaceae,6.543745960157594e-05,0.0001605520180988757,0.00018118353117912715,166.66666666666669
Clostridium_sensu_stricto,0.0001356348775754734,0.00010470483705541792,7.0070949226836625e-06,245.45454545454547
Carnobacterium,0.00015368114687964,1.2339703772401028e-05,0.00030213754252047577,72.72727272727273
unclassified_Bifidobacteriaceae,0.00016241410341660234,5.106055698127368e-06,0.0001820025462529653,215.15151515151513
Clostridium_XI,0.00018782512688520847,4.3068087371223986e-07,4.843244548281786e-06,218.18181818181816
unclassified_Vibrionaceae,0.00020237623905876274,0.00019994368010378544,0.0008494775664724451,100.0
G03CA04_CC06_.estrogens.,0.00020873395642446709,0.0015006418962482634,0.013234588837086898,127.27272727272727
Papillibacter,0.0002538372910505244,0.000474654452360183,0.00017685808046218133,130.3030303030303
unclassified_Ignavibacteriaceae,0.00026573227900301386,1.2671117014187647e-07,0.03306304945947491,160.6060606060606
Sick_leave_.freq._past_year.:nan,0.00036875695524864443,1.9172674341938757e-05,0.0010874736904138928,136.36363636363635
Food_allergy,0.00036875695524864443,0.011880011139859342,0.03392557082325573,136.36363636363635
Collinsella,0.00043211762293032986,0.00013871328436359772,0.006875026103935866,169.6969696969697
Dorea,0.0006185305990482063,0.00013889757401100013,1.3208701651093998e-05,245.45454545454547
Akkermansia,0.000705939972677232,1.9691860256003775e-06,0.04674784202732645,118.18181818181819
Psychrobacter,0.0007097645150203323,0.011818113906425875,0.00030213754252047577,90.9090909090909
unclassified_Dehalogenimonas,0.0007302701669666939,0.0001747919243331054,5.5820785814235694e-05,148.4848484848485
Actinobacillus,0.0008804678546498422,0.00014588712519857908,0.00030213754252047577,93.93939393939394
Odoribacter,0.0008829665767866488,4.803980148984299e-06,0.004810752492522063,254.54545454545453
unclassified_Cellulomonadaceae,0.001161462132489938,1.6941024001339896e-05,5.5820785814235694e-05,157.57575757575756
unclassified_Methanomicrobiales,0.001161462132489938,0.0009559112738416507,0.00017685808046218133,157.57575757575756
unclassified_Coriobacteriaceae,0.0017276360589235948,3.45874603698127e-05,0.005861339413798433,312.1212121212121
Tannerella,0.0020115719507484437,0.012195500417794906,0.0034509854360874276,33.33333333333333
unclassified_Simkaniaceae,0.0020406096093022255,6.696867381435333e-06,0.0064524558356407555,169.6969696969697
unclassified_Kofleriaceae,0.002261004071187096,0.00016184171845117268,0.04674784202732645,139.3939393939394
Vagococcus,0.002261004071187096,3.7592674289267944e-05,0.00012630551153760086,139.3939393939394
unclassified_Oleiphilaceae,0.003181950631402944,0.003000530739399257,3.401793881456276e-05,115.15151515151516
unclassified_Methanosarcinaceae,0.003552291237147958,0.0003540196438669193,0.00016084307568803018,87.87878787878788
unclassified_Micrococcaceae,0.0039593855066812865,0.005712884491410874,3.480815976517632e-05,151.5151515151515
unclassified_Chromatiaceae,0.0047512579405246955,0.0479270471818607,0.49530281926533903,21.21212121212121
Cronobacter,0.0047512579405246955,0.0029658810500845603,0.03574267017030029,21.21212121212121
unclassified_Polyangiaceae,0.0047512579405246955,0.003065425246607716,0.03574267017030029,21.21212121212121
unclassified_Streptococcaceae,0.005389701035543598,0.0010467088712299585,0.00112580186689545,193.93939393939394
Pseudobutyrivibrio,0.007334846090156988,6.910965618292159e-06,0.00012630551153760086,166.66666666666669
unclassified_Bradyrhizobiaceae,0.008604422191597271,1.4009604575244582e-05,0.0030332399490636416,136.36363636363635
unclassified_Victivallaceae,0.011073441132772439,3.0885582649952585e-07,0.004979505086687977,333.33333333333337
unclassified_Acidimicrobiaceae,0.014505529285862163,0.00313347076232789,0.006412565917631107,30.303030303030305
