n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps0,19,Clostridium_IV,0.0002480431338582913,1.3800165015357324e-08,0.24715997321190708,0.0003502869223876754,0.8070111437001304,15.217391304347828
comps0,19,Akkermansia,0.010356625206458348,9.138164776304266e-06,,0.0011460851841954005,,20.51282051282051
comps0,19,Streptophyta,1.452719388106534e-05,1.7841597106912144e-15,,0.00281799602111238,,42.42424242424242
comps0,19,unclassified_Natranaerobiaceae,3.26083292664519e-07,6.149512243528145e-13,0.10034824646229075,0.004343262824949232,0.19076303883388712,16.071428571428573
comps0,19,Alistipes,1.2212857403165484e-09,1.2019444720092931e-13,,0.005194109567952733,,14.84375
comps0,19,unclassified_Veillonellaceae,1.2212857403165484e-09,2.6506858900438913e-12,,0.010017503388018779,,12.751677852348994
comps0,19,unclassified_Ruminococcaceae,2.564700054664753e-07,4.53064281924007e-12,0.022824427925560963,0.016725179931313595,0.10761884894506411,12.258064516129032
comps0,19,unclassified_Sutterellaceae,1.2212857403165484e-09,9.936434454325895e-17,,0.017422138953027015,,20.87912087912088
comps0,19,unclassified_Desulfovibrionaceae,0.027208261704924637,0.0011986616473640605,,0.023301082415551816,,14.634146341463413
comps0,19,Oscillibacter,1.4655428883798617e-07,4.0682507703622945e-20,,0.02434732662640448,,43.58974358974359
comps0,19,Victivallis,0.00016175929630492643,4.1570162009933956e-08,,0.03455888617050285,,18.461538461538463
comps0,19,unclassified_Peptococcaceae,1.4655428883798617e-07,1.7290542031253547e-13,,0.03786266486702645,,20.238095238095237
comps0,19,Papillibacter,0.003926585094549506,1.6039742392071773e-06,,0.03799969880731264,,20.930232558139537
comps0,19,unclassified_Alicyclobacillaceae,0.01259817305423533,3.166837089053798e-07,,0.04157490523134869,,38.88888888888889
comps0,19,unclassified_Haloplasmataceae,0.010356625206458348,9.442614271423631e-09,,0.04558915617958008,,44.44444444444444
comps0,19,unclassified_Verrucomicrobiaceae,0.027208261704924637,0.007600754727982733,,0.046425133303521854,,10.344827586206897
comps0,19,Succinatimonas,0.0004906820783156826,9.394833696841292e-14,,0.04750893270660875,,57.89473684210527
comps1,12,Vagococcus,3.5652149111548396e-05,3.778714908621368e-07,,0.0059026406965886615,,17.391304347826086
comps1,12,unclassified_Lachnospiraceae,2.8183517084228018e-09,7.105912884461885e-08,,0.02952163361518254,,8.053691275167784
