other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Hip_circumference,5.4548754694424304e-43,2.6981929175089115e-19,3.3175460962937353e-19,72.41379310344827
Prevotella,2.3492526934180654e-23,8.43702461683511e-25,1.0934234818633794e-16,165.51724137931035
Working_hours_.hours.week.,4.214729423683357e-23,2.718646683943787e-07,1.0343253457713242e-11,62.06896551724138
Rothia,9.392034799659756e-16,6.514420928068134e-09,1.9935395007024785e-11,55.172413793103445
Triglycerides,1.1841538493383204e-13,7.38133410094299e-09,1.5679614824973812e-08,46.55172413793103
Dialister,2.2011048756041993e-12,3.451912719685979e-08,3.3303757340299557e-07,58.620689655172406
Gamma.glutamyltransferase,2.7500742562287244e-12,0.00012733135285184093,1.5047870173862335e-08,46.55172413793103
unclassified_Desulfarculaceae,3.954068862733617e-11,8.564888217452412e-07,3.2886643558627854e-08,34.48275862068966
Creatine_kinase,1.7935526945431558e-10,1.2541478982521386e-11,2.0996611995666626e-09,70.6896551724138
Lachnobacterium,2.1315283359762557e-10,0.004021949196648756,0.00011400303681755316,22.413793103448278
Uric_acid,2.154955589141303e-10,8.884051556833569e-10,1.349991253913941e-10,134.48275862068965
Work_days_per_week,3.129202580489139e-10,2.5807296792384346e-06,2.3814735816213334e-09,106.89655172413792
Gender:M,4.146342199052676e-10,1.1490194823890174e-08,6.958429592034974e-13,218.9655172413793
Creatinine,7.988986054484514e-10,1.0515857855233585e-07,2.0113615344923258e-08,101.72413793103448
unclassified_Prevotellaceae,1.1806304829290928e-09,2.394546809529251e-13,1.0685057279254338e-09,103.44827586206897
Mitsuokella,4.283840438895873e-09,1.8948095656723648e-10,6.722889846960605e-09,65.51724137931035
Beta.globulin,5.013651495647402e-09,1.4671469338575463e-06,3.75432667234687e-09,74.13793103448276
Roseburia,1.480593992060026e-08,7.221369479691266e-14,3.115342750120665e-13,232.75862068965517
Working_start_age:nan,3.8122237184092455e-08,1.7118635529716223e-05,1.2926736052775869e-06,36.206896551724135
Bristol_stool_score,5.6292155509914653e-08,6.094589959053636e-13,3.3486405779989834e-12,217.24137931034483
Alanine_transaminase_.ALT.,6.162217193864706e-08,0.00379974554470792,0.0036284850943794538,12.068965517241379
Scardovia,7.76677936306482e-08,2.7955055101634365e-05,1.2926736052775869e-06,37.93103448275862
unclassified_Lactobacillaceae,2.400054071171139e-07,1.228282726034375e-05,0.00010894193860849616,22.413793103448278
unclassified_Cyclobacteriaceae,9.050164419633461e-07,0.006089397842056332,1.2345871061393168e-06,31.03448275862069
Constipation_.days_past_week.option,9.594495629072238e-07,0.00019241053041536385,9.665161975357866e-06,37.93103448275862
Streptococcus,1.0135738574011701e-06,2.3542165473343706e-05,9.6892795602193e-09,79.3103448275862
Megasphaera,3.861511939323687e-06,3.089404442986548e-08,2.839589041148012e-08,58.620689655172406
Alpha.2.globulin,4.5501637759754555e-06,1.6691606359618496e-06,5.026042301560196e-07,77.58620689655173
unclassified_Desulfonatronaceae,5.827959102286805e-06,0.010046770633655423,8.684577770921827e-05,17.24137931034483
Lactobacillus,1.820573587008988e-05,1.554568047318776e-05,1.2926736052775869e-06,56.896551724137936
Carnobacterium,2.5303514085538592e-05,0.04642960876331125,1.0339805955937456e-05,41.37931034482759
L04AB_.TNF.alpha_inhibitors.,3.89740502791606e-05,0.001594642998132326,0.00023245145313725106,43.103448275862064
Bloating_.days_past_week.option,3.89740502791606e-05,7.53786580619109e-07,6.753550399898913e-06,43.103448275862064
Abiotrophia,5.696441617553858e-05,1.0888604397475085e-05,2.5972581503018323e-06,53.44827586206896
Pediococcus,6.396758775567768e-05,0.02355349439721155,0.0027836530069148256,29.310344827586203
Megamonas,0.00016965094895191122,0.02099688987133932,0.0012111066413097347,32.758620689655174
Clostridium_sensu_stricto,0.00035796910033759476,2.1913491870001106e-07,4.891002686045909e-08,139.6551724137931
Height,0.000497221073509911,2.3542165473343706e-05,1.9117877597979637e-06,122.41379310344827
Murdochiella,0.0010785833992092526,0.0005616952911435696,0.0017671266283987414,10.344827586206897
Anaerobiospirillum,0.0011090171364506087,0.0003088710977899863,0.0002682615290858149,41.37931034482759
unclassified_Acidaminococcaceae,0.0011116749607180728,3.9165230490468183e-07,1.0390652069080852e-08,127.58620689655173
Shift_work:nan,0.001707052224634839,0.00018132032794743327,0.00015476401184205622,25.862068965517242
unclassified_Halobacteriaceae,0.004241552726933725,0.0015480116767424936,0.009697254462240177,39.6551724137931
unclassified_Enterobacteriaceae,0.004324339175279208,0.0005866043218709858,0.0017671266283987414,13.793103448275861
Turicibacter,0.00609711971532461,1.0453761522989041e-05,1.194902438862007e-05,132.75862068965517
Red_blood_cell_count,0.006910244743141718,7.753216764211817e-05,0.00013999922172895052,136.20689655172413
Hemoglobine,0.007570617622872928,3.4864788334760183e-06,7.851625380814838e-07,232.75862068965517
Smoking_with_inhalation:Neen,0.016091647767859103,4.280745603050532e-05,0.0001489357906203837,96.55172413793103
Allisonella,0.016254913244677628,0.013856138509636417,0.007736376059089667,18.96551724137931
Clostridium_XI,0.01861513990200855,2.828432710911105e-05,3.039841274889495e-05,124.13793103448276
EscherichiaShigella,0.049846102009382526,0.0005866043218709858,0.0017671266283987414,25.862068965517242
