other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
unclassified_Methanomicrobiaceae,5.0463708925370963e-20,3.593233565126656e-10,9.9964047114235e-07,67.24137931034483
unclassified_Acidaminococcaceae,1.2853960506230487e-19,3.9581714542461036e-16,2.3646105143957525e-10,127.58620689655173
unclassified_Dehalogenimonas,1.0777327055153395e-17,3.1973226105548638e-09,1.7643037703719802e-07,84.48275862068965
unclassified_Aquificaceae,3.4541321367126535e-17,6.879572641413291e-06,1.3168444824641847e-06,44.827586206896555
Dorea,7.148975207721732e-17,3.607022950672465e-11,2.123928712455728e-07,139.6551724137931
unclassified_Lachnospiraceae,1.3172954540640187e-15,3.4714585183707314e-14,9.112134373452833e-12,256.89655172413796
Hespellia,3.1234345554608316e-14,0.00011358958993566565,2.815642872587533e-06,62.06896551724138
unclassified_Corynebacteriaceae,1.284919093697866e-13,0.00012261037388030564,8.769066762889742e-05,36.206896551724135
unclassified_Elioraea,1.3941428979340635e-13,2.918190813894607e-07,9.854275475236548e-05,41.37931034482759
unclassified_Sphingobacteriaceae,2.6808946538816393e-13,8.089523108954658e-06,1.102285874229491e-06,60.3448275862069
unclassified_Syntrophaceae,3.4222713280477476e-11,8.80423705317765e-05,1.230596295296908e-06,58.620689655172406
unclassified_Kiloniellaceae,3.605906992343516e-11,2.0918724240104864e-06,2.1088809590524478e-06,29.310344827586203
unclassified_Succinivibrionaceae,6.509753281056145e-11,1.2401918469084185e-05,9.854275475236548e-05,53.44827586206896
Coprococcus,7.89978248107451e-11,8.38834032908342e-12,3.607957946748209e-08,246.55172413793105
Anaerophaga,5.740120372371836e-10,0.006036791145314589,1.2692475505886824e-06,82.75862068965517
unclassified_Erysipelotrichaceae,7.791817294636712e-10,7.886550114115431e-13,1.0135804800226521e-08,198.27586206896552
Pseudobutyrivibrio,1.3385188921857541e-09,3.59533567168439e-10,1.9699513511800942e-08,94.82758620689656
Olsenella,2.1659324660667014e-09,2.6360347203328248e-08,0.00011510548021547141,87.93103448275862
unclassified_Microbacteriaceae,3.09906276822861e-09,1.7502179458919174e-06,1.8796973637754206e-05,56.896551724137936
unclassified_Prevotellaceae,9.053354442616119e-09,5.6102007627558896e-08,3.487633738318216e-07,103.44827586206897
Mogibacterium,1.4191959285492929e-08,5.545311963812704e-11,2.2958121906551412e-05,115.51724137931035
Allobaculum,1.555463781401477e-08,7.09902665201258e-10,0.0011958432013950363,96.55172413793103
unclassified_Synergistaceae,2.161348422542813e-08,1.159204445335018e-06,6.870720782763792e-05,18.96551724137931
