other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
unclassified_Thermoactinomycetaceae,2.010261142829645e-18,4.412288633925304e-17,3.334247749912539e-09,132.72727272727275
Working_start_age.option,1.0024184464844148e-16,4.865249957520224e-09,1.0175138809077557e-08,169.0909090909091
Weight_perception.option,2.958749799727976e-14,6.833981529502176e-11,1.0065875656692241e-10,129.0909090909091
Shift_work:False,1.0838800481373191e-13,3.950244332087448e-07,1.0134444962324697e-08,134.54545454545453
Alistipes,1.3675130514395337e-13,2.0582590288072484e-15,1.0723395816958061e-09,232.72727272727272
unclassified_Eubacteriaceae,1.6431121118657451e-13,8.812171340989249e-14,1.2918039023713842e-08,136.36363636363635
HDL_cholesterol,1.935177736455978e-13,1.8175663490405886e-09,4.22075183433376e-07,98.18181818181819
unclassified_Bacillales,2.2467186052788776e-12,1.2136152559962092e-07,1.2547062067520718e-07,107.27272727272728
Irritable_bowel_syndrome,5.813929639857577e-12,2.706391344794597e-09,4.250542777631232e-06,83.63636363636363
unclassified_Syntrophorhabdaceae,4.839141606702729e-11,4.620521857585777e-09,2.4425488210839435e-05,58.18181818181818
unclassified_Thiotrichaceae,1.7977212911229207e-10,6.285559260820273e-14,8.81949239708114e-08,116.36363636363636
Akkermansia,2.442942308693602e-10,1.599594010191174e-11,5.679986061240583e-07,70.9090909090909
unclassified_Peptococcaceae,3.3369245313813436e-10,1.5170977002454306e-11,3.2413870939073936e-08,152.72727272727275
unclassified_Incertae,4.035310202433682e-10,5.2744446960472135e-14,1.2918039023713842e-08,178.1818181818182
Methanosphaera,4.4674169373754284e-10,4.512381033215092e-09,1.3715716406035733e-05,36.36363636363637
Smoking_with_inhalation:Neen,6.104576933188242e-10,1.3984576077001102e-09,5.3898650934290807e-08,101.81818181818181
unclassified_Porphyromonadaceae,1.1439229053735615e-09,4.4061664899253355e-09,5.874073661607825e-09,198.1818181818182
unclassified_Gracilibacteraceae,1.1439229053735615e-09,3.0144637449072273e-13,5.874073661607825e-09,198.1818181818182
Acetitomaculum,1.2360890487883937e-09,4.3282725623584524e-05,0.00014242128714608233,21.818181818181817
Gender:F,1.4413619846712283e-09,1.3285807787657459e-11,5.3581712087305304e-08,256.3636363636364
unclassified_Coriobacteriaceae,1.5638707329645374e-09,5.383880204117235e-11,1.2918039023713842e-08,187.27272727272728
Porphyromonas,1.6554561415834482e-09,7.853501890051849e-05,2.827267853906644e-05,69.0909090909091
Methanobrevibacter,2.4212841984191903e-09,1.22237295735014e-12,5.874073661607825e-09,203.63636363636363
unclassified_Natranaerobiaceae,2.4212841984191903e-09,5.259359111842109e-14,5.874073661607825e-09,203.63636363636363
unclassified_Heliobacteriaceae,3.6960349213232306e-09,2.3276150019589878e-09,7.84629078577536e-08,143.63636363636363
Collinsella,5.175088902148327e-09,9.232831771632825e-09,1.1909062635148896e-06,101.81818181818181
unclassified_Desulfovibrionaceae,7.140213726147909e-09,4.3959669454566277e-07,6.043880643545859e-07,74.54545454545455
Hydrogenoanaerobacterium,9.043833061945814e-09,2.350747969143823e-06,2.9907516720824223e-05,36.36363636363637
unclassified_Clostridiales,1.0574483182362178e-08,1.0376104908831129e-13,2.4593079678661624e-09,243.63636363636365
unclassified_Verrucomicrobiaceae,1.0714406276075356e-08,5.372737763561756e-12,3.00483075477673e-07,105.45454545454544
Plan_to_change_weight.option,1.5707991198211607e-08,2.7554853015383244e-11,2.617699354128682e-08,118.18181818181819
unclassified_Clostridiaceae,1.7977000930038155e-08,3.7259254564766265e-14,2.6062038497055263e-08,205.45454545454547
unclassified_Helicobacteraceae,1.8759568971886297e-08,0.0006877284536585071,6.289626876393396e-06,52.72727272727272
unclassified_Ruminococcaceae,2.474083872121103e-08,3.228637678656923e-18,5.027634828984265e-10,281.8181818181818
Filifactor,3.21695974983241e-08,0.010003369082049367,6.523646972841052e-05,32.72727272727273
Bilophila,4.205042032044305e-08,9.127559332666527e-08,9.139786320778698e-07,147.27272727272725
unclassified_Kofleriaceae,5.896217324310371e-08,5.108746551864573e-07,1.2420691721783723e-06,83.63636363636363
Soy_products_.average_past_week.option,1.457417644378616e-07,8.684840593943423e-07,0.0001184359043533168,43.63636363636363
unclassified_Thiohalobacter,1.461995227073275e-07,6.985149390498576e-05,0.0003114038967775585,23.636363636363637
unclassified_Chitinophagaceae,1.8866380108431643e-07,9.55625700424175e-10,1.4924917808127008e-07,121.81818181818183
unclassified_Parachlamydiaceae,2.526452735361514e-07,0.0068365567595953265,0.00014242128714608233,30.909090909090907
unclassified_Thermoanaerobacteraceae,3.3189335513553706e-07,3.1533669497951023e-13,2.8335583711586866e-08,216.36363636363635
unclassified_Puniceicoccaceae,3.5522454068460266e-07,8.944307596304811e-10,6.043880643545859e-07,92.72727272727272
unclassified_Aerococcaceae,5.455532353689357e-07,4.56908946687541e-07,7.052066632063125e-05,56.36363636363636
Rikenella,8.555791551588707e-07,0.019808852069833852,1.3715716406035733e-05,58.18181818181818
unclassified_Methanobacteriaceae,8.827505629897335e-07,3.4090242443367296e-06,0.0003114038967775585,27.27272727272727
unclassified_Victivallaceae,1.2075678190137128e-06,8.368271028010582e-10,2.693920325675055e-07,200.0
Time_since_previous_relief.option,1.8066171737419491e-06,7.927370878096011e-08,6.289626876393396e-06,70.9090909090909
unclassified_Rickettsiaceae,1.965087320439116e-06,5.798230249829458e-12,2.7146582653469965e-06,163.63636363636365
Pseudoflavonifractor,1.981275109253714e-06,8.94669964574879e-08,0.0028511065323379796,61.81818181818181
unclassified_Bacillaceae,3.9425857411739645e-06,2.656211074844271e-08,1.1833884692251275e-07,143.63636363636363
Enterorhabdus,5.90858099527015e-06,1.6073301131858427e-08,9.268345873206408e-08,160.0
Barnesiella,9.308754919994687e-06,1.844328615490135e-09,3.915215654075656e-06,101.81818181818181
unclassified_Oxalobacteraceae,1.0418923519390038e-05,2.157240442867177e-11,7.07337578747163e-08,192.72727272727272
unclassified_Desulfomicrobiaceae,1.0730957308595789e-05,6.985986914094713e-07,6.043880643545859e-07,114.54545454545455
Q10_supplement,1.2114543927541884e-05,0.0009133008218709747,0.0003114038967775585,34.54545454545455
unclassified_Waddliaceae,1.2942998415377196e-05,0.007136356227997326,6.320679507824927e-06,92.72727272727272
Acetanaerobacterium,1.3049340487869275e-05,0.0007704339773370605,0.010629111361179893,27.27272727272727
unclassified_Opitutaceae,1.52242873387276e-05,0.0020285010723566557,0.00014242128714608233,43.63636363636363
Oribacterium,1.52242873387276e-05,0.005069285627386683,0.00031286831497181225,43.63636363636363
unclassified_Thiotrichales,1.670009914043768e-05,0.00043233142835936403,5.436806154714959e-05,72.72727272727273
Sporobacter,2.3341008918841457e-05,4.749945116578281e-10,5.835454042982051e-07,214.54545454545456
Anaerofustis,2.422489102545673e-05,7.545802664175348e-06,0.010629111361179893,29.09090909090909
Pets_.past_3_months.,4.171278599707163e-05,9.911399161731369e-09,3.5694623507588944e-05,125.45454545454547
Arcanobacterium,4.247139174887065e-05,0.00030763498446291905,0.04945546224093539,30.909090909090907
Bacillus,5.220422823123513e-05,0.0006949480177598958,0.04091748524302412,40.0
unclassified_Veillonellaceae,5.944528505785391e-05,3.343053568855545e-11,5.693013514780864e-08,270.9090909090909
Victivallis,7.707719952172036e-05,1.4517011767641812e-08,8.533119885998018e-06,118.18181818181819
unclassified_Halobacteriaceae,7.961799159415356e-05,0.0014310885532138897,0.0003114038967775585,41.81818181818181
unclassified_Methanomicrobiales,8.382585010342738e-05,0.004576713077733113,6.289626876393396e-06,94.54545454545455
Cloacibacillus,0.00011374801181449072,0.0029392458315501513,0.0006825278739886254,34.54545454545455
Slackia,0.00011605500459825487,1.366385800305025e-08,0.001610330202276469,121.81818181818183
Gordonibacter,0.00011825421414726418,7.689757113931882e-06,0.0003114038967775585,43.63636363636363
unclassified_Moraxellaceae,0.0001715150631951548,8.824765488320197e-05,0.0006421262021652157,45.45454545454545
Thermogymnomonas,0.00020509911699959283,0.000587072642099559,0.00014242128714608233,56.36363636363636
unclassified_Methanocellaceae,0.00020509911699959283,0.012238805436252276,0.00014242128714608233,56.36363636363636
unclassified_Hyphomonadaceae,0.00021121275481713928,2.382081351059295e-06,0.00030332040137161405,114.54545454545455
unclassified_Oleiphilaceae,0.00028143106527644073,8.378895508378024e-07,6.523646972841052e-05,69.0909090909091
unclassified_Aeromonadaceae,0.00029420601232695205,0.0049651732624711635,0.04929636861700601,21.818181818181817
unclassified_Prolixibacter,0.0003368441581109622,3.252965904669883e-06,0.00015346232598948306,81.81818181818183
Oscillibacter,0.00036406440204800154,4.119649162105166e-07,6.523646972841052e-05,70.9090909090909
Cerasicoccus,0.0004486545221974906,2.50783753577943e-08,2.88305895321555e-06,121.81818181818183
Anaerosporobacter,0.0004486545221974906,0.0038811363860629883,0.00015884118795408234,121.81818181818183
Chocolate_type_preference.option,0.0004852475971795964,8.906396345598497e-05,0.0038954305064487237,61.81818181818181
Hafnia,0.0005072722246471435,0.03622717106562446,0.003320093387270872,23.636363636363637
unclassified_Neisseriaceae,0.0005482420189917319,0.0015984250232519294,0.007399667179368195,16.363636363636363
Butyricicoccus,0.0005566060533628404,1.2341020845906578e-06,4.0387096019849235e-05,110.9090909090909
unclassified_Bacteroidaceae,0.0007646327732337897,3.394795949270536e-05,5.506978244476353e-05,152.72727272727275
unclassified_Geminicoccus,0.0008562369577661984,0.0019795583848855706,0.0015013572654513229,34.54545454545455
unclassified_Planococcaceae,0.0009510652006758315,7.282946247967954e-07,7.806013649841782e-05,116.36363636363636
Parabacteroides,0.0009866617546364254,2.803233588769711e-07,0.0001496191065252697,103.63636363636364
Mobiluncus,0.0010189059328462756,0.025189638357475414,0.02219237644879832,18.181818181818183
unclassified_Dietziaceae,0.0010189059328462756,0.03182677048736101,0.02219237644879832,18.181818181818183
Anaerococcus,0.0017359540490281813,0.0005600013087749477,0.02219237644879832,20.0
Peptoniphilus,0.0017359540490281813,0.015874689250092333,0.02219237644879832,20.0
Varibaculum,0.0017359540490281813,0.0312043590620829,0.02219237644879832,20.0
Herbaspirillum,0.0018377164523257956,0.03333564043406542,0.03333564043406542,49.09090909090909
Robinsoniella,0.0018377164523257956,2.9488013921921545e-06,0.031813339459292114,49.09090909090909
unclassified_Conexibacteraceae,0.002248969542358172,0.000360638774384094,0.0003114038967775585,61.81818181818181
unclassified_Syntrophomonadaceae,0.002516487633590822,0.0001195195200956504,6.523646972841052e-05,87.27272727272727
Childhood_residence_type.option,0.0034753597548299584,0.00023753243827669487,0.0003114038967775585,65.45454545454545
unclassified_Bifidobacteriaceae,0.0034815301255104857,0.00041489495762344654,0.00031532163980752464,129.0909090909091
unclassified_Acetobacteraceae,0.0038531684299246225,0.039781637898742686,0.00013500846806448658,156.36363636363637
unclassified_Ectothiorhodospiraceae,0.0042610382772241984,2.2136476623021703e-06,0.0013598737974626666,67.27272727272727
unclassified_Desulfurellaceae,0.006248171914351693,0.025750845159454274,0.04091748524302412,70.9090909090909
unclassified_Halomonadaceae,0.007471110428552615,7.678889473555523e-05,6.559579497558468e-05,109.09090909090908
unclassified_Thermotogales,0.008307202330556129,2.4757340859688304e-05,0.005942405233301534,49.09090909090909
Scardovia,0.011321111468825947,5.290800630713865e-05,0.05617935008610852,40.0
Lachnospira,0.012426829870548635,0.0479270471818607,0.03835152153298469,10.909090909090908
Hespellia,0.012769769509105333,5.067592951569416e-06,0.0006825278739886254,65.45454545454545
unclassified_Elusimicrobiaceae,0.01500260529643389,0.0002980150429999401,0.007399667179368195,30.909090909090907
unclassified_Sutterellaceae,0.016938899197174964,3.787053286876489e-05,1.584593872461296e-05,165.45454545454547
unclassified_Cryomorphaceae,0.018974048943346047,0.0001699108634694115,0.00013785115231093278,169.0909090909091
unclassified_Chromatiaceae,0.020322121114696726,0.04679321752860352,0.03835152153298469,12.727272727272727
Peptostreptococcus,0.020739317202016525,6.974462669636886e-05,0.007146510816845841,70.9090909090909
Coffee_.days_since_consumed.option,0.021533180176043366,0.0002758790574918758,0.04929636861700601,45.45454545454545
Phascolarctobacterium,0.021533180176043366,0.007341665247406423,0.1312985618552002,45.45454545454545
Mogibacterium,0.02219164042729969,0.0001807710212599972,0.00010480869642834073,121.81818181818183
Clostridium_XVIII,0.02437926587184033,0.002299587386617517,0.10605737013051421,34.54545454545455
unclassified_Alteromonadaceae,0.02600415576465049,0.010188071433075024,0.003320093387270872,47.27272727272727
Hallella,0.030232800783979746,0.0031770208552911916,0.061181018304797795,36.36363636363637
Anaerotruncus,0.030232800783979746,0.00013106094358973964,0.10605737013051421,36.36363636363637
Butyrivibrio,0.030393003723921872,0.04698060656029551,0.03835152153298469,14.545454545454545
Mucispirillum,0.031060428174406317,0.005714958442340405,0.04929636861700601,49.09090909090909
Glomerular_filtration_rate,0.03467930045442681,6.849442559248977e-05,0.003343372410939899,114.54545454545455
unclassified_Streptococcaceae,0.03624740569269909,0.0022154733012250375,0.00022853907730910878,116.36363636363636
unclassified_Micrococcaceae,0.0384431661200238,6.350990374578213e-05,0.024164928789828823,90.9090909090909
unclassified_Gilvimarinus,0.04354335687550616,0.0028122408920214204,0.0014102428187960888,74.54545454545455
Pantoea,0.044436310153090984,0.0025306429564493868,0.061181018304797795,40.0
Lactonifactor,0.04997735173635588,0.00033504846920020544,0.04929636861700601,54.54545454545454
