n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps0,16,Gender:F,0.0009033084735791221,1.0428711203598583e-09,0.030059567892412428,0.004728906109667188,0.4944617369529204,10.638297872340425
comps0,16,Sutterella,0.0012556194576172379,0.006980274978155879,,0.005021681424633571,,10.869565217391305
comps0,16,Fruits_.days_since_consumed.option,0.00027623628067579176,0.0003415545170440111,,0.009821066437614417,,15.789473684210526
comps0,16,Anaerotruncus,0.0012556194576172379,0.0001240033858109381,,0.010024846116109628,,25.0
comps0,16,Atopobium,0.02134553077949295,0.014533562248050068,,0.0188810401560988,,15.789473684210526
comps2,20,unclassified_Ruminococcaceae,1.4271384100250134e-06,4.665279950602233e-13,0.001968927185155856,3.7794492328065613e-08,0.14581658240124193,12.903225806451612
comps2,20,unclassified_Clostridiaceae,1.3128685993654453e-05,2.394631006187333e-12,0.0007900908323562372,2.1707925422878347e-05,0.20943452617755876,15.929203539823009
comps2,20,unclassified_Thermoanaerobacteraceae,0.0007207994924636992,3.7142637455625353e-09,0.026378949112931437,2.7364887119868102e-05,0.9659316012736073,13.445378151260504
comps2,20,unclassified_Gracilibacteraceae,2.028609610345145e-08,2.228821273748657e-16,0.004033018053130658,0.00016605047270883697,0.008629401978179295,18.34862385321101
comps2,20,Age,0.020055416281831367,0.03557420546165165,0.14323490752466972,0.0003232135969326832,0.9172139167787793,9.090909090909092
comps2,20,Odoribacter,0.0002073037941294088,0.0009950771880036624,0.11718508719813801,0.0003521315676573164,0.34367005826253927,10.714285714285714
comps2,20,unclassified_Ignavibacteriaceae,0.020055416281831367,0.030657345848032376,0.14323490752466972,0.00035755987527009167,0.23363653538052376,9.433962264150944
comps2,20,unclassified_Acetobacteraceae,0.014472945707561573,0.00012057781455755659,0.2547511629904379,0.0008198413370793549,0.08297899777952462,11.627906976744185
comps2,20,Plan_to_change_weight.option,4.1581088005543885e-14,8.158622939465949e-21,0.11667744915847059,0.001476475308459047,0.17782460227288044,30.76923076923077
comps2,20,unclassified_Clostridiales,2.9421135419746824e-07,2.0964332873016482e-14,0.00224929649066349,0.0023947196612234987,0.02046950243261292,14.925373134328357
comps2,20,Allobaculum,0.020055416281831367,0.038212273847803124,0.14323490752466972,0.0034147911781178164,0.5186693578126838,8.928571428571429
comps2,20,unclassified_Incertae,7.912554338906446e-09,2.119971714734132e-17,0.005157762517802886,0.003885555986180738,0.09459050849539391,20.408163265306122
comps2,20,unclassified_Thiotrichaceae,3.506671755134241e-12,2.5934332327737696e-21,0.010587137334056945,0.0055525570018606,0.14890145832188106,31.25
comps2,20,unclassified_Syntrophorhabdaceae,0.03315955445787029,6.413676983665437e-10,0.01917248475522309,0.00656716925498899,0.4808678791104778,31.25
comps2,20,unclassified_Hydrogenophilaceae,0.021273066556085393,2.4158440259182038e-06,0.04550026389635839,0.006706275607805576,0.6015081344405899,37.5
comps2,20,Creatinine,0.004456759173740287,0.04999693394925141,,0.01856103213631878,,8.47457627118644
comps2,20,unclassified_Oleiphilaceae,5.544690584747813e-05,5.5529956273116107e-08,0.7518296340458492,0.022950838532804142,0.2926740481200165,26.31578947368421
comps2,20,unclassified_Aerococcaceae,7.19569280037114e-05,1.2119709816622145e-10,0.029912990320775948,0.027638038616169057,0.31349994558358807,35.483870967741936
comps2,20,unclassified_Natranaerobiaceae,2.028609610345145e-08,4.2899976173934044e-16,0.02089467945355185,0.02833029617209528,0.6036619070060818,17.857142857142858
comps2,20,Howardella,0.014472945707561573,0.0019301228857273888,0.034423814325388775,0.03096810741159518,0.28934564452683875,8.620689655172415
comps2,20,Food_allergy,0.020055416281831367,0.015482375953758926,0.24156658696897282,0.04013170509414969,0.15289255304548535,11.11111111111111
comps2,20,Mogibacterium,1.3686261569947206e-05,2.0699921054236657e-06,0.31063545633740075,0.04501879943399583,0.2929050942544251,16.417910447761194
comps3,10,Ruminococcus,0.00011685961802031814,1.781929687003183e-05,0.5136291133931241,0.0015069701568566178,0.0012961902985307776,6.338028169014084
comps3,10,unclassified_Gracilibacteraceae,0.012867049670128942,4.868721377145964e-07,0.004033018053130658,0.008629401978179295,0.00016605047270883697,8.256880733944955
comps3,10,unclassified_Victivallaceae,0.0315490430492672,1.7944780472229467e-05,0.01691905399278494,0.02836067897460133,0.17946900292004797,7.2727272727272725
comps3,10,unclassified_Clostridiales,0.0029692326549246757,1.0205589881289245e-07,0.003547981078765081,0.02899156093029972,0.005412459016183386,7.462686567164178
