other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Succinivibrio,8.84234737339439e-21,2.7827018435409814e-06,3.264044025587124e-11,24.6031746031746
Clostridium_XI,2.6581329165874444e-17,1.674309956314492e-20,1.3445386435071313e-13,57.14285714285714
Hemoglobine,4.0627553208598793e-16,1.5620268506072375e-18,4.339867816197852e-24,107.14285714285714
Prevotella,3.0553959700081582e-15,4.6299205058744305e-27,5.3238300636196615e-18,76.19047619047619
Red_blood_cell_count,5.7428247665163836e-15,4.8149430048672074e-15,3.251209971261495e-18,62.698412698412696
Gender:M,3.9849649628465316e-14,6.810394043417195e-20,4.629905303840494e-21,100.79365079365078
Roseburia,1.6218361493211942e-12,2.6432326323776846e-28,9.65882835114503e-25,107.14285714285714
Lactobacillus,6.342839263418991e-12,6.969297911026474e-11,5.5061856236000975e-11,26.190476190476193
unclassified_Anaerolineaceae,1.1067649503222494e-09,0.017625177295792306,2.0717084892751296e-07,10.317460317460316
Turicibacter,5.218746338337499e-09,1.0709062160377226e-15,2.0063712138076213e-09,61.111111111111114
Abiotrophia,1.2076453126784142e-08,2.3448886697740095e-07,3.727118533999458e-09,24.6031746031746
Clostridium_sensu_stricto,2.0130947096709004e-08,5.156998804816439e-18,7.171962010534173e-12,64.28571428571429
Hip_circumference,2.0804073035522748e-08,4.838696463527849e-12,2.0935678700513176e-11,33.33333333333333
Body_mass_index,5.6292155509886496e-08,3.3486405779989834e-12,6.094589959053636e-13,46.03174603174603
unclassified_Lactobacillaceae,5.992064274905327e-08,3.7270125339423875e-08,1.928885286356659e-06,10.317460317460316
Work_days_per_week,9.131652256671538e-08,1.9820704874616728e-08,3.068101801693375e-10,49.2063492063492
Dialister,1.404374760444287e-07,1.0650108035858114e-11,6.886381818273972e-10,26.984126984126984
Leuconostoc,1.4273215630507559e-07,0.010377571389491531,1.4007297125290382e-05,7.936507936507936
Uric_acid,4.124405052212679e-07,9.999816149543247e-10,1.8741490471269598e-13,61.904761904761905
Blautia,7.081154985600854e-07,1.541969277042195e-16,1.3494729970863229e-18,115.07936507936508
Streptococcus,1.3282951045880447e-06,4.1739723722976756e-08,9.254870766193092e-08,36.507936507936506
Shift_work:nan,1.4050256719543977e-06,5.627537265759337e-06,3.0885582649952585e-07,11.904761904761903
Haemophilus,1.7880933594211126e-06,1.1889466244571358e-08,4.616385536260769e-07,21.428571428571427
Creatine_kinase,2.1352106656688303e-06,6.338890582040853e-12,8.246377340838958e-10,32.53968253968254
Stenotrophomonas,2.747544183851006e-06,0.011521087583833646,6.219856031241455e-06,19.841269841269842
unclassified_Prevotellaceae,3.1112955329523387e-06,7.880363016801102e-14,7.055105064910186e-10,47.61904761904761
unclassified_Nakamurellaceae,3.519940802657416e-06,0.0160887089821663,0.0004624678016643153,6.349206349206349
unclassified_Pasteurellaceae,6.316222305847392e-06,1.1912917699112472e-05,0.00027579215269804623,9.523809523809524
Beer_consumption.option,8.992885606219938e-06,1.9248127888824694e-09,3.509648660201367e-12,60.317460317460316
Fruits_.days_since_consumed.option,1.0059794775974057e-05,6.501195403539873e-08,3.082820401725558e-09,30.158730158730158
Bifidobacterium,1.2799685017441331e-05,5.749272903636294e-07,3.345258495510382e-05,13.492063492063492
Spirits_consumption.option,1.693427438702996e-05,1.0550400579690087e-06,3.177874359426247e-06,30.952380952380953
Cronobacter,1.7303910668523372e-05,0.0012283303517982812,0.003378680911932753,5.555555555555555
unclassified_Polyangiaceae,1.7303910668523372e-05,0.001358530089149707,0.003378680911932753,5.555555555555555
Allisonella,2.6266841894292262e-05,0.0002886682495495552,5.138020326852853e-06,8.73015873015873
Coprococcus,3.286098491397345e-05,8.048793462473257e-14,2.237395118874487e-16,113.4920634920635
Mitsuokella,4.5652894818275855e-05,4.850156711540794e-11,2.3910018194306116e-06,30.158730158730158
Anoxybacillus,6.42512603308469e-05,0.02997088943814632,0.0005094396932313503,11.11111111111111
