other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
HDL_cholesterol,4.0349284429824207e-10,6.803868878464321e-08,1.3952873622585505e-08,150.0
Methanocorpusculum,6.112449137303577e-10,0.0017292056092852745,0.0002936330552053313,66.66666666666666
Pseudobutyrivibrio,6.452201993001763e-09,2.0044473969741892e-07,5.860239732592561e-06,152.77777777777777
unclassified_Synergistaceae,1.2278123769973176e-08,5.539635210066472e-06,4.98689082602369e-05,30.555555555555557
Cerasicoccus,1.5890691290722507e-07,3.213866521195963e-08,4.522008790710156e-07,186.11111111111111
Weight_perception.option,3.9182465038060113e-07,0.0001076335584048664,4.610454681554984e-07,197.22222222222223
unclassified_Methanobacteriaceae,4.0197569960978666e-07,1.2337273767705976e-05,0.0024438088874763186,41.66666666666667
unclassified_Dermatophilaceae,4.0197569960978666e-07,0.0160887089821663,0.0024438088874763186,41.66666666666667
unclassified_Subdivision5,7.694569014677502e-07,0.027161856417671,4.98689082602369e-05,44.44444444444444
unclassified_Planctomycetaceae,1.3909991811537168e-06,3.742319025279357e-05,4.98689082602369e-05,47.22222222222222
unclassified_Parachlamydiaceae,1.3909991811537168e-06,0.0158609338541862,0.0024438088874763186,47.22222222222222
unclassified_Kiloniellaceae,1.3909991811537168e-06,6.675598075944633e-05,4.98689082602369e-05,47.22222222222222
Butyricicoccus,2.304986595639577e-06,1.2097386929329384e-06,4.2365720938609306e-05,169.44444444444443
Filifactor,2.396168165293119e-06,0.0158609338541862,0.0024438088874763186,50.0
unclassified_Bradyrhizobiaceae,2.7975801046326052e-06,0.0016601832324461636,2.6717398437901313e-07,125.0
Cloacibacillus,3.960754921094206e-06,0.00026717835812131285,0.0024438088874763186,52.77777777777778
Gallicola,3.960754921094206e-06,0.015546814506860039,0.0024438088874763186,52.77777777777778
unclassified_Chrysiogenaceae,3.960754921094206e-06,0.015546814506860039,0.0024438088874763186,52.77777777777778
unclassified_Thiotrichaceae,4.360418991394571e-06,1.3014942818933725e-07,4.433608848093231e-06,177.77777777777777
unclassified_Desulfobacteraceae,6.316964324282811e-06,1.9998509502035787e-06,4.98689082602369e-05,55.55555555555556
Methanosphaera,6.316964324282811e-06,5.935589563939047e-06,0.0024438088874763186,55.55555555555556
unclassified_Paenibacillaceae,1.2144613737530674e-05,0.0005333732132095921,0.0003467203898086132,19.444444444444446
unclassified_Planococcaceae,2.6960399079384345e-05,1.2913562121251227e-06,1.9866961397017144e-05,177.77777777777777
unclassified_Opitutaceae,3.0913994950718514e-05,0.02329888459825369,0.0024438088874763186,66.66666666666666
Neisseria,3.1776518770522696e-05,0.0019876076560822755,0.0008693856631379748,86.11111111111111
unclassified_Acetobacteraceae,3.653335168215021e-05,0.0003992471728444105,3.8128980660174547e-07,238.88888888888889
unclassified_Thiotrichales,4.500257912472392e-05,2.3429328704758784e-06,0.00018637930159624375,111.11111111111111
Acetivibrio,0.00011159258861871086,0.040365790067833474,0.00012319704179735986,41.66666666666667
Hespellia,0.00011925859045488659,1.8316130044556918e-06,0.0008693856631379748,100.0
unclassified_Oxalobacteraceae,0.00012237874474320962,8.066800167275602e-08,4.522008790710156e-07,294.44444444444446
unclassified_Peptostreptococcaceae,0.00014456254876519877,8.077732029906197e-06,4.98689082602369e-05,80.55555555555556
Fruits_.freq._past_week.option,0.0001508312720616274,0.0014654850024617171,6.75806735589703e-05,102.77777777777777
Eubacterium,0.0001670827873628835,3.079478157272736e-07,0.0027983292759878684,127.77777777777777
unclassified_Family,0.0001706793982746515,3.609376183563543e-05,0.012896570962607327,44.44444444444444
unclassified_Flavobacteriaceae,0.00018856515123445892,0.01523818242913743,0.0024438088874763186,83.33333333333334
Cellulosilyticum,0.00018856515123445892,1.98957869202597e-06,4.98689082602369e-05,83.33333333333334
unclassified_Simkaniaceae,0.0001942286958694093,0.000829844214617287,2.401049206669829e-06,155.55555555555557
unclassified_Methanocellaceae,0.0002431003277434574,0.025541194725732685,0.0024438088874763186,86.11111111111111
unclassified_Bacillaceae,0.0002934256433978266,2.900783543578287e-05,0.0003124172298646959,219.44444444444446
unclassified_Syntrophorhabdaceae,0.00031002581210635765,1.2594229568668516e-06,0.0024438088874763186,88.88888888888889
unclassified_Bacillales,0.0003211641683696007,1.6877379805872033e-05,7.632546472586947e-05,163.88888888888889
unclassified_Microbacteriaceae,0.0003914072010915801,0.0005550156786898834,4.98689082602369e-05,91.66666666666666
Olsenella,0.00042159105290036326,6.933580619802895e-06,6.366902677912674e-05,141.66666666666669
unclassified_Syntrophaceae,0.0004895251369098826,0.0008368463703190168,4.98689082602369e-05,94.44444444444444
unclassified_Conexibacteraceae,0.0004895251369098826,0.0011935635698817047,4.98689082602369e-05,94.44444444444444
Haemophilus,0.0006218234781623741,0.0006655559670517703,0.00016680035670943224,75.0
Irritable_bowel_syndrome,0.0008984241051169426,0.0006561491241690491,0.00023480636860915473,127.77777777777777
unclassified_Ectothiorhodospiraceae,0.0009104419960384186,5.485177532631972e-06,0.0024438088874763186,102.77777777777777
Enterorhabdus,0.0009182113482889824,1.0281637456100736e-06,0.00014237921225175967,244.44444444444446
unclassified_Oleiphilaceae,0.0011027854682478827,0.008367525877583083,0.0024438088874763186,105.55555555555556
Porphyromonas,0.0011027854682478827,0.00010429343209710384,0.0024438088874763186,105.55555555555556
Akkermansia,0.0013266448674856602,1.3000638059901236e-05,0.0024438088874763186,108.33333333333333
Oscillibacter,0.0013266448674856602,2.0808432114083035e-05,0.0024438088874763186,108.33333333333333
Bilophila,0.0015306780167736007,0.019712714615890293,1.7857776598823056e-05,225.0
unclassified_Bifidobacteriaceae,0.001751709945080261,0.01637538442008228,0.00019861575829563483,197.22222222222223
Gender:F,0.0018196515681151027,4.074122972316738e-09,1.3952873622585505e-08,391.66666666666663
unclassified_Gilvimarinus,0.001883691057468079,0.02194081717099761,0.0024438088874763186,113.88888888888889
G03CA04_CC06_.estrogens.,0.002224819102318477,0.02644662574813474,0.0024438088874763186,116.66666666666667
Holdemania,0.0022811869823220685,0.0017641358305084697,0.00019455055374766807,47.22222222222222
unclassified_Clostridiales,0.0031165090071231852,3.079513539528318e-10,4.522008790710156e-07,372.22222222222223
Plan_to_change_weight.option,0.003196721505453918,0.0026484251909681235,0.00020217304325968424,180.55555555555557
unclassified_Sphingobacteriaceae,0.0032827998126633198,0.001657905769116338,4.308333475959895e-05,97.22222222222221
Breakfast_.N_past_week.,0.0034753597548304914,0.0003114038967775585,0.00023753243827669487,152.77777777777777
Turicibacter,0.0035194557035856753,5.252789075114663e-06,0.00019105655741025797,213.88888888888889
Flavonifractor,0.003917521833447519,0.00012425007451437466,0.00019455055374766807,52.77777777777778
unclassified_Chitinophagaceae,0.00405362726404884,7.768135931774555e-06,0.00026025198684423705,186.11111111111111
Anaerosporobacter,0.00405362726404884,0.00021365327905134085,0.0009588551437810319,186.11111111111111
unclassified_Kofleriaceae,0.004109039984091603,0.011248258561242709,0.0024438088874763186,127.77777777777777
unclassified_Micrococcaceae,0.007059415516607212,0.001331067527339669,4.98689082602369e-05,138.88888888888889
Constipation_.days_past_week.option,0.007751522701808369,0.0013091732268696707,0.001527945236475577,61.111111111111114
unclassified_Marinilabiaceae,0.00800306456567984,3.793383080581451e-05,4.98689082602369e-05,141.66666666666669
unclassified_Puniceicoccaceae,0.00800306456567984,1.8779567019757618e-05,0.0024438088874763186,141.66666666666669
Shift_work:False,0.008603773200362161,0.0028499938842512173,0.00022823744703215902,205.55555555555554
unclassified_Lachnospiraceae,0.009305889818459003,1.661316015598093e-05,1.6077483903680376e-06,413.8888888888889
