other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
unclassified_Eubacteriaceae,6.677820411073236e-24,1.3668569192475662e-13,4.2486360316243565e-08,220.58823529411765
unclassified_Gracilibacteraceae,1.8983433564448837e-23,9.931728829829894e-14,9.47004817543514e-09,320.5882352941177
Methanobrevibacter,5.203199246180135e-23,7.08752574543087e-13,9.47004817543514e-09,329.4117647058823
unclassified_Natranaerobiaceae,3.2942866307940856e-21,3.735771666779075e-12,5.656718253663507e-09,329.4117647058823
unclassified_Clostridiales,3.571018010417382e-20,5.801454041920993e-12,9.47004817543514e-09,394.11764705882354
unclassified_Porphyromonadaceae,5.948821557639953e-20,8.6404978074627e-12,1.526611914318181e-08,320.5882352941177
unclassified_Incertae,6.54911482254724e-20,1.5188179688489248e-12,3.774566587110101e-09,288.2352941176471
unclassified_Clostridiaceae,2.0185430647556344e-19,1.2698046130743024e-12,1.2165828101114103e-07,332.3529411764706
unclassified_Ruminococcaceae,6.205431267615916e-18,5.3674074158661115e-15,9.47004817543514e-09,455.88235294117646
Anaerosporobacter,1.729370503305223e-17,2.2546190196995218e-06,2.0586448552981115e-07,197.05882352941177
unclassified_Veillonellaceae,6.236333543160844e-17,8.667162205095951e-13,8.425213579841487e-09,438.2352941176471
unclassified_Heliobacteriaceae,7.00436160226283e-17,5.008113079932391e-07,1.0518110636038416e-07,232.3529411764706
unclassified_Victivallaceae,8.194283607528552e-17,4.139339282963731e-12,5.774254636364813e-08,323.5294117647059
Porphyromonas,1.3924258691500045e-16,3.334790239552202e-06,6.979853698918746e-06,111.76470588235294
unclassified_Cryomorphaceae,3.154999815698327e-16,6.049645843765966e-07,1.4550204554826974e-07,273.5294117647059
Working_start_age.option,3.154999815698327e-16,8.29252831411119e-09,5.565445833380158e-06,273.5294117647059
unclassified_Coriobacteriaceae,5.805417031358725e-15,1.0259208058688464e-07,1.391470233260575e-07,302.94117647058823
unclassified_Peptococcaceae,8.311457476603983e-15,8.916218252027307e-09,3.5485889783811154e-08,247.05882352941177
Oscillibacter,2.1034237972455614e-13,1.995996094156245e-11,3.8958432642519163e-05,114.70588235294117
unclassified_Acetobacteraceae,2.67991309132936e-13,1.1364449272026351e-06,1.3334694753819296e-06,252.94117647058823
unclassified_Neisseriaceae,2.2654823060952567e-12,0.012874837293369213,6.870720782763792e-05,26.47058823529412
unclassified_Leptotrichiaceae,2.84498946851149e-12,0.016265549499020857,0.000163246183781518,79.41176470588235
unclassified_Methermicoccaceae,5.502655517096941e-12,0.006104641099342139,0.00013922755108350634,82.35294117647058
Hafnia,2.4771536523560292e-11,0.006933094830498819,4.041940113949042e-05,38.23529411764706
Papillibacter,2.895531457548726e-11,0.002932462421980477,0.0002979288660263367,126.47058823529412
Fruits_.freq._past_week.option,3.5065745188804816e-11,2.3668345826822492e-05,9.147920989929241e-05,108.8235294117647
Geobacillus,5.653234423994225e-11,3.9027827993791603e-05,0.00013922755108350634,94.11764705882352
unclassified_Simiduia,9.832204804169756e-11,0.03866937626940439,0.00013226758833790158,52.94117647058824
unclassified_Rickettsiaceae,1.3968499223504256e-10,3.27971084204542e-10,1.606232941223603e-05,264.70588235294116
Clostridium_IV,2.2391786027371672e-10,4.4243019584986726e-08,6.6220612265562e-05,270.5882352941177
unclassified_Thiotrichaceae,2.3059338321772438e-10,6.290866020325287e-10,2.8388831805109835e-08,188.23529411764704
unclassified_Anaplasmataceae,2.3454446229710565e-10,7.817488659538454e-05,0.00029141267981877225,85.29411764705883
unclassified_Thermoactinomycetaceae,2.4597207437978103e-10,9.793096657237783e-09,4.409156261208114e-06,214.70588235294116
unclassified_Pseudomonadales,3.97655017890836e-10,0.0015167945540885419,0.00013922755108350634,105.88235294117648
unclassified_Acanthopleuribacteraceae,4.42837545857183e-10,0.025881521491812172,0.011617853883721675,35.294117647058826
unclassified_Oxalobacteraceae,4.5732187837092794e-10,1.091743942840988e-08,6.753569689191344e-08,311.7647058823529
unclassified_Thermoanaerobacteraceae,6.057413301190266e-10,4.734961612671372e-09,2.6524061469807776e-06,350.0
unclassified_Alteromonadaceae,9.256542230399354e-10,0.015000190962290593,8.010808756396837e-06,76.47058823529412
unclassified_Desulfurellaceae,1.4269091771596248e-09,0.00030123402587946106,0.00013922755108350634,114.70588235294117
Blood_urea,1.721119484753937e-09,0.0007666280541172652,6.424311858040464e-05,97.05882352941177
unclassified_Sutterellaceae,1.8508437053458656e-09,3.464917386509271e-08,8.822734346274427e-06,267.6470588235294
unclassified_Aurantimonadaceae,3.4646281552403125e-09,0.04072343374369276,0.0005941218858994003,67.64705882352942
Shift_work:False,3.477959940998042e-09,5.564813267988638e-05,2.8144068846746087e-05,217.6470588235294
Sporobacter,4.690800181921284e-09,8.883521903070553e-07,2.0673404138727194e-05,347.05882352941177
Comamonas,1.9656941357776238e-08,0.03552712088745657,0.011617853883721675,47.05882352941176
unclassified_Desulfomicrobiaceae,2.1249472491683143e-08,5.386260648377151e-06,1.911225866642566e-05,185.29411764705884
Alistipes,2.617915662683388e-08,1.8357769926689975e-10,1.33267086549873e-05,376.4705882352941
Victivallis,3.5239613730516725e-08,9.604912044338443e-09,0.00016440346834370326,191.1764705882353
Arcanobacterium,4.014598081686514e-08,0.0007491105390652605,0.0033676049369518353,50.0
Aeromonas,4.014598081686514e-08,0.026012770840822215,0.05198873358405826,50.0
unclassified_Micrococcaceae,6.079800588016326e-08,1.2097386929329384e-06,0.0006997400185279318,147.05882352941177
Enterorhabdus,7.637325633883715e-08,0.0017565970154298793,1.6872931682943178e-06,258.8235294117647
Streptobacillus,7.716482505693526e-08,0.028404519150240184,0.05198873358405826,52.94117647058824
unclassified_Haloplasmataceae,7.716482505693526e-08,9.533421199944341e-06,0.05198873358405826,52.94117647058824
unclassified_Puniceicoccaceae,8.09471591966264e-08,9.118296294395358e-08,0.000163246183781518,150.0
unclassified_Ignavibacteriaceae,1.404271028806431e-07,4.6016264085588614e-07,5.455623733151491e-06,155.88235294117646
unclassified_Rhodobacteraceae,1.6719385435559174e-07,0.00017532548751993351,0.002003561825452631,111.76470588235294
unclassified_Beutenbergiaceae,2.3273678622832913e-07,0.00019344675566773068,0.01276177029989673,114.70588235294117
Akkermansia,2.3273678622832913e-07,2.0046689954727635e-08,7.51627002657661e-05,114.70588235294117
unclassified_Simkaniaceae,3.053906216174263e-07,9.344610671173696e-06,0.011711683919101951,164.70588235294116
Barnesiella,3.053906216174263e-07,2.80170811864399e-09,0.000163246183781518,164.70588235294116
Streptophyta,3.3985507758724726e-07,1.6441037765397074e-06,0.01321786886616838,97.05882352941177
G03CA04_CC06_.estrogens.,5.888120444062064e-07,0.00022659848564471753,0.0012812505103837434,123.52941176470588
Campylobacter,6.731603985269035e-07,0.017442862093797976,0.011617853883721675,64.70588235294117
Food_allergy,1.3695446662756645e-06,0.0005255365889219161,0.00020349669689489507,132.35294117647058
Parvimonas,1.911788763819414e-06,1.4614179167279224e-06,0.020767229609124634,91.17647058823529
unclassified_Desulfohalobiaceae,1.9812751092533334e-06,0.00026153622632636535,0.0007201590961294532,161.76470588235296
Mannheimia,5.096735847323514e-06,0.01442932938259945,0.18118189207161395,44.11764705882353
unclassified_Thermoplasmataceae,6.886896507913594e-06,0.0028942509366132615,0.00013226758833790158,126.47058823529412
Howardella,7.489013277942269e-06,3.9273309149192785e-05,0.0003355269313830658,341.1764705882353
Bacillus,9.210705059482035e-06,0.00037844862018369713,0.010253865177734613,64.70588235294117
unclassified_Xanthomonadaceae,1.4225157257203514e-05,3.2033249713801716e-05,0.00016170171117923807,135.29411764705884
unclassified_Alicyclobacillaceae,2.2252824551954438e-05,0.0014282987260455268,0.004193813784058811,52.94117647058824
unclassified_Chitinophagaceae,2.2290777904640184e-05,0.00021224359721594787,3.45874603698127e-05,197.05882352941177
unclassified_Beijerinckiaceae,2.7548709470615453e-05,0.022796825234029275,0.0007225036763439601,73.52941176470588
unclassified_Halanaerobiaceae,2.7548709470615453e-05,0.019107827033247888,0.014220584866894604,73.52941176470588
unclassified_Cytophagaceae,3.15278026935503e-05,8.257185985784735e-05,0.0008528190225945788,202.94117647058823
Desulfovibrio,3.7304550170777094e-05,5.5907342715589643e-05,1.551061646977937e-05,205.88235294117646
unclassified_Methylocystaceae,5.2085780648725526e-05,0.04098030823620785,0.0007225036763439601,79.41176470588235
Odoribacter,6.140239922530199e-05,2.743512483415629e-07,0.000163246183781518,247.05882352941177
unclassified_Halobacteroidaceae,9.202396706945727e-05,0.0005995378733872392,0.000601712162178438,108.8235294117647
unclassified_Kofleriaceae,9.705869954249686e-05,1.6311970734127508e-05,4.041940113949042e-05,135.29411764705884
unclassified_Hydrogenophilaceae,0.00012149782930761773,3.8623053745508836e-05,0.00106676029433949,47.05882352941176
unclassified_Bryobacter,0.00019524096841911647,1.0541488972139434e-06,0.00014050504790071334,238.23529411764704
Gender:F,0.0002154108749688602,3.168003383673448e-06,0.00017836023673687622,414.7058823529412
unclassified_Gilvimarinus,0.0002202297548059164,0.002412190408093287,0.004337839711449437,120.58823529411764
Succinatimonas,0.00036283561327656564,8.380906170328847e-05,0.10771229450815174,55.88235294117647
Breakfast_.N_past_week.,0.000485247597179737,0.0038954305064487237,8.906396345598497e-05,161.76470588235296
Arcobacter,0.0005424702307516229,0.010490300252815082,0.07428333247258301,23.52941176470588
Sleep_.hours.day.,0.00093069242789067,0.000857202924496989,0.011617853883721675,144.11764705882354
unclassified_Bifidobacteriaceae,0.0010211091250364314,0.00020645529469500324,0.01058407740130955,208.82352941176472
Weight_perception.option,0.0010211091250364314,5.2406854952407446e-05,7.110467379649867e-05,208.82352941176472
unclassified_Desulfovibrionaceae,0.0012556253648077925,0.035280488680409984,9.011980980190809e-05,120.58823529411764
unclassified_Methanomicrobiales,0.0014729646074767829,0.03622051058968891,0.011617853883721675,152.94117647058823
Lactococcus,0.0014975093054747993,0.0005994409188664413,0.07428333247258301,29.411764705882355
unclassified_Vibrionaceae,0.0015953300825016271,0.04447592743463511,0.08136516620648891,97.05882352941177
unclassified_Hahellaceae,0.0017531361860959713,0.001019246948500493,0.0008655152018065696,126.47058823529412
Plan_to_change_weight.option,0.0019790812380602726,1.3030251026620218e-05,4.041940113949042e-05,191.1764705882353
Age,0.0022489695423578114,0.0003270697525999839,6.870720782763792e-05,161.76470588235296
Cerasicoccus,0.0025265168954836065,1.9785715052712545e-05,0.010321970160686252,197.05882352941177
unclassified_Methylococcaceae,0.002824851025860427,0.005508335893846407,0.10771229450815174,79.41176470588235
Bilophila,0.00323370045929047,0.00012039022730061917,0.0045880414187082705,238.23529411764704
unclassified_Enterococcaceae,0.00324891767666613,0.032205955545783066,0.0015245200918501004,108.8235294117647
Creatinine,0.0037654400552433313,8.471982371708516e-05,6.870720782763792e-05,173.52941176470588
unclassified_Bacteroidaceae,0.004386607555708912,0.0009220759812653904,0.0007039943861117,247.05882352941177
unclassified_Marinilabiaceae,0.005507290300544761,0.0012744001544324718,0.0003003150432018194,150.0
unclassified_Planococcaceae,0.006702030207820123,0.005056813349365206,0.001445737731796725,188.23529411764704
Smoking_with_inhalation:Not_relevant,0.007047608830032665,0.001686501255232956,0.0008655152018065696,155.88235294117646
unclassified_Thermoplasmatales,0.00815139380384032,0.007815212892619766,0.002193358672890313,229.41176470588235
Pseudoflavonifractor,0.009545634681325786,0.007746060268677041,0.23930217640691898,100.0
unclassified_Pseudomonadaceae,0.009954522987422491,0.011621169277458803,0.07899882683074497,164.70588235294116
Collinsella,0.009954522987422491,2.26219651782111e-05,0.0003088710977899863,164.70588235294116
Smoking_with_inhalation:Neen,0.009954522987422491,0.00012418423960638495,0.00011553790015562765,164.70588235294116
unclassified_Bradyrhizobiaceae,0.010213707819573026,1.3868453074647407e-05,0.08136516620648891,132.35294117647058
unclassified_Verrucomicrobiaceae,0.01234556069208399,0.00012261537347133515,0.06939510142047617,170.58823529411765
A06AD15_65_.osmotic_laxatives.,0.015659202883611036,0.0008709441497042928,0.13581917374724894,52.94117647058824
unclassified_Oleiphilaceae,0.016540456101349216,0.0016196290548960897,0.060319060136433,111.76470588235294
Butyricicoccus,0.01670812307147385,0.0004734233767024873,0.00036374587657522875,179.41176470588235
Cloacibacillus,0.019031532689106526,0.002785962352537746,0.13581917374724894,55.88235294117647
unclassified_Leuconostocaceae,0.020829473153122658,0.005378682534835787,0.021476248419553312,32.35294117647059
unclassified_Rhodocyclaceae,0.022376899405125182,0.0015421077307691577,0.0015245200918501004,152.94117647058823
Methanosphaera,0.022826507231350643,0.0008663688356162038,0.049554369042312064,58.82352941176471
Soy_products_.average_past_week.option,0.04245106617533869,0.04787719753138309,0.012297058391503714,70.58823529411765
