other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Clostridium_XVIII,4.8259332500694107e-20,4.566987114062166e-07,1.4161857979078395e-06,76.0
Parabacteroides,9.29669242144677e-20,3.63701801068395e-11,6.817211978403773e-11,227.99999999999997
Anaerotruncus,1.898811397236165e-19,8.699732601448765e-10,1.4161857979078395e-06,80.0
Bacteroides,3.972770442351087e-18,5.1323855345915235e-12,5.289967693146797e-11,516.0
unclassified_Aeromonadaceae,1.5242474595652807e-13,0.00666582748697696,0.0011422753243196019,48.0
Glomerular_filtration_rate,1.939227119397198e-12,8.988730048995557e-09,8.115086309190147e-09,252.0
Acetanaerobacterium,6.45725074124419e-12,1.9182653426738415e-07,0.0011422753243196019,60.0
Anaerofustis,1.681310120276638e-11,1.038236962320956e-07,0.0011422753243196019,64.0
Pseudoflavonifractor,5.168543068898293e-10,3.253936922425771e-08,1.4669094753669298e-05,136.0
Sleep_.hours.day.,4.3137033953758035e-09,1.239630366786222e-05,1.5281686409395684e-05,196.0
unclassified_Mariprofundaceae,4.623239492833756e-09,0.001262327703059108,3.121020277800475e-06,160.0
Odoribacter,5.0718232282792584e-09,2.1439693237136673e-09,7.679414460735952e-09,336.0
Mucispirillum,1.3591307204990868e-08,0.00867707330412851,0.0011422753243196019,108.0
Robinsoniella,1.3591307204990868e-08,2.0223603042731596e-06,0.0011422753243196019,108.0
Chronic_fatigue_syndrome,1.6225198480693184e-08,0.0016985234047843022,0.001171964905386176,60.0
Gender:F,2.4784514483766758e-08,6.738025074060708e-06,2.6285068419407803e-08,564.0
Barnesiella,2.6867048324894304e-08,7.76836368010703e-07,8.628257784573454e-08,224.00000000000003
Pets_.past_3_months.,3.858750561880606e-08,1.790884437240321e-05,2.3105161794680555e-05,276.0
Lactonifactor,4.499941911264876e-08,1.066754474189552e-06,0.0011422753243196019,120.0
Soy_products_.average_past_week.option,7.900843934333655e-08,6.298500875101908e-05,3.082500384359258e-05,96.0
Providencia,8.041277832947714e-08,0.04131150893628902,0.0003155721287217988,32.0
HDL_cholesterol,2.0851727831181066e-07,0.0048621168055086325,8.392965261008215e-05,216.0
Alistipes,4.399850181024918e-07,4.830904631780305e-08,1.948413338750256e-07,512.0
Fruits_.days_since_consumed.option,5.82008331217956e-07,3.371964195681122e-06,0.0011422753243196019,152.0
J01CR02_.amoxicillin_and_enzyme_inhibitor.,7.636392557031571e-07,4.637331061758439e-06,0.0011422753243196019,156.0
Gordonibacter,1.4600160591482957e-06,7.116676738143338e-06,0.001171964905386176,96.0
Marvinbryantia,1.7679093187056477e-06,0.0021818618533942296,0.0002147138364392227,28.000000000000004
unclassified_Thermomicrobiaceae,1.7679093187056477e-06,0.0021818618533942296,0.0002147138364392227,28.000000000000004
Alpha.2.globulin,3.3026232280447648e-06,5.813457642706794e-07,0.0011422753243196019,180.0
Food_allergy,3.3026232280447648e-06,0.0006484867283149762,1.297485082281534e-05,180.0
Granulicatella,8.70318104228101e-06,3.2043915145283403e-06,0.001206231562261529,156.0
