other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Prevotella,2.39888966191815e-09,1.4598143226242722e-09,6.956425055252844e-07,436.3636363636363
unclassified_Desulfarculaceae,2.882845772138423e-09,0.0009492381342475214,1.3080183898982312e-05,90.9090909090909
Working_start_age:nan,4.94221542734134e-09,0.0010988434925604006,2.6154735727735365e-05,95.45454545454545
Scardovia,8.193150846938878e-09,0.0017931149959100345,2.6154735727735365e-05,100.0
Carnobacterium,2.0664921283516484e-08,0.03294619963436785,2.6154735727735365e-05,109.09090909090908
Hip_circumference,2.427160315843303e-08,1.3244615666162737e-05,0.00019241053041536385,190.9090909090909
Lachnobacterium,5.232314067148033e-08,0.0017883996609706874,0.00030084435321547974,59.09090909090909
Triglycerides,6.960997487553895e-08,4.0186467698529574e-05,2.6154735727735365e-05,122.72727272727273
Actinobacillus,2.754951480086312e-07,0.012593293841696176,2.6154735727735365e-05,140.9090909090909
unclassified_Methanocellaceae,2.754951480086312e-07,0.00785901522496063,5.1337399569926625e-05,140.9090909090909
Smoking_with_inhalation:Neen,6.514252529516789e-07,2.761193326208023e-05,5.142757545391323e-06,254.54545454545453
Alanine_transaminase_.ALT.,8.839666280369381e-07,0.034312246321689034,0.0015698814954484023,31.818181818181817
Body_mass_index,9.594495629070855e-07,9.665161975357866e-06,0.00019241053041536385,263.6363636363636
Creatine_kinase,3.879825930814136e-06,1.661128437432825e-06,2.6154735727735365e-05,186.36363636363635
Abiotrophia,4.277715319309246e-06,0.0007225036763439601,5.901930570255563e-05,140.9090909090909
unclassified_Methanobacteriaceae,5.172818280050432e-06,0.00014818377806697183,0.002387916302785037,68.18181818181817
Dialister,9.21070505947781e-06,0.014892076873825905,0.006629315120548234,154.54545454545453
Bloating_.days_past_week.option,1.112262170818078e-05,6.600197453234886e-05,0.0001327449995256899,113.63636363636364
unclassified_Parachlamydiaceae,1.21938183491288e-05,0.03785922675661168,0.002387916302785037,77.27272727272727
Filifactor,1.7858046662696972e-05,0.03785922675661168,0.002387916302785037,81.81818181818183
Cloacibacillus,2.548221031606835e-05,0.00013646695327669184,0.002387916302785037,86.36363636363636
Megamonas,2.548221031606835e-05,0.007969800782498381,0.0012006986683585357,86.36363636363636
Methanosphaera,3.554036588121859e-05,0.00012259652679991786,0.002387916302785037,90.9090909090909
HDL_cholesterol,4.461360256726184e-05,0.00012288222516160168,3.802395838814859e-05,245.45454545454547
Rothia,6.618448497397813e-05,0.001935526003372036,0.0015013572654513229,145.45454545454547
L04AB_.TNF.alpha_inhibitors.,0.00014398622918845738,0.04645787000705037,0.0012006986683585357,113.63636363636364
Uric_acid,0.0001560599893625366,2.223378536869237e-05,3.508033631546176e-05,354.54545454545456
unclassified_Oleiphilaceae,0.00021562846813829003,0.00404900772775508,0.0005311777403777719,172.72727272727272
Height,0.00043124548605331394,8.471982371708516e-05,2.6154735727735365e-05,322.7272727272727
unclassified_Syntrophorhabdaceae,0.0006219821933714078,3.84226699173203e-05,0.002387916302785037,145.45454545454547
unclassified_Thermoplasmatales,0.0009041896785085216,1.6941024001339896e-05,8.788872292271874e-05,354.54545454545456
unclassified_Carnobacteriaceae,0.0009555484057031888,0.00032971325752426985,0.009018724371939513,104.54545454545455
unclassified_Chromatiaceae,0.001420541371337967,0.04679321752860352,0.005997817543847939,31.818181818181817
Akkermansia,0.0018884525128058788,0.00024431796323704235,0.002387916302785037,177.27272727272728
unclassified_Leptotrichiaceae,0.002076295088637497,0.03059242165998597,0.0013091732268696707,122.72727272727273
