other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Odoribacter,1.6169161924297908e-21,1.7728784488491795e-16,2.1752906012182276e-11,186.66666666666666
unclassified_Mariprofundaceae,9.943180455252752e-16,3.1873413646304714e-05,9.801131896176035e-09,88.88888888888889
Barnesiella,5.14487305203772e-12,1.5951057783946745e-11,3.103146471788189e-07,124.44444444444444
Weight_perception.option,1.137039422669107e-11,5.4569524044438105e-09,2.3431867249154796e-07,157.77777777777777
unclassified_Neisseriaceae,3.827528749085457e-11,0.012874837293369213,0.009159963206085156,20.0
unclassified_Anaplasmataceae,5.368823822692846e-11,0.0001198676828534089,0.0003051145004102878,64.44444444444444
unclassified_Bryobacter,2.708152732348984e-10,1.6768996522984725e-07,2.7295963867977045e-07,180.0
Soy_products_.average_past_week.option,6.590983473784077e-10,8.718214607045646e-06,0.0016663419352975772,53.333333333333336
Alistipes,5.705494207330348e-09,5.432789798426065e-12,3.881994169434262e-08,284.44444444444446
Streptophyta,7.971451615204909e-09,5.229148915779313e-07,0.0004715389468082805,73.33333333333333
unclassified_Ktedonobacteraceae,1.4499367306662023e-08,0.04037480238805628,3.547300853678084e-06,44.44444444444444
Hafnia,2.1764509036547267e-08,0.023194988491208574,0.009159963206085156,28.888888888888886
unclassified_Brucellaceae,2.291758242153003e-08,0.006838463853578557,1.591913237506562e-05,66.66666666666666
unclassified_Leptotrichiaceae,6.389986694023055e-08,0.032153142223380664,0.0005255365889219161,60.0
Plan_to_change_weight.option,9.651905947202929e-08,2.2161547709741673e-07,3.498824196853475e-05,144.44444444444443
unclassified_Methanomicrobiales,1.256235938319587e-07,5.0141037386996676e-05,1.7006836196703175e-05,115.55555555555554
Chocolate_type_preference.option,1.3695446662757562e-06,0.00020349669689489507,0.0005255365889219161,75.55555555555556
Coffee_.days_since_consumed.option,3.3026232280445894e-06,1.297485082281534e-05,0.0006484867283149762,55.55555555555556
Fruits_.freq._past_week.option,3.916396588360501e-06,0.00014828484327624597,0.0005255365889219161,82.22222222222221
Aquabacterium,5.0686941751962965e-06,0.0003173907547979521,8.05214029050727e-05,57.77777777777777
Porphyromonas,5.413889420432496e-06,0.009084549538902817,0.0005255365889219161,84.44444444444444
unclassified_Veillonellaceae,6.696624572844462e-06,4.1494270444757924e-10,2.7149485128576722e-08,331.1111111111111
Oscillibacter,7.395930006693824e-06,4.881292187302471e-09,0.0005255365889219161,86.66666666666667
unclassified_Syntrophomonadaceae,1.3835296784006056e-05,9.126162932221399e-06,1.591913237506562e-05,106.66666666666667
Akkermansia,4.961839123505276e-05,7.51916537376569e-08,0.0014378453380136812,86.66666666666667
Parabacteroides,0.00010654151585760091,1.2882690947239976e-07,2.2013339408511856e-05,126.66666666666666
unclassified_Puniceicoccaceae,0.0001529432369459341,6.62067973658093e-07,0.0005255365889219161,113.33333333333333
unclassified_Haloplasmataceae,0.0001552290092301407,0.00010923625347493299,0.029950543679704966,40.0
unclassified_Rhodobacteraceae,0.00022621035544957734,0.0019969260104710247,0.006609775418584831,84.44444444444444
unclassified_Kofleriaceae,0.00026471177229532046,1.8286473718913157e-05,0.0018236304530918222,102.22222222222221
Glomerular_filtration_rate,0.0003254754748069445,6.290120117510598e-07,2.2013339408511856e-05,140.0
Blood_urea,0.00036875695524862394,0.03392557082325573,0.011880011139859342,73.33333333333333
unclassified_Sutterellaceae,0.0004034639251367498,7.32731085729585e-06,0.00015583928179167895,202.22222222222223
unclassified_Thermoactinomycetaceae,0.0004116316395430736,1.5845263935752107e-06,0.00012364112827104913,162.22222222222223
Creatinine,0.0006842540196951223,1.4499527756208484e-05,0.004772552032409299,131.11111111111111
unclassified_Waddliaceae,0.0007087975646654163,2.0371950817983406e-07,2.434496708989682e-05,113.33333333333333
unclassified_Xanthomonadaceae,0.0012257369931833889,8.401270451224409e-06,0.0034269127793632817,102.22222222222221
Parvimonas,0.0012429202158449188,1.6161840581215873e-05,0.06718907965724878,68.88888888888889
Saccharofermentans,0.0012812526614447064,0.00045249578327935096,0.0001012167520532501,40.0
unclassified_Desulfomicrobiaceae,0.0012970838387180044,0.0002822332517458655,0.0005255365889219161,140.0
Age,0.0014132119641640298,0.0010108783861116463,0.007726481760128745,122.22222222222223
unclassified_Desulfohalobiaceae,0.0014132119641640298,0.001135672969734439,0.00043059480106553754,122.22222222222223
Anaerophaga,0.001750175273032572,0.0004262209431356915,0.001828289854772944,106.66666666666667
unclassified_Rhodospirillaceae,0.0022597913237393384,0.00010255021491738939,9.988869269743682e-06,128.88888888888889
Anaerosporobacter,0.0023158781483583876,0.000675867997888216,0.0005255365889219161,148.88888888888889
Parasutterella,0.002427703848095419,0.006046323217734698,0.00639366539730166,31.11111111111111
Mannheimia,0.0034355102325419125,0.029301828564521532,0.1783944469870712,33.33333333333333
Enterorhabdus,0.003605355728234607,0.0033436071626760868,0.0001344103646879463,195.55555555555554
Campylobacter,0.004070252416350135,0.004289259291309788,0.010013074426653513,48.888888888888886
Clostridium_XlVb,0.004708756647226642,1.492384269534286e-05,9.538261498856279e-05,202.22222222222223
Gender:F,0.005439381474191151,1.0380482857581337e-05,2.5564259346393977e-06,313.3333333333333
unclassified_Coriobacteriaceae,0.006720734267040714,8.695353572379374e-05,0.0003946450893710362,228.88888888888889
Paraprevotella,0.007124811965195719,0.012583381336212089,0.034296285592937244,88.88888888888889
Shift_work:False,0.007560232367847307,0.0010608977693974723,0.0005255365889219161,164.44444444444443
unclassified_Acetobacteraceae,0.007920764395711528,7.149861812847547e-05,0.0014973803771153084,191.11111111111111
unclassified_Eubacteriaceae,0.008091141999398883,4.6254834687350924e-07,0.0005255365889219161,166.66666666666669
G03CA04_CC06_.estrogens.,0.009715003082876664,0.004833403063740969,0.06718907965724878,93.33333333333333
unclassified_Cellulomonadaceae,0.011511040850357103,0.002034123709328093,0.002582327190006049,115.55555555555554
unclassified_Chromatiaceae,0.011596408700089676,0.0479270471818607,0.3247335161953161,15.555555555555555
unclassified_Ignavibacteriaceae,0.013069028716665052,4.626304885905389e-07,0.009159963206085156,117.77777777777779
unclassified_Bradyrhizobiaceae,0.01485525879982178,2.8171548808477814e-06,0.01405694390311487,100.0
Magnesium_supplement,0.01637215228048882,0.01130618586166309,0.004253039938313105,82.22222222222221
Sutterella,0.016948460027523364,0.0007531900789527141,0.0012605856076903358,102.22222222222221
unclassified_Ferroplasmaceae,0.021733169738793297,0.000413663228854705,0.00038507703727916413,86.66666666666667
unclassified_Peptococcaceae,0.023209848573892085,6.237105452023028e-05,0.0005255365889219161,186.66666666666666
Bacteroides,0.02467314918571397,2.265955168186094e-10,1.553566215510206e-05,286.6666666666667
unclassified_Heliobacteriaceae,0.036554667027822396,0.004033301781874056,0.0019022064634595806,175.55555555555554
Bilophila,0.04006079002942057,0.0007438265854222421,0.0013985431520417294,180.0
Gemella,0.044020827177039014,0.005725010178557079,0.2142476728418582,24.444444444444443
unclassified_Streptococcaceae,0.046976637564279215,0.040339386145239624,0.02963303708641101,142.22222222222223
unclassified_Thiotrichaceae,0.046976637564279215,8.428275649632097e-06,0.009159963206085156,142.22222222222223
