n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps0,13,Bacteroides,7.67058045233964e-09,2.2967363522614226e-09,0.15776958356672988,0.00011637418291192157,0.059127790505155306,10.077519379844961
comps0,13,unclassified_Methanomicrobiales,0.0004258265208762959,1.2577533398933929e-09,0.01702186842010649,0.00941678717373082,0.25005481594088297,19.230769230769234
comps0,13,Sutterella,5.970683941845541e-06,1.0729900874153414e-06,,0.010763696061305696,,17.391304347826086
comps0,13,Saccharofermentans,0.00021067984766226467,6.697102810625056e-07,,0.011445919635635786,,33.33333333333333
comps3,12,Oscillibacter,3.4770488314177004e-11,2.2661682161777743e-15,,4.5524457799667295e-05,,30.76923076923077
comps3,12,unclassified_Ignavibacteriaceae,2.482612865632238e-07,5.658621118184863e-08,,0.0003978576697079513,,16.9811320754717
comps3,12,Alistipes,0.001169009199579097,2.863531201161114e-09,0.00011582177270157303,0.001107142503261818,0.055748411698924166,9.375
comps3,12,Allobaculum,0.0007472513473928883,1.2336080434008236e-06,0.04154006700988516,0.004327988381609212,0.6544215056598512,14.285714285714285
comps3,12,Akkermansia,1.1821966026820236e-09,5.0729794210709e-13,,0.012533688376410966,,28.205128205128204
comps3,12,unclassified_Acanthopleuribacteraceae,0.00011344299489506545,1.956436699783761e-08,,0.030638987937703265,,50.0
comps3,12,unclassified_Natranaerobiaceae,4.5201634808430086e-10,2.285213743025231e-09,0.28504940740261275,0.030733782906906936,0.5215936049033413,10.714285714285714
comps3,12,unclassified_Ruminococcaceae,6.328228873180221e-08,1.0853711248586887e-07,0.0036093469359454364,0.03075469142349174,0.003433839510684492,7.741935483870968
comps3,12,unclassified_Chitinophagaceae,2.482612865632238e-07,5.06528886735151e-07,,0.03526840238933532,,13.432835820895523
comps3,12,unclassified_Veillonellaceae,0.0003311982892243819,2.93894536524904e-08,0.010574232260381506,0.035533469046973847,0.04987784893434782,8.053691275167784
