other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
unclassified_Leptotrichiaceae,6.693443817828632e-28,0.0015034591682790953,1.9243180110613742e-07,72.97297297297297
Porphyromonas,7.29084938744193e-24,7.0924505057022e-07,6.578961050933805e-08,102.7027027027027
Parvimonas,2.552075038930572e-23,3.030834597386531e-11,1.430626319996326e-10,83.78378378378379
unclassified_Haloplasmataceae,9.217642800090101e-22,8.54293918629959e-08,4.695804410443408e-08,48.64864864864865
Streptobacillus,9.217642800090101e-22,0.018505774046649243,4.695804410443408e-08,48.64864864864865
Oscillibacter,1.0751947401897034e-21,1.5608709973449623e-15,1.9243180110613742e-07,105.40540540540539
Aeromonas,2.3841952063488435e-20,0.012635401317776258,1.949274831578288e-07,45.94594594594595
unclassified_Peptococcaceae,1.0555749413870484e-18,3.499349690770208e-13,4.433955717492588e-09,227.02702702702703
unclassified_Acetobacteraceae,2.2551675956537064e-18,2.7949913528625783e-10,4.433955717492588e-09,232.43243243243242
unclassified_Thermoactinomycetaceae,8.50583726505453e-18,1.9059673054078607e-14,3.8291484530215286e-08,197.2972972972973
Mannheimia,1.3824981761795849e-17,0.013036836280994316,4.717118658902028e-07,40.54054054054054
Barnesiella,5.91842393368005e-17,4.613832311450843e-14,1.9243180110613742e-07,151.35135135135135
unclassified_Desulfomicrobiaceae,6.608491007263432e-17,1.924291416051375e-10,8.170709700754235e-08,170.27027027027026
Akkermansia,7.58720723811063e-17,1.0627373567734576e-12,8.437140517781306e-07,105.40540540540539
unclassified_Puniceicoccaceae,1.1676535063440852e-16,6.19344801668849e-11,5.384945486430182e-07,137.83783783783784
unclassified_Incertae,1.3972154662244016e-16,3.461567824302692e-15,4.433955717492588e-09,264.86486486486484
unclassified_Sutterellaceae,2.966360069514015e-16,1.150574453064313e-09,1.3079410091808894e-08,245.94594594594597
unclassified_Eubacteriaceae,4.2510893840940237e-16,9.064004208806858e-14,9.011028552184446e-08,202.7027027027027
Methanobrevibacter,4.51002473666017e-16,1.0193523338872348e-12,3.2533807774177278e-09,302.7027027027027
G03CA04_CC06_.estrogens.,5.174164627304028e-16,3.273669699679356e-08,5.743785144906951e-09,113.51351351351352
unclassified_Cryomorphaceae,5.691771191807283e-16,6.080193363089948e-10,2.354665504608048e-09,251.35135135135135
unclassified_Oxalobacteraceae,1.5592133388801273e-15,1.8991933605233332e-13,4.433955717492588e-09,286.4864864864865
unclassified_Porphyromonadaceae,3.635464489167148e-15,6.047587674010783e-10,4.433955717492588e-09,294.5945945945946
unclassified_Gracilibacteraceae,3.635464489167148e-15,6.676219987854444e-13,4.433955717492588e-09,294.5945945945946
Hafnia,6.687685548568487e-15,0.014006412153355909,9.332712415281102e-05,35.13513513513514
Anaerosporobacter,7.493839960248383e-15,1.328315016565505e-07,2.1131873414751243e-07,181.08108108108107
unclassified_Natranaerobiaceae,8.237704561195129e-15,4.128812972898787e-15,4.433955717492588e-09,302.7027027027027
unclassified_Veillonellaceae,1.2175496559844227e-14,5.102613472041973e-15,2.2270351083158025e-09,402.7027027027027
unclassified_Rhodobacteraceae,3.237990936670168e-14,2.1586920958533352e-07,2.6717883065846703e-07,102.7027027027027
unclassified_Heliobacteriaceae,3.2585414924723625e-14,4.290090782063372e-09,5.820267099046762e-08,213.51351351351352
unclassified_Anaplasmataceae,6.233374338689231e-14,2.555769639288344e-05,7.935700244838733e-06,78.37837837837837
unclassified_Halanaerobiaceae,8.630354990918944e-14,0.010970978721100396,9.329256008217027e-07,67.56756756756756
Shift_work:False,9.718225106711752e-14,4.738305998176669e-06,1.9243180110613742e-07,200.0
unclassified_Clostridiales,1.156082969225791e-13,2.1907008170370646e-13,3.2533807774177278e-09,362.16216216216213
Odoribacter,1.6291510868697607e-13,1.0066204926800588e-10,8.170709700754235e-08,227.02702702702703
unclassified_Clostridiaceae,1.6619013086719677e-13,2.6345545007765816e-13,1.8290705186549084e-08,305.4054054054054
unclassified_Ruminococcaceae,6.801611231784737e-13,6.668650846632564e-16,1.7611071633668357e-09,418.91891891891896
unclassified_Eionea,8.587302306948969e-13,0.04232401340801243,0.0012627573478060183,35.13513513513514
unclassified_Beutenbergiaceae,1.2797204447373751e-12,0.032627286613686815,2.0174941153291297e-07,105.40540540540539
unclassified_Chitinophagaceae,2.0215727221030525e-12,6.217747130449487e-06,3.7733837003802556e-07,181.08108108108107
unclassified_Neisseriaceae,5.37325931573996e-12,0.012874837293369213,0.0044325761550432444,24.324324324324326
Alistipes,5.433344573206941e-12,2.0699421417157478e-12,1.1159683678921375e-08,345.94594594594594
unclassified_Bryobacter,1.2205395153453523e-11,6.799277876735963e-11,1.2419382007358611e-06,218.9189189189189
Chocolate_type_preference.option,3.5065745188806826e-11,9.147920989929241e-05,2.3668345826822492e-05,91.8918918918919
unclassified_Desulfohalobiaceae,7.883029699664296e-11,3.4353648725690694e-05,1.3724174854218086e-05,148.64864864864865
unclassified_Pseudomonadaceae,1.1230608099537267e-10,0.00020100016391783935,1.6390989881181736e-07,151.35135135135135
unclassified_Victivallaceae,1.3898558816942485e-10,1.5565616656978095e-11,7.662844624853738e-08,297.2972972972973
unclassified_Alteromonadaceae,1.4355510595563326e-10,0.004986444569412339,2.5007537753450327e-05,70.27027027027027
Clostridium_III,2.7051967672583243e-10,0.0016602912757990211,0.00017207234529657763,29.72972972972973
unclassified_Kofleriaceae,4.931865694845386e-10,1.5265584124383089e-06,8.42495995781668e-05,124.32432432432432
unclassified_Acanthopleuribacteraceae,1.0352035862773884e-09,0.026012770840822215,0.00017207234529657763,32.432432432432435
unclassified_Methanocellaceae,2.3295748833447706e-09,0.011730523001271451,1.6398565044025174e-05,83.78378378378379
unclassified_Thiotrichaceae,1.4326045304817859e-08,1.349143264291571e-08,0.00015971905600024606,172.97297297297297
Cloacibacillus,1.614530655037575e-08,3.8947582862905976e-06,0.00014677326034021287,51.35135135135135
unclassified_Verrucomicrobiaceae,2.5539761165153778e-08,4.975015462794493e-10,2.5535620577995797e-07,156.75675675675674
Cerasicoccus,3.142252878764612e-08,3.321042478089112e-08,1.3995733644361233e-06,181.08108108108107
Sneathia,3.988624780129296e-08,0.008199311282841772,3.802485894705293e-05,16.216216216216218
Comamonas,4.506949636608088e-08,0.0009327436158460763,0.00017207234529657763,43.24324324324324
unclassified_Xanthomonadaceae,6.648891303617628e-08,8.992601304834126e-05,2.5939961028136638e-05,124.32432432432432
Blood_urea,8.008230960969254e-08,0.004810752492522063,0.00010778633227178465,89.1891891891892
Plan_to_change_weight.option,1.5922608526300136e-07,5.329660892432723e-06,9.762700566998365e-05,175.67567567567568
Victivallis,1.5922608526300136e-07,3.571144425993598e-08,5.501191347438984e-06,175.67567567567568
A06AD15_65_.osmotic_laxatives.,1.7521475339552254e-07,9.192306844890941e-06,2.030149022131346e-05,48.64864864864865
unclassified_Chromatiaceae,2.665435945219053e-07,0.004928294831430217,3.802485894705293e-05,18.91891891891892
Enterorhabdus,4.201911234778825e-07,7.092423933352342e-05,7.997527215146824e-05,237.83783783783784
unclassified_Rickettsiaceae,6.128939535078277e-07,8.916689609000756e-10,3.363389693359056e-07,243.24324324324326
Weight_perception.option,6.267411873297783e-07,1.6065802926208095e-05,9.762700566998365e-05,191.89189189189187
unclassified_Coriobacteriaceae,9.7696865355634e-07,8.780151054890393e-06,1.1961584995412848e-06,278.3783783783784
Working_start_age.option,1.0573654332984583e-06,0.00117274685800982,5.1092371352157e-06,251.35135135135135
unclassified_Gilvimarinus,1.2740730812903005e-06,0.005921675464849626,1.4726036093454866e-05,110.8108108108108
Campylobacter,1.499076066409846e-06,4.719673587317103e-05,0.00017207234529657763,59.45945945945946
Sporobacter,1.8350266300334477e-06,5.0857130213943285e-06,2.517513565890449e-07,318.9189189189189
Papillibacter,2.2735642091476525e-06,4.823574083475238e-06,2.3679760978085225e-05,116.21621621621621
unclassified_Thermoplasmatales,2.5755809554927792e-06,1.6438005919286395e-06,6.6236068866541044e-06,210.81081081081078
Food_allergy,3.916396588359904e-06,0.0005255365889219161,0.00014828484327624597,121.62162162162163
unclassified_Bifidobacteriaceae,4.1543028217142836e-06,0.0002867623179885297,2.2177403241696125e-06,191.89189189189187
Bilophila,4.481015028781285e-06,0.00027414499125574153,1.553566215510206e-05,218.9189189189189
Methanosphaera,7.906864988301963e-06,6.023892238096624e-06,0.0016102459614646767,54.054054054054056
Gender:F,8.508578309860273e-06,8.195457515767192e-07,1.0063445053215618e-07,381.0810810810811
Streptophyta,8.748787535908086e-06,0.00011519351664157622,0.00013612059322914765,89.1891891891892
Clostridium_sensu_stricto,2.4803279946707674e-05,8.480660978867148e-06,1.261982656686885e-06,218.9189189189189
unclassified_Bradyrhizobiaceae,2.8360764876576575e-05,1.962152706420047e-06,1.4895871485629626e-05,121.62162162162163
unclassified_Bacteroidaceae,3.996285588538464e-05,1.6574616116984848e-05,3.549317063768025e-06,227.02702702702703
Peptostreptococcus,4.60295272384129e-05,1.7969035240529282e-05,4.720738481501517e-06,105.40540540540539
unclassified_Simkaniaceae,4.7502983400298266e-05,5.033497940272326e-07,2.620814005882478e-06,151.35135135135135
Solobacterium,4.943841536289354e-05,0.004555763753176622,0.00039681411695847383,35.13513513513514
unclassified_Thermoanaerobacteraceae,5.1399298234714675e-05,3.966997605323528e-08,6.782002947234365e-07,321.6216216216216
Sleep_.hours.day.,6.831072515080997e-05,8.191364633567982e-06,8.160413745395408e-05,132.43243243243242
unclassified_Vibrionaceae,7.080331638214941e-05,0.0040142918246713205,0.00017207234529657763,89.1891891891892
unclassified_Desulfovibrionaceae,7.423867327353189e-05,0.013241287006130314,0.005054652074343634,110.8108108108108
Robinsoniella,0.00010114013529761215,1.9793571302204536e-06,6.360859176496786e-05,72.97297297297297
Clostridium_IV,0.0001276361151754459,2.0643172195176237e-06,2.992493463407946e-06,248.64864864864865
unclassified_Methanobacteriaceae,0.00013137275174908807,0.00011280058998009152,0.024658696922664255,40.54054054054054
Childhood_residence_type.option,0.00015083127206160814,6.75806735589703e-05,0.0014654850024617171,97.2972972972973
HDL_cholesterol,0.00018002540015613728,3.228366314711572e-05,0.00016227945848626012,145.94594594594594
Age,0.00021529028509057328,3.5163810976733164e-05,0.0005960751085878865,148.64864864864865
Smoking_with_inhalation:Neen,0.0002563049588372073,5.319886185612715e-06,0.0003552147870102558,151.35135135135135
Slackia,0.00031650618436263473,0.0013962643957062596,8.335943415479844e-06,181.08108108108107
unclassified_Ignavibacteriaceae,0.0007525839434826388,2.4415461353416363e-06,0.0054948927538971,143.24324324324326
unclassified_Hyphomonadaceae,0.0007761245476764286,0.00034568172066782297,2.2782359630056046e-06,170.27027027027026
Howardella,0.0008103912441352023,0.017149408090927094,8.592207011570441e-06,313.5135135135135
unclassified_Streptococcaceae,0.0008962011488656826,4.6392264441260324e-05,1.9416109560735628e-05,172.97297297297297
unclassified_Bacillales,0.0018463489339289878,0.008868993360574794,0.0007764223362196553,159.45945945945945
unclassified_Moraxellaceae,0.002915123917880428,0.04502678309859829,0.00039681411695847383,67.56756756756756
Pseudoflavonifractor,0.0032489176766658475,0.0012969321304576184,0.0006235182352739982,91.8918918918919
Succinatimonas,0.004437288845825271,0.0011943786943527264,0.012991837787725434,51.35135135135135
Creatinine,0.006995642599424607,8.471982371708516e-05,0.0044325761550432444,159.45945945945945
Desulfovibrio,0.007041465169896098,0.00021208797140854916,0.001272332711687824,189.1891891891892
Constipation_.days_past_week.option,0.008741929362189114,0.0007877413807279264,0.020849921981655955,59.45945945945946
Thermogymnomonas,0.009154457573299078,0.00011335575710147613,0.0010008288921600824,83.78378378378379
