other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
unclassified_Nitrosomonadaceae,4.390786689109499e-15,0.007990005547578453,0.011214273345955188,63.1578947368421
Yersinia,1.6739590377821487e-07,0.0012720355241888025,0.015110431414188675,89.47368421052632
unclassified_Dehalogenimonas,4.6909744180916835e-05,0.02730688871716951,0.003842946529793095,257.89473684210526
unclassified_Thiotrichales,0.00010464632447723776,1.7927950771983905e-05,0.015110431414188675,210.52631578947367
Prevotella,0.00021054549014814123,1.5971536179612726e-05,0.011214273345955188,505.2631578947368
Butyricicoccus,0.0016398230629269149,0.0017615689957634676,0.0018087686092017495,321.0526315789474
Alcohol_.average_past_week.option,0.0022031371182092974,0.0002995563489627682,0.015110431414188675,336.84210526315786
Pets_.past_3_months.,0.003471417242611347,0.004608554896569861,0.0798234564341151,363.15789473684214
unclassified_Rhodobacteraceae,0.005005357439149292,0.0064703920654067505,0.1684428727248739,200.0
Bread_type_preference.option,0.006753581336098068,0.0006293431758379531,0.21932975186552695,305.2631578947369
Clostridium_XlVb,0.01685401160008469,0.00030343593614690214,0.07830557428492868,478.94736842105266
Olsenella,0.01789359865463625,0.005124729591370781,0.02939941429497646,268.42105263157896
unclassified_Rhodocyclaceae,0.019389223015712626,0.013728132071946628,0.16125699126927695,273.6842105263158
Flavonifractor,0.019638453410003715,0.004497741562219453,0.8829670848374824,100.0
unclassified_Acidaminococcaceae,0.02229508210502502,0.0006321229801698907,0.05055667290970198,389.4736842105263
Gender:F,0.024614420902529792,0.00152107877990145,0.3534501534636352,742.1052631578948
Fruits_.freq._past_week.option,0.025455826798869343,0.041199066084784464,0.8649104549724246,194.73684210526315
Granulicatella,0.030403198787498118,0.009596669251063774,0.11387677845559181,205.26315789473685
Glomerular_filtration_rate,0.041666086890786186,0.003636817023152176,0.16803745457566033,331.57894736842104
Beta.globulin,0.041952737929340456,0.005623561599778576,0.11969070157313577,226.3157894736842
Sick_leave_.freq._past_year.:nan,0.048571788523026974,0.03558376822328082,0.8649104549724246,236.84210526315786
