other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
unclassified_Acetobacteraceae,2.258971199532541e-33,1.267795160798653e-14,1.2337661945335115e-13,204.76190476190476
Parvimonas,2.169278633475665e-25,6.825797352676085e-11,1.4502689443278345e-10,73.80952380952381
unclassified_Peptococcaceae,8.944586061963953e-25,8.011935960915164e-18,1.1438985403806156e-10,200.0
unclassified_Oxalobacteraceae,1.0636596588515582e-23,7.030825069917028e-17,6.063106104207467e-11,252.38095238095238
unclassified_Heliobacteriaceae,9.803298100778277e-23,1.2464872330092077e-14,1.5755197766169099e-09,188.0952380952381
Methanobrevibacter,1.0825438989060738e-22,1.778928861814224e-17,6.063106104207467e-11,266.66666666666663
unclassified_Natranaerobiaceae,1.0825438989060738e-22,9.383907252088509e-19,6.063106104207467e-11,266.66666666666663
unclassified_Clostridiaceae,1.5694425932612998e-22,4.142686583984712e-18,6.063106104207467e-11,269.0476190476191
Anaerosporobacter,1.8856100296086264e-22,1.3105982342794309e-09,3.1799793060325598e-09,159.52380952380955
unclassified_Incertae,4.904772033122872e-22,3.124920066860989e-18,8.615666303872121e-10,233.33333333333334
unclassified_Gracilibacteraceae,1.1542560081280436e-21,1.0543542751057508e-17,2.3878465482394234e-10,259.5238095238095
unclassified_Porphyromonadaceae,1.1542560081280436e-21,8.259997788635225e-13,2.953245483807963e-11,259.5238095238095
unclassified_Leptotrichiaceae,4.2251944706903975e-20,0.00045739875754003377,2.2733462479513748e-06,64.28571428571429
unclassified_Chitinophagaceae,1.612151549788895e-19,1.1733109989731608e-08,6.170910885358789e-11,159.52380952380955
unclassified_Clostridiales,1.6621428889286568e-19,3.6101890304831534e-19,6.063106104207467e-11,319.0476190476191
unclassified_Rickettsiaceae,3.5386190771356536e-19,2.231997853562684e-16,1.0262299223198443e-10,214.28571428571428
Porphyromonas,1.1193835624053377e-18,4.901645138954996e-09,1.3932982280110885e-06,90.47619047619048
unclassified_Ruminococcaceae,5.138775883075072e-17,5.311681410028553e-19,6.063106104207467e-11,369.0476190476191
Streptobacillus,2.862138032184596e-16,0.01118897030152928,3.192574615207678e-07,42.857142857142854
unclassified_Haloplasmataceae,2.862138032184596e-16,5.429526425517708e-08,3.192574615207678e-07,42.857142857142854
unclassified_Cryomorphaceae,4.057267436877902e-16,7.741650232556178e-11,2.0397886226005786e-11,221.42857142857144
unclassified_Verrucomicrobiaceae,4.466100216365796e-16,7.951591265922813e-14,1.5991338389982861e-09,138.0952380952381
Fruits_.freq._past_week.option,5.174164627302586e-16,5.743785144906951e-09,3.273669699679356e-08,88.09523809523809
Oscillibacter,2.0764048856352495e-15,7.319392130021385e-13,2.2733462479513748e-06,92.85714285714286
Akkermansia,2.0764048856352495e-15,3.1879835478427e-12,3.3162850796423086e-07,92.85714285714286
unclassified_Veillonellaceae,3.6849393991160226e-15,1.670645333079095e-16,1.1438985403806156e-10,354.76190476190476
Aeromonas,4.902819308037176e-15,0.007249126181216388,1.418352494056199e-06,40.476190476190474
unclassified_Thiotrichaceae,7.161313236573032e-15,1.8635723723576282e-11,8.852797763364084e-07,152.38095238095238
unclassified_Gilvimarinus,7.506651266014783e-15,0.0003647051633248707,1.5804507570622962e-05,97.61904761904762
Victivallis,1.0983741132133611e-14,3.244419521278348e-12,1.4568778459695995e-07,154.76190476190476
Cerasicoccus,2.5166971497545946e-14,3.0185145907601965e-11,5.8154467170094955e-06,159.52380952380955
unclassified_Halanaerobiaceae,2.5898051663277344e-14,0.01430828228008603,7.338945860228948e-08,59.523809523809526
unclassified_Pseudomonadaceae,5.685244164952839e-14,3.003667285969457e-07,2.6678144118356334e-09,133.33333333333331
unclassified_Alteromonadaceae,6.443576488009567e-14,0.0001639162910378434,9.01690054561116e-06,61.904761904761905
unclassified_Thermoanaerobacteraceae,7.115028647928507e-14,1.6000091943057547e-13,3.075729183664387e-09,283.33333333333337
Cloacibacillus,7.639264455220395e-14,7.835119743981716e-07,1.255258942784804e-05,45.23809523809524
unclassified_Victivallaceae,7.87192602752215e-14,9.322209939910297e-14,1.6549869156836254e-09,261.9047619047619
unclassified_Methanocellaceae,1.2424935394158378e-13,0.0006513658486420821,1.5804689144130687e-05,73.80952380952381
unclassified_Thermoactinomycetaceae,2.5070495543222333e-13,1.3267919296064291e-14,1.1277471507777296e-07,173.80952380952382
unclassified_Sutterellaceae,5.933506383090599e-13,1.687031398753199e-10,3.7527090236979017e-07,216.66666666666666
Mannheimia,1.2562557475208114e-12,0.0058298221207596194,1.391946147251178e-07,35.714285714285715
unclassified_Thermoplasmatales,1.4136965807428046e-12,4.58328913568373e-09,1.3188768832097514e-07,185.71428571428572
Enterorhabdus,2.8001807238369092e-12,3.790499487010374e-08,1.0080018229222653e-05,209.52380952380955
unclassified_Eubacteriaceae,6.243442072788044e-12,7.299260518818042e-13,4.1431848938368426e-07,178.57142857142858
Sporobacter,7.08709728233481e-12,5.163626340422576e-11,5.761023675195631e-09,280.9523809523809
unclassified_Bacteroidaceae,9.35514873686853e-12,7.552996434734409e-10,1.1016804338663075e-07,200.0
Barnesiella,1.2194646161895367e-11,4.151138316543892e-12,2.2733462479513748e-06,133.33333333333331
unclassified_Desulfomicrobiaceae,1.3904233972406768e-11,7.998951234357437e-13,6.42211425452768e-07,150.0
unclassified_Coriobacteriaceae,1.695769724250396e-11,3.5168926144041114e-07,5.572986092908057e-07,245.23809523809524
unclassified_Puniceicoccaceae,2.0854216754231705e-11,9.51282296674471e-10,5.2002536080431654e-05,121.42857142857142
Working_start_age.option,1.1633484528627129e-10,0.00018148991416782202,5.899920641490758e-06,221.42857142857144
unclassified_Hydrogenophilaceae,2.0362176363953092e-10,0.002530431170250523,0.02444395231642317,38.095238095238095
unclassified_Beutenbergiaceae,2.565722196570068e-10,0.02559221557211202,7.338945860228948e-08,92.85714285714286
Solobacterium,2.672763001452021e-10,4.9399001968027716e-05,4.22508469140757e-05,30.952380952380953
Papillibacter,1.5065806443297213e-09,5.600581452182773e-05,0.00930680289909647,102.38095238095238
unclassified_Hyphomonadaceae,1.60695332350929e-09,4.5490877562815206e-07,2.177702043340966e-08,150.0
Gallicola,3.0278428152419677e-09,0.009926420881366032,0.000690415789985466,45.23809523809524
unclassified_Chrysiogenaceae,3.0278428152419677e-09,0.009926420881366032,0.000690415789985466,45.23809523809524
Shift_work:False,4.4363935379480295e-09,2.0812925883761194e-05,2.2733462479513748e-06,176.19047619047618
unclassified_Kofleriaceae,4.9170333911365945e-09,6.096801508867604e-05,0.001573919963525118,109.52380952380953
