other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Clostridium_XlVb,4.772205311659842e-09,6.311609748726227e-11,3.769571167370068e-08,151.66666666666666
Mucispirillum,1.983832108328646e-08,6.81375307861383e-05,1.7781768168665197e-05,45.0
Flavonifractor,1.9010343802922964e-07,1.0557410612002071e-06,4.5513784582417145e-05,31.666666666666664
unclassified_Ktedonobacteraceae,3.895397021595645e-07,0.001925221169848933,0.00017118212564898208,33.33333333333333
Fusobacterium,8.478517974728065e-07,0.04775319300416051,0.0005221341345937247,23.333333333333332
unclassified_Fusobacteriaceae,1.2727274528912283e-06,0.004434383234133309,0.0001546919824874195,30.0
Pelomonas,1.6747616874890451e-06,8.257461729743311e-09,1.6068560380993203e-06,95.0
Smoking_with_inhalation:Ja,7.313263049030284e-06,7.233832302098911e-07,9.416096856744108e-09,75.0
Veillonella,3.7851814576210196e-05,1.2027960825879319e-05,1.554568047318776e-05,56.666666666666664
Shift_work:True,4.204250684651778e-05,3.2498842443312268e-06,1.7502179458919174e-06,95.0
unclassified_Mariprofundaceae,4.699042800078055e-05,0.0028056145073671614,2.9963933820411383e-05,66.66666666666666
Alcohol_.average_past_week.option,5.0597437621394895e-05,3.081482330398479e-09,5.609512452123258e-07,106.66666666666667
Odoribacter,5.256437498219019e-05,5.775073354199231e-10,1.2051153377502868e-07,140.0
unclassified_Brucellaceae,5.6064223454700575e-05,0.0027465490130590743,0.00017118212564898208,50.0
Sick_leave_.freq._past_year.option,8.992835953241007e-05,4.818224335877237e-06,8.876355269724605e-06,80.0
L04AX01_.azathioprine.,0.00011239776885735169,0.002919561276326537,4.5513784582417145e-05,53.333333333333336
Eggerthella,0.0002630087777143022,0.00033908557133463426,0.005382961654198094,25.0
Allisonella,0.00026306869405475115,0.0003126715700359857,0.002731785933790998,18.333333333333332
Weissella,0.0007208143367191531,0.044827688348368505,0.0016985234047843022,36.666666666666664
Bacteroides,0.0007794836692598215,1.479530858428897e-10,6.176365496338671e-07,215.0
J01CR02_.amoxicillin_and_enzyme_inhibitor.,0.0008209237433003186,2.6660151466399974e-06,0.0005121484223570081,65.0
unclassified_Lactobacillaceae,0.0008291666519309683,0.00041713495559477003,8.8974654410675e-05,21.666666666666668
unclassified_Deferribacteraceae,0.001006662759943155,0.002330536738320632,0.0001820025462529653,76.66666666666667
Anaerobiospirillum,0.0014047504078535202,0.0003088710977899863,7.151526328668645e-06,40.0
unclassified_Thermaceae,0.0030258985199191203,0.040015909813202924,0.0005154021877094083,26.666666666666668
unclassified_Ferroplasmaceae,0.0032730400999557404,1.590426689975884e-05,4.487547349721415e-05,65.0
Smoker,0.004401946942888873,8.221150524584863e-05,4.8566677112926474e-05,78.33333333333333
Serratia,0.005955685510614234,0.006377429858454001,0.0002572332735064864,30.0
Roseburia,0.009391210862535434,3.1592681065844156e-07,1.561811027099579e-09,225.0
Fruits_.days_since_consumed.option,0.00947421922212033,0.0007125841212661525,3.069254087418362e-05,63.33333333333333
Granulicatella,0.011334572958763195,0.00510319765226667,0.05175200940357434,65.0
Meat_.average_past_week.option,0.01252109514497248,6.147763253382201e-05,9.69027587105131e-06,100.0
Dialister,0.015144050541107129,1.586021337526038e-05,7.151526328668645e-06,56.666666666666664
unclassified_Anaplasmataceae,0.02010287198825959,0.0061679590717413696,0.0007793112892964573,48.333333333333336
unclassified_Syntrophomonadaceae,0.020651112847795125,2.5175570934088698e-05,4.487547349721415e-05,80.0
Mean_corpuscular_hemoglobin_concentration,0.022133118760230445,0.0006904558703440934,3.859680456878646e-05,153.33333333333334
Phascolarctobacterium,0.03211852817691405,0.00042093249917164613,0.0032817762528282823,41.66666666666667
Beer_consumption.option,0.04058208687343922,0.0009178703038231495,0.00011350473230921545,126.66666666666666
Spirits_consumption.option,0.04728674514263721,0.015725634215745583,0.012769114161276275,65.0
