other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Alistipes,5.928522449953927e-32,1.376959187434891e-31,5.0943765966298064e-20,90.78014184397163
Working_start_age.option,1.365095721987865e-25,1.9301572017926619e-16,1.1257376794392711e-17,65.95744680851064
unclassified_Desulfurellaceae,7.642931871069684e-23,0.0009474790903554908,3.212663514405718e-06,27.659574468085108
unclassified_Veillonellaceae,8.166631865562559e-23,6.110834205353223e-32,1.9202145049063213e-20,105.67375886524823
unclassified_Pseudomonadales,9.341115824517336e-21,0.009505870263699505,8.246293632237797e-07,25.53191489361702
HDL_cholesterol,1.0842761697604999e-18,2.1938589578323845e-12,1.0628873286111834e-14,38.297872340425535
unclassified_Bogoriellaceae,4.989681371023993e-18,0.005594271386430594,1.438812797497311e-05,22.69503546099291
unclassified_Sedimenticola,9.609764834309244e-16,0.04211465981467379,1.3336242159060495e-05,18.439716312056735
unclassified_Rickettsiaceae,4.115892182016892e-15,3.9799097094711616e-25,3.018748460371885e-12,63.829787234042556
unclassified_Thermoanaerobacteraceae,4.236852295771133e-15,3.8531735156856558e-25,1.2065285473192862e-12,84.39716312056737
Bacillus,5.159307219489924e-15,2.5194362824023526e-06,0.0006912269412164051,15.602836879432624
Irritable_bowel_syndrome,5.919650713269304e-15,2.0846015052520566e-14,2.0102645628031434e-10,32.62411347517731
Methanobrevibacter,1.340844546442761e-13,9.46641075388195e-25,5.171681888144854e-12,79.43262411347519
unclassified_Ruminococcaceae,1.7977935015710507e-13,1.2930856133059549e-27,1.0521799898401664e-16,109.92907801418438
Bilophila,6.594636626587968e-13,1.2440324770771722e-14,4.1597831268966436e-14,57.446808510638306
unclassified_Cytophagaceae,1.7541937313753146e-12,3.8911543382721764e-12,7.558273462383886e-10,48.93617021276596
Sporobacter,2.0202761858342285e-12,2.2919435453482812e-23,8.475942321752926e-14,83.68794326241135
unclassified_Gracilibacteraceae,2.2282472473327605e-12,9.883475262463938e-26,3.176441785044741e-13,77.30496453900709
Pseudoflavonifractor,2.2467058315017465e-12,2.9790225005567505e-14,4.658154438299815e-08,24.113475177304963
unclassified_Syntrophorhabdaceae,2.2986712342405956e-12,4.611011754292098e-14,1.0871588007191853e-07,22.69503546099291
Parabacteroides,3.104603659302638e-12,2.4420496243550875e-20,4.646416221904416e-13,40.42553191489361
unclassified_Aurantimonadaceae,3.967943982617623e-12,0.02605960334746934,0.0005132631939238642,16.312056737588655
unclassified_Clostridiaceae,4.354366974590057e-12,1.0648502348749579e-26,3.7056031999312515e-13,80.1418439716312
Robinsoniella,7.777400445746752e-12,4.89490556904642e-10,5.039530732356244e-05,19.148936170212767
Arcanobacterium,1.1795181875906353e-11,0.00023609368124447914,0.0022644140554919797,12.056737588652481
Geobacillus,3.319788890761928e-11,0.002299271937115559,1.8835652385121743e-06,22.69503546099291
unclassified_Acidimicrobineae,3.8518228714748024e-11,0.0003474180321890959,0.00011282952019696717,13.47517730496454
unclassified_Coriobacteriaceae,2.487017764162038e-10,5.424190492307022e-16,2.1990420958510243e-12,73.04964539007092
unclassified_Clostridiales,7.700271519486322e-10,1.610610218518004e-23,1.1549015903151232e-14,95.0354609929078
unclassified_Natranaerobiaceae,1.0328477134719218e-09,6.661369472621634e-22,2.0875418727160787e-14,79.43262411347519
Clostridium_XVIII,1.2787706136657197e-09,4.791924809095806e-08,7.43941562229832e-05,13.47517730496454
Breakfast_.N_past_week.,1.441361984671008e-09,5.3581712087305304e-08,1.3285807787657459e-11,39.00709219858156
unclassified_Incertae,1.7724355993539423e-09,4.95183968800287e-22,1.8927871197659375e-12,69.50354609929079
unclassified_Methylocystaceae,1.8883525020145574e-09,0.047799467826342555,1.648779942204637e-06,19.148936170212767
unclassified_Marinifilum,1.8883525020145574e-09,0.02883752572262011,0.011556349305202834,19.148936170212767
Gardnerella,1.99663897086858e-09,0.0009586825846052897,6.929824120788907e-05,17.73049645390071
Slackia,3.127469407090638e-09,1.2497726537976071e-12,7.350191269645062e-08,47.5177304964539
unclassified_Thermoactinomycetaceae,4.360420188688844e-09,3.65188661493445e-20,7.937321581222176e-09,51.77304964539007
A06AD15_65_.osmotic_laxatives.,5.26481122601753e-09,5.59178053132255e-07,1.9648868301849943e-07,12.76595744680851
Anaerotruncus,6.785952960572103e-09,2.0728542815832746e-07,7.43941562229832e-05,14.184397163120568
Porphyromonas,1.4090923437877837e-08,3.233841693866733e-10,1.840325514165954e-07,26.95035460992908
Barnesiella,1.5543982314000233e-08,2.4553978023782935e-17,6.885168365951271e-11,39.71631205673759
Coffee_.days_since_consumed.option,2.478451448375894e-08,2.6285068419407803e-08,6.738025074060708e-06,17.73049645390071
unclassified_Methermicoccaceae,5.919429106915939e-08,0.022473241467321634,5.249270323946193e-06,19.858156028368796
Synergistes,5.919429106915939e-08,0.002469364375952814,3.116854504461141e-06,19.858156028368796
Anaerofustis,8.588759340146473e-08,9.447976860246117e-06,0.0002444520425270861,11.347517730496454
unclassified_Hydrogenophilaceae,8.588759340146473e-08,5.48138415083493e-05,5.371707610650019e-05,11.347517730496454
unclassified_Oceanospirillaceae,8.744190878019091e-08,1.3420968301933313e-05,0.000677140025322256,17.02127659574468
Hallella,1.054746606172606e-07,8.300631787471323e-06,3.9600964168666585e-05,14.184397163120568
unclassified_Bryobacter,2.119735857295879e-07,1.0873406666812088e-15,1.4687934802959379e-08,57.446808510638306
unclassified_Thermoleophilaceae,2.657506043040039e-07,9.755754194975099e-05,6.320507535019709e-05,22.69503546099291
G03CA04_CC06_.estrogens.,2.7093166585492783e-07,3.868325264438856e-08,4.311189004004352e-07,29.78723404255319
unclassified_Eubacteriaceae,3.073989923114274e-07,5.224452067764951e-18,2.2351709316080382e-11,53.191489361702125
Anaerosporobacter,3.7942322545542033e-07,2.1599431984325898e-10,1.1085935312519785e-07,47.5177304964539
Cloacibacillus,3.855626118712663e-07,2.670243990748444e-07,4.393924344755403e-06,13.47517730496454
unclassified_Porphyromonadaceae,7.314418349122926e-07,2.739522656454847e-17,3.3324770684059433e-11,77.30496453900709
