n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps1,124,unclassified_Victivallaceae,2.8463836045338155e-05,2.2093022580794165e-08,,1.9636703885106267e-06,,42.47787610619469
comps1,124,unclassified_Ectothiorhodospiraceae,0.02586126879789179,1.5413364398001658e-05,,0.006550339501227078,,52.63157894736842
comps1,124,unclassified_Desulfomicrobiaceae,0.025083829596657704,0.03559625589382369,,0.007033273248807123,,32.8125
comps1,124,Alistipes,5.3955190249269806e-12,3.003335113791198e-39,,0.008644601035390427,,65.18518518518519
comps1,124,Chocolate_type_preference.option,0.014381398126666936,1.6681599099239292e-05,,0.011166639499039472,,50.0
comps1,124,unclassified_Flavobacteriaceae,0.025083829596657704,1.9904366489246738e-08,,0.011229886652916665,,67.74193548387096
comps1,124,unclassified_Coriobacteriaceae,1.1817486490153267e-05,3.2363113601968726e-12,,0.01242207643331421,,49.51456310679612
comps1,124,unclassified_Eubacteriaceae,1.1817486490153267e-05,7.089207273392436e-16,,0.014081216560890304,,57.30337078651685
comps1,124,Clostridium_IV,6.391751861155533e-05,4.337149279252483e-09,,0.016967448625140977,,45.09803921568628
comps1,124,Akkermansia,0.007919642636023485,8.341911383536453e-08,,0.01998439633527033,,56.52173913043478
comps1,124,unclassified_Planococcaceae,0.004438040792089355,5.6482211978717917e-05,,0.021282773625137526,,42.42424242424242
comps1,124,Hallella,0.025083829596657704,2.8786352288005136e-09,,0.021826990038418037,,72.41379310344827
comps1,124,Victivallis,0.001216293540261722,2.511339869879227e-09,,0.03623881801541667,,53.03030303030303
comps1,124,unclassified_Acetobacteraceae,0.009323599448160934,0.00012101072805693392,0.9626492841297098,0.04781406732385189,0.3634879469815159,37.11340206185567
comps3,17,Bread_type_preference.option,9.017042745283023e-07,0.0175675955565247,,0.013279271175454329,,9.67741935483871
comps3,17,Lactobacillus,1.7816310785069748e-11,4.310246403401444e-08,,0.01666804407872767,,27.027027027027028
comps3,17,Prevotella,1.0442506308375777e-22,1.1864133389258236e-12,,0.03358035533390229,,17.346938775510203
