other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Hemoglobine,6.516816070438123e-51,6.144506182602408e-34,7.616791884028464e-39,103.00751879699249
Red_blood_cell_count,2.1760175828504448e-36,4.977623479378402e-27,8.186064364049007e-29,73.68421052631578
Uric_acid,5.5191812143050565e-33,1.241466503743744e-24,8.888739770442607e-28,72.93233082706767
Height,1.532272072474151e-26,8.025698560155342e-26,1.048532224746735e-21,53.383458646616546
Roseburia,1.6039103732488517e-24,1.620571098686815e-35,1.3591724667629824e-23,104.51127819548873
Beer_consumption.option,2.006286742952892e-17,5.841927390148066e-16,1.9062654716107676e-18,59.3984962406015
Creatinine,9.887762518150818e-17,1.165774689901197e-17,3.977307194245262e-20,54.88721804511278
Cellulosilyticum,7.41228598607733e-16,3.328733095398015e-08,5.349498385615202e-10,22.55639097744361
Bristol_stool_score,5.8677108544958105e-15,7.093354176480625e-23,6.570196848395491e-22,100.0
Clostridium_XI,1.817343564231957e-14,3.2360502301425206e-20,1.581559515615831e-17,57.89473684210527
Body_mass_index,4.198041423828227e-13,1.9451029050225223e-16,5.3414980917530616e-11,48.87218045112782
Turicibacter,1.0424474326716056e-12,9.474777165446147e-19,1.0862526222465199e-16,64.66165413533834
Actinobacillus,1.5718956284109729e-12,6.269228174745563e-09,7.055855160582152e-11,26.31578947368421
Hip_circumference,7.133944264475043e-12,2.636422794931587e-16,1.0831996474113532e-10,39.849624060150376
L04AB_.TNF.alpha_inhibitors.,3.671481278435055e-11,9.349497423895517e-05,3.551562969617355e-09,20.30075187969925
unclassified_Lactobacillaceae,9.875613077614397e-11,1.2104677539372752e-09,1.5465197124400803e-06,11.278195488721805
Carnobacterium,1.5204338003497153e-10,2.636313771491154e-07,3.0809641966887425e-08,18.045112781954884
unclassified_Anaerolineaceae,2.314420464831424e-09,0.017625177295792306,1.3512128814487685e-05,9.774436090225564
Work_days_per_week,2.7635079942331783e-09,4.735536130301494e-14,9.201083211703373e-14,59.3984962406015
Clostridium_sensu_stricto,2.8425285231900503e-09,2.0565910709389283e-17,2.411442512653414e-17,66.16541353383458
Leuconostoc,1.1093916277705487e-08,0.0009340729998113068,9.804493511382115e-05,9.022556390977442
Bloating_.days_past_week.option,1.4292613654899015e-08,1.2026450629854681e-11,6.630855351691891e-06,22.55639097744361
Haemophilus,1.7436350985844267e-08,1.0868534360538249e-10,2.9018611588883556e-09,26.31578947368421
Rothia,2.5237508191409173e-08,1.2471816717075703e-11,5.433265336074918e-09,24.81203007518797
Shift_work:nan,2.9550777674076965e-08,7.216712386816077e-09,5.119281636874199e-10,34.58646616541353
Stenotrophomonas,9.073600857220301e-08,0.00030047133832051496,5.333034748313004e-08,18.796992481203006
Dialister,2.641346047853756e-07,1.6609619310618376e-08,1.6829393917425639e-09,27.06766917293233
Abiotrophia,6.005959740610663e-07,5.592756916913739e-07,1.5014790965261633e-05,24.06015037593985
Working_hours_.hours.week.,6.526404341226627e-07,2.2490781691987285e-09,7.684866026518403e-08,30.075187969924812
Spirits_consumption.option,8.606375177486827e-07,1.3659403803773425e-11,2.3020686034986816e-10,34.58646616541353
Blautia,1.4074511821663221e-06,3.609946883534526e-18,5.28080821513202e-18,121.05263157894737
