other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Bilophila,6.615240671668879e-31,1.6825827863388913e-12,3.441721289598513e-12,150.0
Irritable_bowel_syndrome,9.831846164540026e-23,2.956002925164677e-12,1.4072122352799248e-09,85.18518518518519
Gender:F,1.0842761697605584e-18,1.0628873286111834e-14,2.1938589578323845e-12,261.11111111111114
Alistipes,3.0312962178036087e-18,1.5272489582929687e-17,1.1111523402663964e-10,237.037037037037
unclassified_Parachlamydiaceae,4.1996283827929804e-15,0.008124907456024705,1.378661661269077e-06,31.48148148148148
unclassified_Dermatophilaceae,7.13729240563048e-15,0.006405002541655868,1.2390310851640793e-06,27.77777777777778
Filifactor,2.3596725901694165e-14,0.008124907456024705,1.378661661269077e-06,33.33333333333333
Anaerofustis,5.340550076527889e-14,1.8459536527822718e-09,5.414799269046687e-06,29.629629629629626
Cloacibacillus,1.0495301906675455e-13,5.147580187283304e-07,6.600077828773807e-06,35.18518518518518
Gallicola,1.0495301906675455e-13,0.008124907456024705,1.378661661269077e-06,35.18518518518518
unclassified_Chrysiogenaceae,1.0495301906675455e-13,0.008124907456024705,1.378661661269077e-06,35.18518518518518
Breakfast_.N_past_week.,1.9351777364565916e-13,4.22075183433376e-07,1.8175663490405886e-09,101.85185185185186
Parabacteroides,5.241650245008544e-13,7.490015732271895e-13,9.107425199074105e-06,105.55555555555556
Shift_work:False,6.350829302891363e-13,6.506332083676234e-07,1.929600001836316e-12,137.03703703703704
unclassified_Methanocellaceae,9.326919131547644e-13,0.00015813453489192162,1.013005256292042e-07,57.407407407407405
Acetitomaculum,1.4993118219188763e-11,0.0016350740560019709,5.103118186288799e-05,22.22222222222222
unclassified_Aeromonadaceae,1.4993118219188763e-11,0.009748922092175087,0.00011276456100060032,22.22222222222222
unclassified_Opitutaceae,2.5450736883008662e-11,0.0008119705075871803,1.378661661269077e-06,44.44444444444444
Alpha.2.globulin,2.778431293370893e-11,9.698436746789035e-12,3.145836901060167e-09,83.33333333333334
Acetanaerobacterium,3.666737512628576e-11,5.317454910769768e-06,6.489177094168805e-05,27.77777777777778
unclassified_Thermoactinomycetaceae,4.0122088612333376e-11,3.1103865454189765e-15,2.426589722552037e-09,135.1851851851852
unclassified_Oleiphilaceae,9.785210931559826e-11,1.3636884127106317e-05,6.410863068813318e-08,70.37037037037037
Robinsoniella,2.77273980147749e-10,1.4946441026417755e-08,3.6772280302405453e-07,50.0
Barnesiella,4.0214783011292107e-10,9.60034846833573e-12,1.9146393018951387e-05,103.7037037037037
Childhood_residence_type.option,4.0349284429820056e-10,1.3952873622585505e-08,6.803868878464321e-08,66.66666666666666
Peptostreptococcus,1.9726760091156133e-09,0.0008393263662281621,4.536220088465018e-05,72.22222222222221
Clostridium_XVIII,3.0744139151509142e-09,5.5554675215334434e-05,0.0008188988793357011,35.18518518518518
unclassified_Halobacteriaceae,4.146595500368882e-09,0.0002726033513316559,0.0023153952112350304,42.592592592592595
unclassified_Syntrophorhabdaceae,6.462555484202212e-09,1.743645647177592e-10,1.378661661269077e-06,59.25925925925925
Methanosphaera,7.1681040361564245e-09,1.7807027678431748e-08,2.073102767734725e-05,37.03703703703704
Anaerotruncus,7.1681040361564245e-09,1.0001033175751845e-05,0.0008188988793357011,37.03703703703704
Varibaculum,1.0938233741639513e-08,0.04391434610429191,0.017396479391963263,20.37037037037037
Anaerococcus,1.0938233741639513e-08,0.01609760654015719,0.017396479391963263,20.37037037037037
Bacteroides,1.1051297417093813e-08,4.282507449704779e-15,2.3130959359418225e-08,238.88888888888889
Working_start_age.option,1.706328986580544e-08,1.2776803835192832e-06,2.489532214386628e-09,172.22222222222223
Akkermansia,2.005938052152424e-08,3.9824726868517055e-10,1.7696721662100502e-06,72.22222222222221
unclassified_Methanobacteriaceae,3.7267143153133467e-08,1.1026156681906755e-06,0.00030951615300682343,27.77777777777778
unclassified_Verrucomicrobiaceae,5.433741610883777e-08,4.0902688875193106e-12,1.26140473963511e-07,107.40740740740742
unclassified_Desulfuromonadaceae,5.76252148299232e-08,0.03866937626940439,0.00012528700831911126,35.18518518518518
Plan_to_change_weight.option,7.250061711400682e-08,2.246698708748734e-07,3.622871524254206e-05,120.37037037037037
unclassified_Dietziaceae,1.1348746372029084e-07,0.02887051040682382,0.04383835457002324,18.51851851851852
Mobiluncus,1.1348746372029084e-07,0.01975686694823009,0.04383835457002324,18.51851851851852
Gordonibacter,1.1631100923507455e-07,1.7948734099470918e-07,0.0001648939693774208,44.44444444444444
unclassified_Beutenbergiaceae,1.7928421511785486e-07,0.0013982637368768736,1.562794417674483e-05,72.22222222222221
Coffee_.days_since_consumed.option,2.085172783118917e-07,8.392965261008215e-05,0.0048621168055086325,46.2962962962963
Holdemania,2.091552173710793e-07,1.7604044310132927e-06,0.0004971828148020513,31.48148148148148
Pets_.past_3_months.,2.3013300650470507e-07,3.3231466176149424e-10,2.6210528417483815e-09,127.77777777777777
unclassified_Puniceicoccaceae,2.608028631023666e-07,4.003877538058036e-09,1.5148627106867179e-05,94.44444444444444
unclassified_Thiotrichales,2.680815731460624e-07,3.427354292843353e-05,5.1269306286718366e-05,74.07407407407408
Time_since_previous_relief.option,1.4069076898560546e-06,8.067556294673305e-08,5.4080333307895726e-05,72.22222222222221
unclassified_Desulfomicrobiaceae,1.5106854550021827e-06,1.3302042959907628e-10,3.955915891980541e-07,116.66666666666667
unclassified_Helicobacteraceae,1.570346001005215e-06,2.350747969143823e-06,6.419490271937171e-05,53.70370370370371
Weight_perception.option,2.1596791585274307e-06,4.954780537737286e-07,2.3428866639135563e-07,131.4814814814815
Victivallis,2.5490503834922604e-06,1.3927878360296466e-09,9.784941726991817e-08,120.37037037037037
unclassified_Eubacteriaceae,5.510549305566035e-06,2.2844968208358448e-11,1.26140473963511e-07,138.88888888888889
Mucispirillum,5.626999614537233e-06,0.013021421123620733,0.00011276456100060032,50.0
Oscillibacter,9.677819317970704e-06,2.420108183247827e-08,6.716160689254419e-06,72.22222222222221
Pseudoflavonifractor,1.1650159082969075e-05,2.951983496494761e-07,1.315737060905922e-05,62.96296296296296
Oribacterium,1.2752858536436199e-05,0.002946979944766813,0.0002849114384738069,44.44444444444444
unclassified_Heliobacteriaceae,1.3070216322985273e-05,3.483190602676116e-11,1.26140473963511e-07,146.2962962962963
Lactonifactor,1.9023330632445458e-05,1.5042790763965891e-06,0.00011153878390253243,55.55555555555556
Sleep_.hours.day.,3.14575143066563e-05,1.784519850142858e-05,1.2874479478039603e-05,90.74074074074075
unclassified_Peptococcaceae,3.5142387231415346e-05,1.9770255098786738e-11,1.26140473963511e-07,155.55555555555557
Glomerular_filtration_rate,3.86968235482507e-05,8.348290365297506e-09,2.285432450627463e-05,116.66666666666667
Constipation_.days_past_week.option,4.461360256727907e-05,3.802395838814859e-05,0.00012288222516160168,40.74074074074074
unclassified_Bifidobacteriaceae,4.800644791195135e-05,1.0758714341902094e-05,1.9408803454520062e-07,131.4814814814815
J01CR02_.amoxicillin_and_enzyme_inhibitor.,5.822384030273726e-05,3.4728145070490255e-07,1.7653231749654852e-05,72.22222222222221
unclassified_Bacillales,7.220673819606254e-05,6.744170214437606e-06,3.404565885654497e-05,109.25925925925925
Slackia,9.017371029952066e-05,0.00010730671725017218,4.295036264631491e-06,124.07407407407408
unclassified_Methanosarcinaceae,9.075098325371763e-05,0.018941203771077247,2.0886650378401755e-06,53.70370370370371
Phocaeicola,9.651068142637881e-05,0.00012425007451437466,0.20800718626589831,12.962962962962962
unclassified_Gilvimarinus,0.00010194909719411885,0.00152073304831083,1.862726221559328e-05,75.92592592592592
unclassified_Rickettsiaceae,0.00010254702878335396,2.8097422292986897e-10,1.26140473963511e-07,166.66666666666669
Hespellia,0.00013595918625360786,9.807359919389579e-08,3.983126227615777e-06,66.66666666666666
Odoribacter,0.00013700165886311919,2.5643766404294265e-07,0.000811068912810467,155.55555555555557
unclassified_Bacteroidaceae,0.00013700165886311919,7.169374139663964e-09,4.7516306614420564e-07,155.55555555555557
Phascolarctobacterium,0.00014730558635520994,9.728907529103917e-05,0.008401757281255258,46.2962962962963
Smoking_with_inhalation:Neen,0.00016548362328439796,0.007492831201019476,0.004081668675164489,103.7037037037037
Fruits_.freq._past_week.option,0.00018002540015616506,0.00016227945848626012,3.228366314711572e-05,68.51851851851852
unclassified_Thiotrichaceae,0.0002037556649208867,3.879632781370217e-09,1.378661661269077e-06,118.5185185185185
Fruits_.days_since_consumed.option,0.00023573379896627542,7.30704116176384e-07,0.00011276456100060032,70.37037037037037
unclassified_Kofleriaceae,0.0003510120707317453,0.0007259754873606807,9.701540528634801e-05,85.18518518518519
Cerasicoccus,0.00035794556285241347,3.6189444003016764e-08,1.378661661269077e-06,124.07407407407408
unclassified_Chitinophagaceae,0.00035794556285241347,1.032162869505241e-06,6.600077828773807e-06,124.07407407407408
Butyricimonas,0.0004569111199171113,0.0005389209864117575,0.5296434151033862,24.074074074074073
A06AD15_65_.osmotic_laxatives.,0.0005175586899645361,0.01616058236255343,0.0217836403720037,33.33333333333333
Soy_products_.average_past_week.option,0.0006682935279504721,4.63420987040486e-06,0.007747425585888307,44.44444444444444
unclassified_Porphyromonadaceae,0.0006685731415434082,3.582639848992917e-07,3.50444660683014e-08,201.85185185185185
Atopobium,0.0007617383646455879,0.00034053200617711736,0.020118543709634718,35.18518518518518
