n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps1,25,Bilophila,0.000166457983408857,1.8448956328655552e-26,0.13721476557524895,0.006852633141596839,0.6950361748449352,30.864197530864196
comps1,25,Pets_.past_3_months.,0.011036339222688173,2.0302633511288207e-08,0.7414646126329769,0.008997864141515056,0.22440964807543817,20.28985507246377
comps1,25,Alpha.2.globulin,0.04911257505042112,2.0955771081786455e-10,0.842961181570276,0.010192455753540167,0.0380716503300582,28.888888888888886
comps1,25,Corynebacterium,0.016799946877638323,7.346392543128157e-05,,0.01853297487702655,,41.66666666666667
comps1,25,Atopobium,0.0027142771315912233,4.996114783350174e-06,,0.020116159466564938,,36.84210526315789
comps1,25,Anaerofustis,7.174055779665588e-05,6.572271316891601e-18,0.3852612410903167,0.0272484408923059,0.22067136191984693,81.25
comps1,25,Granulicatella,0.0003841668835647169,1.3164386651496275e-05,,0.04036443081140879,,23.076923076923077
comps3,16,unclassified_Ruminococcaceae,4.593522193526789e-11,5.664362052795132e-10,0.01390629689534608,1.0769811961201608e-07,0.8962116103564292,10.32258064516129
comps3,16,unclassified_Incertae,4.740476979903797e-14,3.13434230176909e-13,,5.934210737859181e-07,,16.3265306122449
comps3,16,unclassified_Clostridiales,4.593522193526789e-11,4.577509222904822e-11,0.057346851901366395,2.089309946592231e-06,0.8709775682360371,11.940298507462686
comps3,16,Methanobrevibacter,4.593522193526789e-11,1.972793185882225e-12,0.11752486809663916,1.3634119558848807e-05,0.6968619182834627,14.285714285714285
comps3,16,unclassified_Clostridiaceae,4.593522193526789e-11,2.308587770713243e-12,0.03364802587476163,1.5930025294405288e-05,0.7864740004046407,14.15929203539823
comps3,16,unclassified_Gracilibacteraceae,4.593522193526789e-11,1.2194379212475912e-12,0.07363827012030266,3.556679941278953e-05,0.3726529302552445,14.678899082568808
comps3,16,Allobaculum,0.0013811814033789665,0.01617948265487347,,0.003228013007152262,,8.928571428571429
comps3,16,unclassified_Hydrogenophilaceae,0.0003100611313707891,1.4004259317077086e-06,,0.003405348079104697,,37.5
comps3,16,unclassified_Natranaerobiaceae,4.593522193526789e-11,1.972793185882225e-12,0.28817563338396635,0.003961268340855875,0.05948004972438238,14.285714285714285
comps3,16,Thermogymnomonas,0.005840859025264074,6.739266700921966e-05,0.04550026389635839,0.0060373172885733704,0.5478383165397469,19.35483870967742
comps3,16,unclassified_Oxalobacteraceae,4.593522193526789e-11,7.425853565631746e-13,0.6547208460185769,0.007639340892872439,0.08349205539728309,15.09433962264151
comps3,16,unclassified_Syntrophorhabdaceae,1.8487860221624756e-12,9.785462511555363e-20,,0.007761477051653751,,46.875
comps3,16,unclassified_Thiohalobacter,0.005754922514079061,0.00028590742930510564,,0.008711912962379593,,30.76923076923077
comps3,16,unclassified_Thermoactinomycetaceae,9.684675958018903e-08,1.6155212201721293e-16,0.1928758494031373,0.008786951003619696,0.3994803825299277,21.91780821917808
comps3,16,unclassified_Verrucomicrobiaceae,4.593522193526789e-11,9.837849898323798e-18,0.01390629689534608,0.008977655751947892,0.3534418313715417,27.586206896551722
comps3,16,unclassified_Peptococcaceae,4.593522193526789e-11,1.1109308960957544e-14,0.008604521679227255,0.010223498172339184,0.22647303256454365,19.047619047619047
comps3,16,Howardella,2.8869504807614234e-11,3.5291051246583835e-10,0.744881619545956,0.012577384553490036,0.3283009274105205,12.931034482758621
comps3,16,N06AX16_.venlafaxine.,1.2369460028090008e-05,1.9969599855733146e-07,,0.024795739680656508,,27.586206896551722
comps3,16,unclassified_Thermoanaerobacteraceae,2.170801882930371e-08,1.3216380786757124e-08,0.1305700181157362,0.030039478997347904,0.8777086042339481,11.76470588235294
comps3,16,Hydrogenoanaerobacterium,0.0003100611313707891,6.358136170608619e-06,,0.043308142810791955,,30.0
