other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Gender:M,3.211804843864932e-29,1.1468076542445109e-21,7.866742294571033e-25,178.8732394366197
Ulcerative_colitis,4.8776898505384354e-20,1.6297397435500901e-09,9.144595408252565e-11,30.985915492957744
Uric_acid,4.343477169840128e-18,5.4904090231295125e-12,1.554486587209283e-14,109.85915492957747
L04AB_.TNF.alpha_inhibitors.,9.238165712132104e-16,7.187105533557017e-06,1.4175336880153132e-09,35.2112676056338
Red_blood_cell_count,1.0037972168635988e-14,4.03284975317005e-14,8.970434197902489e-15,111.26760563380283
Veillonella,4.1116796937216014e-14,1.3756424412694752e-06,2.283474695704151e-09,47.88732394366197
Haemophilus,3.214932588533963e-13,1.1919633536594754e-08,5.4179428599702735e-09,38.028169014084504
Abiotrophia,8.592285187514378e-13,4.326879237133991e-07,9.398106057777386e-10,43.66197183098591
unclassified_Peptostreptococcaceae,2.416477648935049e-12,9.857359778656103e-11,4.689067605229205e-10,40.845070422535215
Hemoglobine,4.656717361134281e-11,1.6609276287081036e-12,1.3771458477099156e-17,190.14084507042253
unclassified_Thermaceae,1.5731823958909922e-10,1.936237305995371e-05,1.9135815345302465e-07,22.535211267605636
Lachnobacterium,2.2919977621845037e-09,0.004021949196648756,0.0002206849102466526,18.30985915492958
Cetobacterium,3.2166866743514844e-09,0.000735870301788975,8.275350201199018e-06,12.676056338028168
unclassified_Synergistaceae,3.4043755533546583e-09,2.5889607461880317e-07,6.606949381435956e-06,15.492957746478872
Bifidobacterium,1.398017680780902e-08,1.0473281425950674e-07,2.3904828531334905e-06,23.943661971830984
unclassified_Desulfarculaceae,1.4707779801041514e-08,3.231263836795713e-05,1.1172620676441148e-06,28.169014084507044
Hip_circumference,1.22718733519203e-07,1.902394231539791e-09,3.790896620816105e-06,59.154929577464785
unclassified_Syntrophaceae,1.4332322697545224e-07,3.601335005177785e-08,7.000729056408593e-09,47.88732394366197
unclassified_Paenibacillaceae,2.7255675481775285e-07,3.622836264710522e-05,4.9013870312741464e-05,9.859154929577464
Creatinine,4.1339701576413855e-07,4.903819133346508e-06,1.6997794306403034e-10,83.09859154929578
Working_start_age:nan,4.464816226379507e-07,0.00015665000053546174,3.883824772052386e-06,29.577464788732392
unclassified_Pasteurellaceae,5.232238495357799e-07,4.0529346855887014e-05,2.3663669230656372e-05,16.901408450704224
Bloating_.days_past_week.option,6.026342984134465e-07,4.672888274700224e-08,1.032451365691023e-06,35.2112676056338
Scardovia,8.892493300063284e-07,0.0002994933630896409,3.883824772052386e-06,30.985915492957744
unclassified_Saprospiraceae,1.0917611781389344e-06,7.73576113306175e-07,3.688757617003799e-08,36.61971830985916
Triglycerides,1.9070549473746891e-06,3.564150456701591e-06,0.00014380025924891278,38.028169014084504
Roseburia,2.8998596288701235e-06,9.37925920546906e-15,4.3811206860565596e-11,190.14084507042253
L04AX01_.azathioprine.,3.073637491832786e-06,0.009700073936633358,1.255258942784804e-05,45.07042253521127
unclassified_Kiloniellaceae,3.2958448564934136e-06,3.222885456912336e-06,6.606949381435956e-06,23.943661971830984
unclassified_Planctomycetaceae,3.2958448564934136e-06,7.9047617030368e-06,6.606949381435956e-06,23.943661971830984
J01CR02_.amoxicillin_and_enzyme_inhibitor.,9.166753655907345e-06,2.9226966069235737e-09,9.813373889906435e-07,54.929577464788736
Megamonas,1.2801325176735068e-05,0.001869175841302748,2.860240503096795e-05,26.76056338028169
Actinobacillus,1.3183705967198636e-05,0.021377224654870092,5.931647262276261e-05,43.66197183098591
N03AE01_.clonazepam.,1.5565087290512842e-05,4.13199873712345e-05,0.00010952307520345456,9.859154929577464
Alanine_transaminase_.ALT.,1.5565087290512842e-05,0.012896570962607327,0.0003507895478929179,9.859154929577464
Creatine_kinase,1.900019346892666e-05,2.8288456811416325e-09,5.291533437391845e-08,57.74647887323944
unclassified_Desulfobacteraceae,2.3149657929982916e-05,1.1384063162124882e-07,6.606949381435956e-06,28.169014084507044
Carnobacterium,2.440643328544886e-05,0.017821795242924033,1.3298526174302598e-05,33.80281690140845
Shift_work:True,2.564875211829052e-05,6.947924775790656e-05,4.0785484422287806e-08,80.28169014084507
unclassified_Microbacteriaceae,3.002267114512368e-05,6.79433947228015e-06,1.0718222489025728e-06,46.478873239436616
Mean_corpuscular_hemoglobin_concentration,3.509103554134277e-05,7.2131118102635914e-06,6.579251767165079e-09,129.5774647887324
unclassified_Burkholderiales,6.17849930676785e-05,0.0010631986091167772,8.259646292478426e-06,36.61971830985916
A07EC02_.mesalazine.,9.47184543217719e-05,0.0004922222258745367,2.0235313894863934e-05,21.12676056338028
unclassified_Porticoccus,0.00011883931947968846,0.021363336093122638,0.013429303698978852,8.450704225352112
Sick_leave_.freq._past_year.option,0.00016398514599891896,2.2400835609760953e-07,2.0163691225985602e-05,67.6056338028169
Beer_consumption.option,0.00019592231996513594,6.12622097791105e-06,1.7998554853509097e-07,107.04225352112675
Paraeggerthella,0.0002558207112282597,0.00012072427297988364,5.043301047714984e-05,18.30985915492958
Cellulosilyticum,0.0002919808813567381,7.890718525359075e-06,4.413222116347768e-06,42.25352112676056
Sutterella,0.00038964504184452805,2.833535975417771e-08,7.422385458615048e-08,64.7887323943662
J01CA04_.amoxicillin.,0.00038964504184452805,2.051967232478936e-08,8.282345385598021e-08,64.7887323943662
Constipation_.days_past_week.option,0.00043124548605331974,2.6154735727735365e-05,8.471982371708516e-05,30.985915492957744
unclassified_Fusobacteriaceae,0.0004758936082158519,0.00517266595228408,0.009567460281551764,25.352112676056336
Body_mass_index,0.0004972210735096266,1.9117877597979637e-06,2.3542165473343706e-05,81.69014084507043
Proteus,0.0005636002618148875,0.04568517479068631,3.547300853678084e-06,45.07042253521127
Gemella,0.0006894435348122403,5.290800630713865e-05,0.00010952307520345456,15.492957746478872
Smoking_with_inhalation:Ja,0.0011493377705861874,4.826414410395611e-08,5.72928348446865e-07,63.38028169014085
unclassified_Staphylococcaceae,0.0018079791762615493,8.788872292271874e-05,2.3663669230656372e-05,36.61971830985916
Bread_type_preference.option,0.00204887848005468,2.5674394349994308e-05,1.8255123129451747e-08,81.69014084507043
Rothia,0.0024051104970856277,0.0009684616888711658,0.0004885968557855471,45.07042253521127
Clostridium_XI,0.002996483480014775,1.1406989831224227e-07,2.3402369571322597e-08,101.40845070422534
Granulicatella,0.0036068381331987812,0.0009793993751641202,6.259484075357276e-05,54.929577464788736
Dialister,0.003992487577946777,0.0009588551437810319,0.0004114701455808046,47.88732394366197
unclassified_Conexibacteraceae,0.003992487577946777,0.0001100362790411265,6.606949381435956e-06,47.88732394366197
Soda_.freq._past_week.option,0.0043683832694550095,0.0006470813927154399,6.743896247594221e-06,33.80281690140845
Prevotella,0.0057899482588028486,1.0251358281134145e-11,3.438805202385834e-08,135.2112676056338
Magnesium_supplement,0.007826472745472263,3.565477248624422e-05,0.0006710139649331498,52.112676056338024
Bristol_stool_score,0.0084337603974768,9.143890678634766e-09,2.225517649887498e-09,177.46478873239437
unclassified_Enterobacteriaceae,0.009175774739518276,0.003583332019740556,0.013409502674588384,11.267605633802818
Work_days_per_week,0.011835547935968804,0.0005062123765311265,2.006355838697606e-05,87.32394366197182
unclassified_Lactobacillaceae,0.012865265819042862,0.001339420965013382,0.12387505513675681,18.30985915492958
Bacteroides,0.013522752689582473,1.612845780960215e-14,2.6720468216317463e-10,181.69014084507043
Smoker,0.018547661991352098,0.00036252533440831586,2.1997362689288184e-06,66.19718309859155
