other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Gender:M,6.516816070438775e-51,7.616791884028464e-39,6.144506182602408e-34,97.08029197080292
Red_blood_cell_count,2.4278313934773472e-48,1.6455754779028534e-29,2.7911891496445194e-30,71.53284671532847
Roseburia,1.1799706335457331e-33,1.5789722632930359e-41,2.0568850529146846e-22,101.45985401459853
Beer_consumption.option,8.649444566864921e-29,1.7746789477044906e-18,1.045079028258206e-19,57.66423357664233
Clostridium_XI,1.9604178493385505e-19,2.2673005963649784e-20,3.5855818458542067e-12,56.20437956204379
Bristol_stool_score,8.632407345982494e-18,1.5943970607294159e-25,5.708426591967758e-20,97.08029197080292
Uric_acid,4.232701359574082e-17,4.310364484797432e-18,5.776735244563208e-17,70.8029197080292
Blautia,8.211424850892345e-17,4.7443096972488966e-24,9.928983942238007e-18,117.51824817518248
Turicibacter,3.4795782304522667e-16,5.2084530213330305e-23,2.366808113404586e-11,62.77372262773723
Faecalibacterium,9.41725536726764e-16,3.062483458628165e-37,1.692328980186851e-19,134.3065693430657
Anaerostipes,1.893157422960573e-15,1.9146978299075057e-21,1.0109383695802734e-18,85.40145985401459
Cellulosilyticum,4.8843622567001287e-14,1.678858368281945e-08,6.212262500688373e-05,21.897810218978105
Stenotrophomonas,1.0257850484123055e-13,0.0014527360579199714,1.2037431236533114e-07,18.248175182481752
Mean_corpuscular_hemoglobin_concentration,6.042463105270751e-11,1.0377918138299542e-12,6.253890252457619e-15,79.56204379562044
Height,4.4646945721433434e-10,1.2688848846840013e-18,1.0388367214375527e-13,51.82481751824818
Actinobacillus,4.599545507637601e-10,2.1193970634241744e-11,3.90748381568724e-09,25.547445255474454
Haemophilus,4.599545507637601e-10,5.089384415278089e-12,2.062405596223277e-08,25.547445255474454
unclassified_Anaerolineaceae,3.4647212971307355e-09,0.017625177295792306,1.4671050027592052e-06,9.48905109489051
unclassified_Pasteurellaceae,3.4647212971307355e-09,6.787997014034189e-07,3.162431273569961e-05,9.48905109489051
unclassified_Lactobacillaceae,8.919559325496603e-09,1.8549792484215414e-09,4.016942823560577e-06,10.948905109489052
Leuconostoc,1.6076306818690476e-08,0.0009340729998113068,5.575656133527847e-05,8.75912408759124
Clostridium_sensu_stricto,3.211313518014753e-08,2.6945784854944653e-18,9.112134373452833e-12,64.23357664233576
Sick_leave_.freq._past_year.:nan,3.982090974323056e-08,1.939992586090788e-11,2.1860762466401487e-10,35.03649635036496
Vagococcus,2.469148869702705e-07,0.00021422277344430578,1.2022156961106374e-09,37.22627737226277
Work_days_per_week,5.37285042542029e-07,9.147264214208012e-12,3.5176531892484477e-12,57.66423357664233
Creatinine,8.815649260674007e-07,4.231096084309904e-13,2.7724621066412876e-13,53.284671532846716
unclassified_Nakamurellaceae,1.547282886995565e-06,0.023675649414157916,0.009133737020218129,6.569343065693431
Succinivibrio,1.8075174383325396e-06,7.851625380814838e-07,8.006505906133257e-07,27.73722627737226
Spirits_consumption.option,1.0452884822826642e-05,4.622409827754676e-10,8.11911203403801e-05,33.57664233576642
Carnobacterium,2.8127636504807618e-05,3.2602459207054604e-08,1.4491293000338246e-06,17.51824817518248
unclassified_Porticoccus,3.1521390907171845e-05,0.009298193827730405,7.84354358535442e-05,5.109489051094891
Fruits_.days_since_consumed.option,5.40474270166731e-05,3.712764599851753e-11,3.70052705703127e-06,38.68613138686132
Dialister,6.243927228707286e-05,1.6806611296413184e-10,2.1619857245461182e-07,26.277372262773724
Streptococcus,6.315672026565265e-05,9.78947073027224e-13,4.1093719171022514e-07,47.44525547445255
Alcohol_.average_past_week.option,0.0001146835262888982,2.1477109146430993e-10,1.521474540885613e-06,51.09489051094891
L04AB_.TNF.alpha_inhibitors.,0.00019205861726827772,0.002998017891760901,0.00010642823181342057,19.708029197080293
Bifidobacterium,0.00023386437566158243,2.244153872408811e-08,4.357491168117366e-05,16.05839416058394
Cigarettes_.average.day_past_3_months.,0.0003571103485820343,1.4014059454686477e-11,1.2841185372050187e-05,37.22627737226277
unclassified_Burkholderiales,0.00047861465838295024,9.109225888991391e-06,7.298725194825752e-06,24.817518248175183
Body_mass_index,0.0004849432291694848,6.466243309232053e-09,1.7223376657006028e-08,47.44525547445255
Cardiobacterium,0.0006420810039462221,0.004152595577811395,0.0017241892622823192,15.328467153284672
unclassified_Planctomycetaceae,0.0006420810039462221,6.62653587718929e-08,2.7641663433144117e-05,15.328467153284672
Psychrobacter,0.0011753303626828148,0.000592390900999031,7.89665026221394e-06,21.897810218978105
Shift_work:nan,0.0015727515681290638,9.043622699696197e-06,1.2607732511175916e-06,33.57664233576642
unclassified_Peptostreptococcaceae,0.002355360721151277,1.8560416237790506e-09,3.883714351571775e-05,27.73722627737226
Selenomonas,0.003390974214034299,1.3396269709869468e-05,0.0020995430921003973,21.897810218978105
Smoker,0.003766387931373981,2.1453385886513404e-09,5.916814409889201e-06,40.14598540145985
Beta.globulin,0.004882734200992388,2.759361873843964e-08,9.861387970718405e-07,36.496350364963504
Gemmiger,0.0050842581351490685,9.44546339760928e-13,1.5408750127021204e-06,69.34306569343066
unclassified_Paenibacillaceae,0.005703506211075865,5.906431627919611e-06,0.0036079891648404115,10.218978102189782
Smoking_with_inhalation:Ja,0.006316768465701074,2.4739225674876483e-09,1.565449257360637e-05,44.52554744525548
Campylobacter,0.007300260487677802,0.0036114658535538547,0.00016402437611932622,16.05839416058394
Weissella,0.007879582495244678,0.0003901183111921186,0.04090848676095404,18.97810218978102
Pseudobutyrivibrio,0.00807526308992165,1.6697699756097743e-09,4.731322553608963e-08,42.33576642335766
Abiotrophia,0.00835323725294327,0.00013967344898245217,8.702336864469337e-05,23.357664233576642
Age,0.00850384627945667,1.769235933882905e-11,3.563439726637954e-09,55.47445255474452
Meat_.average_past_week.option,0.00867237090065212,3.8813354045337295e-11,5.460173555773893e-09,49.63503649635037
Rothia,0.010447755928225522,1.7580190984616695e-09,0.0006070948900919191,24.087591240875913
unclassified_Thiotrichales,0.013428838252011162,1.3288942811960878e-05,4.4125552702238766e-07,31.386861313868614
Ulcerative_colitis,0.01838899759030927,0.00035205500985791574,0.002459967388019215,16.05839416058394
Soda_.freq._past_week.option,0.02172593262132958,9.981404877975295e-06,0.0029038944585344016,25.547445255474454
L04AX01_.azathioprine.,0.026545494796613264,0.0009213189256176799,6.625029294807373e-05,27.73722627737226
unclassified_Hyphomicrobiaceae,0.028600287298389516,1.4975074258523816e-09,2.935522072084206e-06,64.96350364963503
Dorea,0.03144842305672836,4.3727571637717375e-11,6.408937766058916e-10,67.88321167883211
Working_hours_.hours.week.,0.03249480570357446,8.850645866572946e-06,0.000816462767011862,29.1970802919708
unclassified_Syntrophaceae,0.03681460457740749,5.79868522322312e-08,4.279796517518921e-06,31.386861313868614
Cetobacterium,0.036858318172692486,0.005799546265023292,0.00033351125114549496,8.75912408759124
Lactobacillus,0.041894120096438746,8.66933662830164e-07,4.016942823560577e-06,27.00729927007299
Bloating_.days_past_week.option,0.04222359422539465,4.18135454603463e-06,5.492582233518924e-06,21.897810218978105
unclassified_Kiloniellaceae,0.043282853037350785,6.502140101495701e-05,0.0036079891648404115,13.138686131386862
