n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps1,100,Faecalibacterium,4.3571096968554003e-16,3.2115295289935138e-27,0.2067590066158026,6.518264701244815e-11,0.7763884317697076,43.47826086956522
comps1,100,Bifidobacterium,0.019767907168017625,1.2464490796612818e-05,,0.003674344824091466,,59.09090909090909
comps1,100,unclassified_Thiotrichales,0.006360188691537013,0.000577422607345144,,0.021578399921828702,,39.53488372093023
comps1,100,Alcohol_.average_past_week.option,0.004473902902081088,1.7573736884890499e-06,0.9668410509052852,0.041610668386010144,0.5950294026607488,40.0
comps4,21,Prevotella,6.999453362095204e-22,2.878821858533263e-16,0.14980005429363044,3.6976622219330584e-05,0.23616741539311314,21.428571428571427
comps4,21,Hip_circumference,2.3082347160530253e-08,4.253418071799745e-08,0.4605966187047713,0.002216891654882034,0.06393908930754381,22.641509433962266
comps4,21,unclassified_Prevotellaceae,6.0995301017745596e-05,3.513761504394629e-05,0.006501702373081825,0.017746691204524562,0.01877945474748899,14.925373134328357
comps4,21,Meat_.average_past_week.option,9.803307334097304e-05,2.184896431990863e-06,0.0798019286423907,0.03348262166562664,0.3636698696681855,16.176470588235293
comps4,21,unclassified_Euzebyaceae,8.205007355288074e-09,1.486854876640057e-06,,0.040001275672727536,,28.125
comps4,21,Gastroentritis_.other_treatment.,0.00013805362582671889,0.0055667766616227,0.08136112923407546,0.04105717733442612,0.9474777972512405,10.666666666666668
comps4,21,Body_mass_index,1.3445281062489297e-08,2.3393409677081404e-11,0.5258621886847661,0.04612569928229226,0.034639691547510065,23.076923076923077
