other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Body_mass_index,5.454875469439946e-43,3.3175460962937353e-19,2.6981929175089115e-19,138.0952380952381
Prevotella,2.146895641718857e-22,6.064336737005352e-20,5.706452440041109e-16,228.57142857142856
Rothia,2.0653363985138337e-19,6.514420928068134e-09,1.1984024625448935e-10,76.19047619047619
Working_hours_.hours.week.,2.4701396886073267e-16,2.3954763068892986e-06,2.0971199428122874e-10,85.71428571428571
Triglycerides,4.688691827504938e-15,1.925424319878427e-08,1.7992531701423996e-09,64.28571428571429
unclassified_Desulfarculaceae,4.9690824237031334e-15,2.0799739084287124e-06,8.602058087877356e-09,47.61904761904761
Creatine_kinase,1.5798586118694352e-13,1.7589202242624144e-11,1.3262420458494498e-10,97.61904761904762
Gamma.glutamyltransferase,4.054816037846503e-12,8.834457342481022e-05,8.183941280990993e-09,64.28571428571429
Uric_acid,1.6269362798828757e-11,5.451191913989907e-08,1.7811154250741437e-10,185.71428571428572
Working_start_age:nan,2.295379992764532e-11,4.045339341680926e-05,2.426705055155999e-07,50.0
Scardovia,5.34712525164667e-11,7.790755888228547e-05,2.426705055155999e-07,52.38095238095239
Lachnobacterium,2.672763001452021e-10,0.0021729469953589995,6.636023852971813e-06,30.952380952380953
Anoxybacillus,8.88549971274888e-10,0.02997088943814632,1.0934250681569994e-05,33.33333333333333
Creatinine,4.312536673331973e-09,6.612819611779358e-07,3.850970452841026e-09,140.47619047619045
Bristol_stool_score,2.0804073035519383e-08,2.0935678700513176e-11,4.838696463527849e-12,300.0
Constipation_.days_past_week.option,2.4271603158429595e-08,0.00019241053041536385,1.3244615666162737e-05,52.38095238095239
Gender:M,2.5008420692279696e-08,2.6345649812037286e-07,8.37568927894498e-12,302.38095238095235
Mitsuokella,2.5904919371950292e-08,1.9956353810655712e-09,1.4873054970857563e-07,90.47619047619048
Dialister,5.56793276663482e-08,5.105019814376993e-05,4.883836979957461e-06,80.95238095238095
Megasphaera,5.56793276663482e-08,3.089404442986548e-08,6.003392051720751e-07,80.95238095238095
Height,1.227187335192244e-07,3.790896620816105e-06,1.902394231539791e-09,169.04761904761904
Bloating_.days_past_week.option,1.3164638748963384e-07,2.3507321682248116e-07,9.60136455208883e-07,59.523809523809526
unclassified_Prevotellaceae,3.9014810408344406e-07,1.248152063225022e-09,8.937192786657508e-08,142.85714285714286
Streptococcus,4.372417858996617e-07,7.947306956795023e-06,1.9471792777611237e-07,109.52380952380953
unclassified_Cyclobacteriaceae,5.837660325882727e-07,0.020646109093874095,2.066136295070536e-05,42.857142857142854
Alanine_transaminase_.ALT.,5.968378057621984e-07,0.010152855759587052,0.00015476401184205622,16.666666666666664
Carnobacterium,1.0373193560260792e-06,0.04642960876331125,9.403495619000463e-06,57.14285714285714
Abiotrophia,1.8395319929037627e-06,1.0888604397475085e-05,4.2963171630685843e-07,73.80952380952381
Alpha.2.globulin,2.544903604160594e-06,8.553431165939416e-06,1.1725543009980083e-07,107.14285714285714
Roseburia,2.903632523286759e-06,5.194570636491869e-10,2.4880516203593053e-12,321.42857142857144
unclassified_Lactobacillaceae,6.868113485329284e-06,7.079924017211459e-05,0.0013690550227769085,30.952380952380953
unclassified_Acidaminococcaceae,9.094521589978336e-06,3.9165230490468183e-07,3.2466738274128087e-07,176.19047619047618
unclassified_Desulfonatronaceae,1.5221369529092767e-05,0.038081489149572094,0.0009508221544960625,23.809523809523807
Leuconostoc,1.5221369529092767e-05,0.0032817762528282823,0.005077310760577582,23.809523809523807
L04AB_.TNF.alpha_inhibitors.,1.6935767943870068e-05,0.0008245118889275059,2.356065464066278e-05,59.523809523809526
Work_days_per_week,2.4211653506984325e-05,0.0002782024356308238,1.085967725912288e-06,147.61904761904762
Lactobacillus,3.0569115379161146e-05,7.466018993193155e-07,5.346137291337971e-06,78.57142857142857
Shift_work:nan,0.0002766771674952788,0.00018132032794743327,7.102593912628804e-05,35.714285714285715
Murdochiella,0.00029804649518310936,0.0005616952911435696,0.0006534467540930794,14.285714285714285
Red_blood_cell_count,0.0004418281714236277,5.335613160643289e-05,4.639595610661756e-06,188.0952380952381
Clostridium_sensu_stricto,0.0005849122857795287,4.1365184645396515e-05,2.1471480100799037e-07,192.85714285714286
unclassified_Enterobacteriaceae,0.0012510899629731883,0.0005866043218709858,0.0006534467540930794,19.047619047619047
Beta.globulin,0.0017836642186413556,0.00018463214600944732,1.0776202223751523e-05,102.38095238095238
Dorea,0.0020900851807166988,3.1061373186520165e-05,6.003392051720751e-07,192.85714285714286
Anaerobiospirillum,0.004566406058503659,0.0058637261286396325,0.005077310760577582,57.14285714285714
Allisonella,0.005033607217126384,0.013856138509636417,0.012658436312932161,26.190476190476193
unclassified_Porticoccus,0.005729884447439598,0.04773648770698274,0.018005948572908215,14.285714285714285
unclassified_Thermotogales,0.008534137223053632,0.01812464849497672,0.0002548384051645723,64.28571428571429
