other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
HDL_cholesterol,9.831846164536883e-23,1.4072122352799248e-09,2.956002925164677e-12,117.3913043478261
Bilophila,2.9518909635627146e-20,2.763980673830838e-11,6.552745594913901e-14,176.08695652173913
Anaerofustis,4.05724205147436e-15,8.618937064722947e-06,5.6075104208782e-07,34.78260869565217
Gender:F,5.919650713268884e-15,2.0102645628031434e-10,2.0846015052520566e-14,306.52173913043475
unclassified_Aeromonadaceae,2.11786749820936e-12,0.009748922092175087,1.1962677272384065e-05,26.08695652173913
Mobiluncus,3.0200055310099793e-12,0.041728398912151306,5.789265244853454e-06,21.73913043478261
Alistipes,3.2280011879830665e-12,3.397757328597161e-14,2.0762103177860215e-13,278.2608695652174
Breakfast_.N_past_week.,5.813929639855961e-12,4.250542777631232e-06,2.706391344794597e-09,119.56521739130434
Anaerococcus,3.135201618277586e-11,0.04070972021080805,5.789265244853454e-06,23.91304347826087
Alpha.2.globulin,1.3684579719762963e-10,2.2117643304277056e-09,1.2655908205553433e-09,97.82608695652173
Acetanaerobacterium,2.0307776046046072e-10,2.396346157615787e-05,0.0002108529908601446,32.608695652173914
Parabacteroides,1.5198392192258316e-09,1.9036887953685432e-10,2.9434508621812376e-08,123.91304347826086
Clostridium_XVIII,8.94573184970135e-09,0.0002795168253805018,1.3849270513855623e-05,41.30434782608695
Anaerotruncus,1.8771394581228036e-08,2.005838407516037e-06,1.3849270513855623e-05,43.47826086956522
Mucispirillum,8.428609332538081e-08,0.01832160616174964,3.18633806590139e-06,58.69565217391305
Peptostreptococcus,1.4716914230700728e-07,0.0027149897067460568,3.026476573491977e-06,84.78260869565217
Atopobium,1.653375303263716e-07,0.003736862009781657,3.0044400121556838e-05,41.30434782608695
Acetitomaculum,2.851601547668254e-07,0.008522803571984868,0.00011024921360739148,26.08695652173913
Working_start_age.option,4.3449406850336003e-07,1.1805778300289436e-05,8.668276507416267e-09,202.17391304347828
Robinsoniella,9.734896034776279e-07,7.244481780053711e-05,1.3849270513855623e-05,58.69565217391305
Phocaeicola,1.0591253348209324e-06,2.5635722641147325e-05,0.00039862252286760783,15.217391304347828
unclassified_Thermoactinomycetaceae,1.0681720886046366e-06,8.955977097575346e-10,4.657128128956569e-09,158.69565217391303
Shift_work:False,1.3404944906728104e-06,5.564813267988638e-05,2.921411695423572e-09,160.8695652173913
Gordonibacter,2.6191828293333313e-06,1.931136267648864e-06,5.392240350300147e-05,52.17391304347826
unclassified_Hyphomicrobiaceae,3.1869725397222283e-06,2.717344154855545e-06,1.613294142058203e-08,169.56521739130434
unclassified_Parachlamydiaceae,1.0382556452671913e-05,0.015591350873238626,0.00011024921360739148,36.95652173913043
Bacteroides,1.6953193779130825e-05,6.300917285346819e-11,6.180624051416428e-10,280.4347826086956
Filifactor,1.760062865134046e-05,0.015591350873238626,0.00011024921360739148,39.130434782608695
Barnesiella,2.202176247147121e-05,7.299235487217245e-10,1.3471730230625015e-07,121.73913043478262
Lactonifactor,2.817952066275079e-05,4.935590468398989e-06,3.465528853992498e-05,65.21739130434783
unclassified_Bdellovibrionaceae,3.363965748239549e-05,7.330353799354283e-07,4.734026153123597e-08,178.26086956521738
Coffee_.days_since_consumed.option,3.7686294187819895e-05,0.001341443179765724,0.00011948659457110231,54.347826086956516
Methanosphaera,4.493525536346488e-05,2.0101741450161546e-06,0.00011024921360739148,43.47826086956522
