other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
J01CR02_.amoxicillin_and_enzyme_inhibitor.,5.327770458378336e-33,4.022657294607938e-18,3.523742854311991e-16,84.78260869565217
unclassified_Thermaceae,1.1183390418629263e-19,0.00012261037388030564,8.068327832805697e-10,34.78260869565217
unclassified_Fusobacteriaceae,1.547303103478528e-17,7.23923917615032e-05,1.778076256741422e-09,39.130434782608695
Paraeggerthella,6.596750974672037e-16,1.9051476298962442e-07,2.2654494483290263e-08,28.26086956521739
Mucispirillum,3.006088498160807e-14,5.243303443068518e-05,4.791924809095806e-08,58.69565217391305
Buttiauxella,3.137449346714756e-13,0.00015160748775174045,1.5742813769061555e-05,34.78260869565217
Fusobacterium,9.16155810279134e-13,0.0030837777374236636,3.973610993504886e-07,30.434782608695656
Bacteroides,4.117409483724482e-12,4.876816824267003e-16,3.523742854311991e-16,280.4347826086956
Veillonella,5.868433833637966e-12,0.001751504667634433,8.319779007379243e-10,73.91304347826086
L04AX01_.azathioprine.,2.980563918185486e-11,0.0001945368924430315,4.034339145262298e-09,69.56521739130434
Aerococcus,3.4895100791600265e-11,0.02011423574269026,1.4598575950990263e-07,43.47826086956522
Sick_leave_.freq._past_year.option,4.252792047505405e-11,5.981987950386422e-08,1.228522521232543e-09,104.34782608695652
Eggerthella,2.0307776046046072e-10,5.008774374141008e-07,1.8692385010679842e-06,32.608695652173914
Shift_work:True,1.5198392192258316e-09,1.1165111806352969e-06,4.344536765179796e-11,123.91304347826086
Alcohol_.average_past_week.option,1.7629889469306661e-09,4.2954655698206634e-08,2.6899973350860392e-11,139.1304347826087
Ulcerative_colitis,4.158562390032963e-09,3.3955037591161813e-07,1.1130289599786563e-07,47.82608695652174
unclassified_Caldisericaceae,8.94573184970135e-09,2.8456348325717664e-06,2.971771844003611e-06,41.30434782608695
Flavonifractor,8.94573184970135e-09,6.63669598642422e-07,2.209404766322661e-06,41.30434782608695
N03AE01_.clonazepam.,1.096970828400217e-08,9.26116818221864e-06,1.8290239516354754e-05,15.217391304347828
Granulicatella,1.4823894843252289e-08,1.5520021935750966e-05,2.0050756735267061e-07,84.78260869565217
Lactobacillus,1.256616012811263e-07,8.852221281807132e-06,1.5742813769061555e-05,71.73913043478261
unclassified_Vibrionaceae,1.256616012811263e-07,5.426591526834896e-06,1.5742813769061555e-05,71.73913043478261
Salmonella,1.6070622636069628e-07,0.0004884430275429245,0.00016554907321235794,13.043478260869565
Enterococcus,1.9239946904553306e-07,0.0009703521742195324,1.5742813769061555e-05,73.91304347826086
Facklamia,1.9239946904553306e-07,0.021656678102619446,1.4598575950990263e-07,73.91304347826086
Slackia,2.475216285383729e-07,5.497252308786928e-06,5.911237002820282e-07,145.65217391304347
unclassified_Enterococcaceae,6.243762399790925e-07,0.007636839420428914,1.5742813769061555e-05,80.43478260869566
unclassified_Elusimicrobiaceae,7.214961308835828e-07,1.581711804663424e-06,4.228579132312463e-05,36.95652173913043
unclassified_Deferribacteraceae,1.5904728975193473e-06,0.0009849231806484551,5.3536809008012965e-08,100.0
Gemella,2.845866598217373e-06,1.4588032491243172e-05,1.8290239516354754e-05,23.91304347826087
A07EC02_.mesalazine.,3.098205700533938e-06,0.0004922222258745367,4.1943407147482646e-06,32.608695652173914
unclassified_Streptococcaceae,2.410461212154389e-05,5.197506098803999e-06,1.562717091148659e-08,139.1304347826087
Lactonifactor,2.817952066275079e-05,4.241033551363668e-06,0.00038068055861213587,65.21739130434783
unclassified_Sutterellaceae,3.5771310662584e-05,3.555050607645756e-07,1.3927776450614542e-10,197.82608695652172
unclassified_Saprospiraceae,5.42989246844217e-05,0.00021155911512528127,4.175141551750241e-05,56.52173913043478
Peptostreptococcus,6.220904316254582e-05,0.003343372410939899,1.8692385010679842e-06,84.78260869565217
Paraprevotella,8.091641075809768e-05,2.582771318073904e-05,1.0606024678077312e-07,86.95652173913044
unclassified_Aeromonadaceae,0.00010340480863249664,0.005115195589458166,0.006517936011868072,26.08695652173913
Pediococcus,0.00011680285168954748,8.978748232504134e-06,2.7314779451726974e-05,36.95652173913043
Clostridium_XlVb,0.0001463290516365106,8.774078898114077e-05,2.082665375384397e-09,197.82608695652172
Soda_.freq._past_week.option,0.00020624328930037082,0.0006470813927154399,1.369794925262676e-05,52.17391304347826
Meat_.average_past_week.option,0.00024431467971017126,1.2349841586115519e-05,7.22656827904257e-08,130.43478260869566
Smoking_with_inhalation:Ja,0.00026471177229523026,7.890718525359075e-06,1.5726982705646136e-06,97.82608695652173
Streptococcus,0.00032796023290189273,0.000527647941444645,9.343888362070756e-07,100.0
Height,0.0003896450418444647,8.282345385598021e-08,2.051967232478936e-08,154.34782608695653
Acetanaerobacterium,0.0004673638242346977,4.351514619357717e-05,0.006517936011868072,32.608695652173914
Pelomonas,0.0006070307417397386,1.7450920392487882e-05,5.078412592175269e-07,123.91304347826086
Anaerofustis,0.000703992480702434,2.819975931004526e-05,0.006517936011868072,34.78260869565217
Smoker,0.0017647200546420858,0.022856264945808287,1.0981304235647358e-05,102.17391304347827
L04AB_.TNF.alpha_inhibitors.,0.00177989388151278,0.00014201229781220438,1.8290239516354754e-05,54.347826086956516
Clostridium_XVIII,0.0019902631867363637,0.002359562395970192,0.006517936011868072,41.30434782608695
Anaerophaga,0.002099250031696379,0.011983098080104407,3.757214744657696e-06,104.34782608695652
Working_start_age.option,0.0025600110839319417,5.401661824431883e-05,1.505678930578619e-06,202.17391304347828
Anaerotruncus,0.0026767737500276558,0.000113913500741288,0.006517936011868072,43.47826086956522
Pseudoflavonifractor,0.0027830027000566074,2.179811900839357e-05,0.0010614441876841641,73.91304347826086
Odoribacter,0.0030676585567848483,6.827313122484481e-08,3.1722202388860454e-08,182.6086956521739
unclassified_Methanomicrobiales,0.003991684420675487,0.015585678890089636,3.757214744657696e-06,113.04347826086956
Magnesium_supplement,0.004934194548866997,0.00034405752751748276,5.539635210066472e-06,80.43478260869566
Sutterella,0.005748685451306085,6.543794665298147e-06,5.6668850873843705e-06,100.0
Coffee_.days_since_consumed.option,0.009047054932471696,0.0445156877265325,0.006517936011868072,54.347826086956516
Robinsoniella,0.013404909177581647,0.0006841541491806111,0.006517936011868072,58.69565217391305
Pets_.past_3_months.,0.013966718470064577,2.8491551362900163e-05,2.2582863935946188e-05,150.0
Work_days_per_week,0.01978437563053028,0.004552619206508749,6.753550399898913e-06,134.7826086956522
Prevotella,0.03443306695853565,4.789205947678698e-06,1.5742813769061555e-05,208.69565217391303
Uric_acid,0.03788499279865915,0.00033182988952837653,1.5657239788231107e-06,169.56521739130434
