other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
J01CA04_.amoxicillin.,5.3277704583818966e-33,3.523742854311991e-16,4.022657294607938e-18,117.94871794871796
Mucispirillum,4.0763220065759735e-27,5.87981733178967e-06,2.8546885949066845e-12,69.23076923076923
Bacteroides,1.7450776722393884e-24,6.51957545379126e-18,9.430426716781589e-21,330.7692307692308
unclassified_Fusobacteriaceae,6.4985236809533816e-24,0.0008880032262944432,2.555152489727339e-10,46.15384615384615
unclassified_Thermaceae,4.253579136625306e-21,0.00012261037388030564,3.0356958621253426e-10,41.02564102564102
Fusobacterium,2.364323605899402e-18,0.007045923690181685,6.504204378895909e-08,35.8974358974359
Paraeggerthella,5.2651667992892735e-17,1.9051476298962442e-07,2.0128013758542718e-08,33.33333333333333
Veillonella,2.6455973017955924e-16,0.00024111523714963944,3.295448254016026e-11,87.17948717948718
Granulicatella,3.077304487595128e-16,4.6129765223131346e-08,5.874200048945701e-11,100.0
Aerococcus,1.2987687514222973e-15,0.00917270145662447,1.7776001506832087e-08,51.28205128205128
L04AX01_.azathioprine.,1.860079600040858e-15,0.0004887644111528003,2.993343451626395e-10,82.05128205128204
Eggerthella,5.076687981093687e-15,5.195915070782892e-08,2.1936890364942657e-07,38.46153846153847
Shift_work:True,1.8939647308933922e-13,1.6065910319505151e-06,3.106793011671515e-12,146.15384615384613
Alcohol_.average_past_week.option,1.9833779389378918e-13,5.5588066893313205e-09,7.141649361402338e-13,164.1025641025641
Flavonifractor,1.1053910038176293e-12,5.516187201181495e-08,2.1936890364942657e-07,48.717948717948715
unclassified_Aeromonadaceae,2.8331823545733766e-11,0.00666582748697696,4.637331061758439e-06,30.76923076923077
Facklamia,8.822514317222448e-11,0.01000280024878163,1.7776001506832087e-08,87.17948717948718
Ulcerative_colitis,4.701369454694047e-10,3.3955037591161813e-07,2.4281392258958658e-08,56.41025641025641
Acetanaerobacterium,1.1211695682400435e-09,1.9182653426738415e-07,4.637331061758439e-06,38.46153846153847
Anaerofustis,2.853559326348087e-09,1.038236962320956e-07,4.637331061758439e-06,41.02564102564102
N03AE01_.clonazepam.,3.152272783783726e-09,9.26116818221864e-06,9.902475169475555e-06,17.94871794871795
Pelomonas,5.195653839444052e-09,3.36016601969335e-07,5.374295309539173e-10,146.15384615384613
unclassified_Deferribacteraceae,1.482389484326064e-08,4.1138963955512104e-05,1.7776001506832087e-08,117.94871794871796
Smoker,2.088365892127411e-08,0.00011120507240145074,3.738617722148804e-09,120.51282051282051
Clostridium_XVIII,2.8610646209670463e-08,0.00036093714254958865,4.637331061758439e-06,48.717948717948715
unclassified_Streptococcaceae,3.894761312322266e-08,6.225050409445584e-06,5.703491418411757e-10,164.1025641025641
Anaerotruncus,5.4601982576366907e-08,2.667317477348337e-07,4.637331061758439e-06,51.28205128205128
Salmonella,5.597672276659836e-08,0.0004884430275429245,0.0001830602373537301,15.384615384615385
unclassified_Saprospiraceae,9.150873408837178e-08,1.1023288703261978e-05,3.664906986314139e-07,66.66666666666666
Peptostreptococcus,1.3853409665557244e-07,0.0033445008716393603,2.1936890364942657e-07,100.0
Clostridium_XlVb,3.2834952946853494e-07,3.057489940366392e-05,5.903841664015872e-11,233.33333333333334
Odoribacter,5.305264310960392e-07,1.8378391111770647e-09,4.3078736839474584e-10,215.3846153846154
Lactonifactor,5.379574359081569e-07,3.258799556965307e-07,1.651413323429353e-06,76.92307692307693
Coffee_.days_since_consumed.option,7.636392557031801e-07,0.0011422753243196019,4.637331061758439e-06,64.1025641025641
A07EC02_.mesalazine.,7.903511076338308e-07,0.0004922222258745367,2.4551954796269073e-06,38.46153846153847
Meat_.average_past_week.option,8.546618102779719e-07,9.184980965176589e-07,1.2114253867794861e-08,153.84615384615387
Gemella,8.547564934156374e-07,1.4588032491243172e-05,9.902475169475555e-06,28.205128205128204
Robinsoniella,1.7932800672392214e-06,2.0223603042731596e-06,4.637331061758439e-06,69.23076923076923
