other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Anaerophaga,4.889996551393066e-15,2.906539169985422e-05,8.134921811467293e-12,80.0
Pelomonas,5.795985936481509e-15,4.752239832788359e-12,2.856153532302034e-10,95.0
Fusobacterium,4.335572532296184e-13,0.02082772549606939,1.0150157979973664e-05,23.333333333333332
Aerococcus,2.2925788444152e-12,0.00917270145662447,2.0799739084287124e-06,33.33333333333333
Anaerobiospirillum,6.812278921230508e-12,0.0006998531982243699,1.0184737537714875e-07,40.0
Eggerthella,1.4504252773238674e-10,7.532015939936019e-08,1.8793563573797586e-07,25.0
unclassified_Streptococcaceae,1.5431670929796336e-09,7.000336752899871e-08,3.7097311276207056e-09,106.66666666666667
unclassified_Dehalogenimonas,1.5343258369442363e-08,2.0303951258444745e-09,1.2107526504997465e-07,81.66666666666667
Paraprevotella,2.064806369052309e-08,1.3499215715140213e-06,6.203941819286483e-08,66.66666666666666
Facklamia,9.323233433011656e-08,0.01000280024878163,2.0799739084287124e-06,56.666666666666664
unclassified_Aquificaceae,1.2482756738839214e-07,0.00021709914826138462,1.239630366786222e-05,43.333333333333336
Flavonifractor,1.9010343802922964e-07,2.9238089260872714e-07,0.00014011662358121927,31.666666666666664
Beta.globulin,5.750872198739921e-07,1.7220891292520003e-07,4.368156059874049e-08,71.66666666666667
unclassified_Methanomicrobiaceae,8.546618102778592e-07,7.202741358093514e-05,2.0565313867549425e-06,65.0
J01CR02_.amoxicillin_and_enzyme_inhibitor.,8.546618102778592e-07,1.2114253867794861e-08,9.184980965176589e-07,65.0
Salmonella,8.589441108717976e-07,0.0004884430275429245,0.00011963512098503746,10.0
unclassified_Acidaminococcaceae,1.2882409643902577e-06,5.415162310823113e-11,1.8456596581889358e-09,123.33333333333334
Alcohol_.average_past_week.option,2.321629313881094e-06,8.227008826574203e-08,3.0101741190362953e-07,106.66666666666667
Mogibacterium,5.126723010168375e-06,5.651346037351138e-10,1.2107526504997465e-07,111.66666666666667
Roseburia,5.146604232769988e-06,5.192557140669811e-14,6.390390269429222e-13,225.0
Syntrophococcus,7.413442086847631e-06,0.010676974316766128,0.00038670611917041676,16.666666666666664
unclassified_Corynebacteriaceae,8.023112954568058e-06,0.001280638335386173,0.00015011908655235233,35.0
Olsenella,8.347027085304346e-06,1.3487481868215102e-08,8.349627537099234e-07,85.0
unclassified_Sphingobacteriaceae,8.626726301874756e-06,0.0003643994665203713,4.117676217003229e-05,58.333333333333336
Bread_type_preference.option,1.156771919119081e-05,0.001488567857685478,2.3361726777969966e-07,96.66666666666667
unclassified_Euzebyaceae,1.2428287298521902e-05,0.0005778271852666278,6.947431245661735e-05,51.66666666666667
Mucispirillum,1.7101756088508566e-05,5.7830450467795613e-05,0.00014011662358121927,45.0
Red_blood_cell_count,1.896517930182943e-05,1.4898693358884134e-06,2.8893171776793927e-09,131.66666666666666
unclassified_Spirochaetaceae,2.2082953970480396e-05,0.0317059033772174,0.0009684616888711658,38.333333333333336
unclassified_Elioraea,3.4869403583229696e-05,1.9785715052712545e-05,0.00015011908655235233,40.0
Dialister,3.7851814576210196e-05,1.3984217803814147e-07,1.5994167117829497e-07,56.666666666666664
Megasphaera,3.7851814576210196e-05,5.47611290388942e-07,3.2664508741127277e-06,56.666666666666664
unclassified_Thiotrichales,4.699042800078055e-05,0.000175185288645737,4.946413096246413e-05,66.66666666666666
unclassified_Deferribacteraceae,5.252308622477058e-05,1.7655551358228113e-05,2.9121348707932926e-06,76.66666666666667
Bloating_.days_past_week.option,5.352681456748712e-05,2.270023291739369e-05,3.3409297797771683e-05,41.66666666666667
Pets_.past_3_months.,0.00014773591181558297,9.854275475236548e-05,4.0154238103668414e-07,114.99999999999999
Beer_consumption.option,0.0001561824154380877,0.001256062098395658,1.8222312221601584e-07,126.66666666666666
Granulicatella,0.00017958739460798037,0.0010673171760686802,2.089838728966529e-06,65.0
