n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps0,28,Glomerular_filtration_rate,0.0016645403309982426,0.00035890414702325545,0.11384629800665805,0.005201375332530359,0.7437736057682318,15.873015873015872
comps0,28,Clostridium_XlVb,3.3777839279081812e-09,3.718198595946758e-10,,0.023489183943660882,,20.87912087912088
comps0,28,Pets_.past_3_months.,5.545707067092856e-08,3.887135467293239e-10,,0.028791688382905845,,24.637681159420293
comps0,28,Mean_corpuscular_hemoglobin_concentration,2.1739781121363144e-05,0.0006103343814928985,,0.03150864412509398,,13.043478260869565
comps0,28,Roseburia,2.534425742973731e-11,1.5324877223859305e-15,0.06261737421478714,0.04223430201705801,0.07539027533757137,19.25925925925926
comps2,19,Slackia,0.0001304689206501013,0.0044101879904714265,,0.004673395229062057,,10.44776119402985
comps2,19,Bread_type_preference.option,8.311053273028154e-09,5.655689114183751e-13,0.6018449674634235,0.008607411726405044,0.13375807815887172,25.862068965517242
comps2,19,Dorea,2.2504949400997163e-06,9.053341275086913e-06,0.11110299424196111,0.013143730341765069,0.1189952400491853,13.580246913580247
comps2,19,unclassified_Thermotogales,6.248874283676826e-06,2.6409356597742663e-08,,0.037242544595979345,,33.33333333333333
comps2,19,Allobaculum,6.703601949233189e-10,1.9990350320862686e-11,,0.040070138055181205,,25.0
comps2,19,unclassified_Dehalogenimonas,4.890448577376529e-16,2.5994395690032726e-22,,0.04768799959382193,,38.775510204081634
comps3,12,Prevotella,7.146129840754769e-13,5.03344436726242e-10,,5.784453092590523e-05,,12.5
comps3,12,Hip_circumference,0.0010151035097972858,0.009674316000214813,,0.005714624817134975,,9.523809523809524
comps3,12,unclassified_Prevotellaceae,0.002573935154613136,0.0005208577065282805,0.010515245935858907,0.019744031125652445,0.09208999183453322,10.0
comps3,12,Gender:M,1.961831455782912e-05,2.7663393982752446e-07,0.6223746993013362,0.03772269153385881,0.45376155703758303,8.661417322834646
