other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Hydrogenoanaerobacterium,3.402742458087509e-20,1.0276784987084053e-06,0.0013189715239915745,68.96551724137932
Thermogymnomonas,3.4568087129435874e-17,3.118313670893455e-05,0.0019736355936940298,106.89655172413792
unclassified_Thiohalobacter,1.89834748728645e-16,9.76708891255767e-06,0.005664754130710138,44.827586206896555
unclassified_Aerococcaceae,1.6610675671672968e-15,1.1275087309412601e-07,0.0013189715239915745,106.89655172413792
Plan_to_change_weight.option,1.6880518280951967e-14,2.5247157706740395e-11,0.0015068039553461493,224.13793103448273
unclassified_Verrucomicrobiaceae,3.3389369391677704e-14,8.073983575531117e-12,0.003907400107554067,200.0
Rikenella,1.2010075261796117e-13,0.0003878348166243426,0.004113612064043169,110.34482758620689
Time_since_previous_relief.option,1.746296298918987e-13,6.084743173638571e-07,0.0013189715239915745,134.48275862068965
unclassified_Thiotrichaceae,2.7599752497009883e-13,6.99147710257566e-08,0.003907400107554067,220.68965517241378
unclassified_Desulfovibrionaceae,4.565040332547507e-13,3.5741888634035863e-09,0.00586163601496126,141.3793103448276
Q10_supplement,6.23623108740017e-13,1.4955916125250644e-05,0.005664754130710138,65.51724137931035
unclassified_Helicobacteraceae,6.500941923798138e-13,2.094041989871104e-06,0.012004333661193856,100.0
Cerasicoccus,7.240945845741007e-13,4.750661165287616e-10,0.003907400107554067,231.0344827586207
unclassified_Chitinophagaceae,7.240945845741007e-13,3.1905440562589956e-11,0.003907400107554067,231.0344827586207
unclassified_Thermoactinomycetaceae,4.278493877825359e-12,6.181503715904744e-12,0.003907400107554067,251.72413793103448
Akkermansia,4.5199276296981285e-12,2.6747421183707877e-09,0.05508200663759827,134.48275862068965
unclassified_Eubacteriaceae,7.431887363093152e-12,3.992821793963234e-12,0.003907400107554067,258.62068965517244
unclassified_Natranaerobiaceae,9.940985214664631e-12,4.790572203670738e-09,0.0001836771564199048,386.2068965517241
unclassified_Bacillales,2.0192171797109146e-11,1.093852086043578e-05,0.008024998028192284,203.44827586206895
