n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps2,19,unclassified_Ruminococcaceae,4.992508740634664e-08,5.1561968794353214e-12,,1.4908110967275983e-09,,12.258064516129032
comps2,19,unclassified_Gracilibacteraceae,4.992508740634664e-08,3.828497471596889e-15,,5.79075139781969e-09,,17.431192660550458
comps2,19,Methanobrevibacter,4.992508740634664e-08,6.724343385219278e-15,,2.3294161350717272e-08,,16.964285714285715
comps2,19,unclassified_Clostridiales,4.992508740634664e-08,2.684072458515447e-13,,9.4382325922696e-06,,14.17910447761194
comps2,19,unclassified_Clostridiaceae,4.992508740634664e-08,8.08351917584863e-15,,1.7746893045830597e-05,,16.8141592920354
comps2,19,unclassified_Heliobacteriaceae,4.992508740634664e-08,4.235474594107328e-18,,4.326108256863057e-05,,24.050632911392405
comps2,19,unclassified_Oxalobacteraceae,4.992508740634664e-08,2.142444210862473e-15,,0.0002944833046359203,,17.92452830188679
comps2,19,unclassified_Peptococcaceae,4.992508740634664e-08,1.5830437342113383e-17,,0.0003144317681973418,,22.61904761904762
comps2,19,unclassified_Natranaerobiaceae,7.688463460577408e-05,3.828497471596889e-15,0.006397509166658576,0.00033544607898642107,0.005031490724621516,16.964285714285715
comps2,19,unclassified_Eubacteriaceae,4.992508740634664e-08,1.3746184885717388e-18,,0.0014146607650089625,,25.333333333333336
comps2,19,unclassified_Thermoanaerobacteraceae,4.992508740634664e-08,2.3531420323372035e-14,,0.003839901918302552,,15.966386554621847
comps2,19,unclassified_Incertae,4.992508740634664e-08,4.151164268960398e-16,,0.006471948237091412,,19.387755102040817
comps2,19,unclassified_Coriobacteriaceae,3.295055768818889e-06,6.4318438591567815e-12,,0.011783380898366589,,16.50485436893204
comps2,19,Victivallis,0.0034949558187939,5.526488076471959e-07,,0.018182160586921,,16.923076923076923
comps2,19,Enterorhabdus,5.491759614698151e-07,5.768260917070025e-15,,0.02049433697962485,,20.454545454545457
comps2,19,Mogibacterium,4.997501249375307e-05,4.924489925905899e-12,,0.02053759388927773,,22.388059701492537
comps2,19,Plan_to_change_weight.option,8.637040121297998e-05,6.467889338570446e-18,0.06772559147846507,0.0248233285068707,0.731914390166458,27.692307692307693
comps2,19,unclassified_Thermoactinomycetaceae,4.992508740634664e-08,7.628513414055712e-19,,0.03361566923176865,,26.027397260273972
