other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Bacteroides,6.255216799735673e-17,1.9586871263641813e-21,4.153613804822503e-15,186.95652173913044
Yersinia,2.609482478410822e-13,0.010339474831364895,2.4319849800321175e-05,24.637681159420293
unclassified_Thiotrichales,2.539242629541313e-12,2.14075717476082e-08,4.731322553608963e-08,57.971014492753625
Soy_products_.average_past_week.option,7.662922668548551e-11,4.125661595307319e-09,9.461608060118764e-06,34.78260869565217
Glomerular_filtration_rate,8.096326957755324e-11,1.3089483518147574e-12,3.124355963730511e-08,91.30434782608695
Granulicatella,1.7198402840318718e-08,1.5247670609845137e-06,3.367641675246028e-06,56.52173913043478
Parabacteroides,1.8231752295321125e-08,2.8639918704751085e-12,1.295604900541866e-07,82.6086956521739
Coffee_.days_since_consumed.option,3.858750561881125e-08,2.3105161794680555e-05,1.790884437240321e-05,36.231884057971016
HDL_cholesterol,2.3013300650473495e-07,2.6210528417483815e-09,3.3231466176149424e-10,78.26086956521739
Clostridium_XlVb,9.080481630479685e-07,1.6735573729481366e-07,1.5847358638785439e-06,131.8840579710145
Peptostreptococcus,9.822631260753823e-07,0.0002506954084171955,4.9196016758980015e-05,56.52173913043478
unclassified_Bradyrhizobiaceae,1.71458567556993e-06,0.009661673222965723,8.128482902090283e-07,65.21739130434783
Aerococcus,1.8027884604475828e-06,0.011053146180263663,0.007059076871152325,28.985507246376812
Roseburia,4.725612536520458e-06,2.0535291996108788e-15,2.2414901511718852e-08,195.65217391304347
J01CR02_.amoxicillin_and_enzyme_inhibitor.,6.193580324681104e-06,3.148532995898193e-08,1.1177546639977832e-05,56.52173913043478
Flavonifractor,9.723787261624884e-06,2.218253889703368e-07,0.02041043610868981,27.536231884057973
Mucispirillum,1.0536832866779924e-05,0.004549058412133131,0.0003448092924854849,39.130434782608695
unclassified_Rhodobacteraceae,2.4378526353396828e-05,0.0022787831498293607,1.4763914747983714e-05,55.072463768115945
Beta.globulin,2.555077483004824e-05,2.849840889732725e-07,5.727392951220266e-05,62.31884057971014
Beer_consumption.option,2.8569802413656354e-05,0.0009998561623873325,7.491470353053273e-06,110.14492753623189
Breakfast_.N_past_week.,4.1712785997080535e-05,3.5694623507588944e-05,9.911399161731369e-09,79.71014492753623
Sutterella,6.485591726783404e-05,3.710164552869128e-06,1.4771439435305379e-06,66.66666666666666
Acetanaerobacterium,7.620562480993179e-05,0.0009570773561246501,8.668453127715985e-05,21.73913043478261
Chronic_fatigue_syndrome,7.620562480993179e-05,0.001321464326463378,4.943464518732671e-06,21.73913043478261
Eggerthella,7.620562480993179e-05,4.798352266982084e-06,0.034031973774800384,21.73913043478261
Salmonella,0.00010290097850115693,0.0023503348599165012,0.011196397241086547,8.695652173913043
Gordonibacter,0.0001268570877515491,1.931136267648864e-06,6.964028457101037e-06,34.78260869565217
Anaerofustis,0.00013824470531120168,8.771903133789425e-06,1.9769228296730756e-05,23.18840579710145
Meat_.average_past_week.option,0.00014773591181555285,4.0154238103668414e-07,9.854275475236548e-05,86.95652173913044
unclassified_Methanomicrobiales,0.00031994453104305796,3.000972735420229e-08,0.0008915480741458389,75.36231884057972
Fusobacterium,0.00038413293190027334,0.006251871127030646,0.0999681389192364,20.28985507246377
Facklamia,0.0007877640431177303,0.011896066211179886,0.007059076871152325,49.275362318840585
Alpha.2.globulin,0.0008563979166822816,4.279656352789422e-08,2.468345928157399e-06,65.21739130434783
Phascolarctobacterium,0.0010506241529465855,0.00023300532841942888,0.00010254482347423704,36.231884057971016
unclassified_Aeromonadaceae,0.001065141316383579,0.036548697505609996,0.00013713128554599445,17.391304347826086
Irritable_bowel_syndrome,0.0010832177856947393,9.19590347569876e-06,1.213766232798019e-06,66.66666666666666
