other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Weight_perception.option,3.9016087883683426e-42,1.4067634738552413e-17,1.4541693754409455e-20,109.23076923076923
Akkermansia,6.327900826861214e-32,5.1275527277350094e-21,2.7735752379097346e-14,60.0
Barnesiella,1.1831207317847814e-25,2.029990927591716e-19,1.7139427873612389e-12,86.15384615384616
unclassified_Puniceicoccaceae,6.699002809579896e-22,4.259675875804084e-16,3.3728868137614633e-14,78.46153846153847
unclassified_Thiotrichaceae,2.2634464145911932e-21,9.191619434554904e-18,5.721145380863027e-16,98.46153846153847
unclassified_Thermoactinomycetaceae,3.0441071885038548e-21,4.214630743830354e-21,3.3791630792499827e-16,112.3076923076923
Methanosphaera,3.4121288214498235e-21,5.102459941288686e-13,2.208803226035758e-09,30.76923076923077
unclassified_Methanocellaceae,4.009346613755382e-21,0.008233537595514413,2.9660545278990988e-09,47.69230769230769
unclassified_Eubacteriaceae,1.0789922767861318e-20,5.043756344386413e-21,3.3791630792499827e-16,115.38461538461537
unclassified_Desulfovibrionaceae,2.028026093466894e-20,1.4613306692783186e-10,7.613655782020342e-14,63.07692307692307
unclassified_Desulfomicrobiaceae,2.1189958634549193e-20,4.9391125633444786e-15,2.7735752379097346e-14,96.92307692307692
Gallicola,4.2503256841100563e-20,0.019098212811892726,4.0577240121016887e-07,29.230769230769234
unclassified_Chrysiogenaceae,4.2503256841100563e-20,0.019098212811892726,4.0577240121016887e-07,29.230769230769234
unclassified_Chitinophagaceae,3.14000644851263e-19,8.869222711841411e-17,1.3260795167458919e-15,103.07692307692307
Filifactor,5.190823282294197e-19,0.015955630851333502,1.3146454919929939e-07,27.692307692307693
unclassified_Methanomicrobiales,7.663415860510326e-19,7.396014399545655e-05,5.411832027662864e-12,80.0
unclassified_Heliobacteriaceae,1.6889221660378848e-18,2.9939704557814687e-16,1.4811541429793577e-15,121.53846153846153
unclassified_Peptococcaceae,1.7868164877925096e-18,2.171610695378894e-19,3.3791630792499827e-16,129.23076923076923
unclassified_Parachlamydiaceae,6.218173723583227e-18,0.01306635873765806,4.5133605702149945e-07,26.153846153846157
unclassified_Natranaerobiaceae,3.0519471309737414e-17,8.642266111772439e-17,9.067387977003344e-18,172.30769230769232
unclassified_Verrucomicrobiaceae,5.578982732937355e-17,2.312775942406449e-18,4.710251072656588e-13,89.23076923076924
Smoking_with_inhalation:Neen,2.261705365624164e-16,5.6500286339252235e-08,1.354230940088568e-15,86.15384615384616
unclassified_Dermatophilaceae,8.435193768900364e-16,0.008518933612016904,4.393924344755403e-06,23.076923076923077
