n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps0,14,Bacteroides,7.308104611142193e-08,2.929374311008302e-10,0.00019714074049639174,4.195251104709411e-07,0.9620776646953362,10.852713178294573
comps0,14,Mean_corpuscular_hemoglobin_concentration,0.007482604859278205,0.0025192037290279337,0.0060112108889040635,0.00010247946874092186,0.543535484687373,7.608695652173914
comps0,14,Saccharofermentans,3.635642517186675e-05,1.4083771803995052e-06,,0.011445919635635786,,33.33333333333333
comps0,14,unclassified_Enterobacteriaceae,0.0014784946236559144,1.8692642145859883e-05,,0.020921335337794014,,50.0
comps3,37,unclassified_Ruminococcaceae,5.088003970072171e-19,5.451773670345697e-23,,1.1990020960365638e-15,,23.870967741935484
comps3,37,unclassified_Incertae,5.088003970072171e-19,9.903972764080391e-32,,3.952519390573419e-07,,37.755102040816325
comps3,37,unclassified_Gracilibacteraceae,5.088003970072171e-19,1.2574037190328828e-29,,1.250833749805652e-06,,33.94495412844037
comps3,37,Methanobrevibacter,5.088003970072171e-19,4.2441681694480363e-29,,3.54334768596227e-06,,33.035714285714285
comps3,37,unclassified_Clostridiales,1.933441508627418e-17,7.99769863895069e-26,0.18607287212857182,4.136981158978383e-06,0.09323559877987687,27.611940298507463
comps3,37,unclassified_Natranaerobiaceae,5.1526216204920866e-14,8.305786033978848e-30,0.0011484893750945007,1.8768077066059196e-05,0.0011383371977686336,33.035714285714285
comps3,37,unclassified_Clostridiaceae,2.2132817269813967e-16,1.4338924983373464e-24,,3.264877882163626e-05,,30.973451327433626
comps3,37,Allobaculum,0.0015216943130785434,0.00039572090648187254,,0.00012512211238060759,,19.642857142857142
comps3,37,unclassified_Ignavibacteriaceae,0.00770520637614475,0.004550124359768492,,0.0003978576697079513,,16.9811320754717
comps3,37,unclassified_Oxalobacteraceae,1.933441508627418e-17,2.325266956504112e-30,0.7152841444606244,0.0007871579834657814,0.6879216385212379,34.90566037735849
comps3,37,unclassified_Peptococcaceae,5.088003970072171e-19,6.833797146543305e-35,,0.0020598353306694565,,44.047619047619044
comps3,37,unclassified_Hydrogenophilaceae,0.03270654517349395,0.0002622962473841163,,0.003405348079104697,,37.5
comps3,37,Akkermansia,2.2870577845474385e-15,1.0141884899664447e-45,,0.004884360758381813,,87.17948717948718
comps3,37,Alistipes,0.005292206881410843,2.9302499395228617e-08,0.8253628216941417,0.005417585600003113,0.19446984816491364,17.96875
comps3,37,unclassified_Eubacteriaceae,5.088003970072171e-19,2.5295130011079294e-37,,0.011317776708018031,,49.333333333333336
comps3,37,Oscillibacter,8.787710461870341e-07,1.9735621375353147e-16,,0.014505751698685244,,51.28205128205128
comps3,37,unclassified_Verrucomicrobiaceae,3.4939603102704017e-12,3.492103226906439e-27,,0.015534781429861262,,51.724137931034484
comps3,37,unclassified_Thermoanaerobacteraceae,7.637649823512077e-11,1.8433249394311965e-13,,0.0157333995444875,,23.52941176470588
comps3,37,Chocolate_type_preference.option,0.0034467094062926432,1.8288496136872537e-05,,0.01639173967898141,,29.411764705882355
comps3,37,unclassified_Methanomicrobiales,0.005292206881410843,3.0652368422866943e-19,0.00381577929826735,0.017120622338826733,0.2310451624139389,44.230769230769226
comps3,37,unclassified_Thermoactinomycetaceae,5.088003970072171e-19,6.408099602806789e-38,,0.021417969187265132,,50.68493150684932
comps3,37,unclassified_Syntrophorhabdaceae,9.12922222114613e-06,4.051579685655857e-14,,0.0285068904286612,,53.125
comps3,37,unclassified_Heliobacteriaceae,1.4755211513209306e-17,1.420429244532943e-33,,0.03307515653207058,,45.56962025316456
comps3,37,Breakfast_.N_past_week.,9.302322198583475e-06,5.727430905576486e-13,1.0,0.048796126392049534,0.5860416230076372,36.36363636363637
