other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
unclassified_Geminicoccus,1.0435618354641524e-25,2.785217310934018e-07,3.6713544517417478e-06,100.0
Time_since_previous_relief.option,2.3775086637632676e-25,3.8873739956742367e-10,5.395941468442944e-08,205.26315789473685
unclassified_Thiohalobacter,1.8733376784766485e-19,9.76708891255767e-06,1.4955916125250644e-05,68.42105263157895
unclassified_Bacillales,1.1953411209428817e-18,1.1632106056665772e-07,2.2128685966928662e-08,310.5263157894737
Hydrogenoanaerobacterium,1.6775294867293968e-15,1.451286401168228e-07,1.4955916125250644e-05,105.26315789473684
N06AX16_.venlafaxine.,6.236231087399353e-13,0.005664754130710138,1.4955916125250644e-05,152.63157894736844
unclassified_Helicobacteraceae,6.236231087399353e-13,2.753794393502347e-05,1.4955916125250644e-05,152.63157894736844
unclassified_Aerococcaceae,1.657214646091107e-12,1.5654993452434415e-08,1.4955916125250644e-05,163.1578947368421
Thermogymnomonas,1.657214646091107e-12,3.4463308352631174e-05,1.4955916125250644e-05,163.1578947368421
unclassified_Puniceicoccaceae,1.729967041598393e-12,3.4400603771207717e-08,3.63244954638613e-09,268.42105263157896
Rikenella,2.6211189852269827e-12,2.9242728309989705e-05,1.4955916125250644e-05,168.42105263157893
unclassified_Moraxellaceae,3.941923802454864e-12,0.002786870914255013,6.306747918014422e-05,131.57894736842107
unclassified_Thermomicrobiaceae,1.0326855966526273e-11,0.001233117070395702,0.0012720355241888025,36.84210526315789
Marvinbryantia,1.0326855966526273e-11,0.001233117070395702,0.0012720355241888025,36.84210526315789
Sporobacter,5.532649700239659e-11,2.936467502115403e-09,8.184617608568553e-09,621.0526315789474
unclassified_Desulfovibrionaceae,8.257740914698871e-11,6.689822034461762e-08,1.4955916125250644e-05,215.78947368421052
unclassified_Conexibacteraceae,2.249623767692145e-10,3.669381498322279e-05,6.142787177889092e-05,178.94736842105263
unclassified_Prolixibacter,2.868652667806148e-10,1.706183068653155e-07,1.4955916125250644e-05,236.84210526315786
unclassified_TM7,3.585330595058399e-10,0.013066137032057086,0.0012720355241888025,47.368421052631575
unclassified_Waddliaceae,1.4748043375250626e-09,3.67082205388456e-05,1.4955916125250644e-05,268.42105263157896
unclassified_Methanomicrobiales,1.8945332736506412e-09,0.008620216309724012,1.4955916125250644e-05,273.6842105263158
Smoking_with_inhalation:Neen,4.886316352545143e-09,3.175122353991667e-05,1.4955916125250644e-05,294.7368421052631
Collinsella,4.886316352545143e-09,3.938136983303863e-05,1.4955916125250644e-05,294.7368421052631
