n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps1,12,unclassified_Ruminococcaceae,1.9845995078193222e-05,8.664739259868086e-08,,1.7259878020747693e-08,,7.741935483870968
comps1,12,unclassified_Gracilibacteraceae,1.9845995078193222e-05,1.046727805266313e-09,,2.601211851201791e-07,,11.009174311926607
comps1,12,unclassified_Clostridiaceae,1.9845995078193222e-05,1.6506813592903061e-09,,4.839447432257537e-05,,10.619469026548673
comps1,12,unclassified_Thermoanaerobacteraceae,1.9845995078193222e-05,3.169487771486586e-09,,0.00013761035346941355,,10.084033613445378
comps1,12,Methanobrevibacter,1.9845995078193222e-05,1.4753877636134634e-09,,0.00022635619097194582,,10.714285714285714
comps1,12,Mogibacterium,1.9845995078193222e-05,2.0031776532894923e-12,,0.0004254023245267224,,17.91044776119403
comps1,12,unclassified_Peptococcaceae,1.9845995078193222e-05,3.774324854705161e-11,,0.0004952742752872116,,14.285714285714285
comps1,12,unclassified_Heliobacteriaceae,1.9845995078193222e-05,1.7105663677714194e-11,,0.0008811566482563651,,15.18987341772152
comps1,12,unclassified_Clostridiales,1.9845995078193222e-05,1.4073656917903855e-08,,0.0044535966747781125,,8.955223880597014
comps1,12,unclassified_Aerococcaceae,1.9845995078193222e-05,4.7138779438661874e-17,,0.006191066451899968,,38.70967741935484
comps1,12,Plan_to_change_weight.option,1.9845995078193222e-05,1.3454178268362395e-12,,0.007941593858816674,,18.461538461538463
comps1,12,Methanosphaera,0.012820512820512794,1.7846057668211055e-10,,0.020637558243972183,,40.0
comps1,12,unclassified_Eubacteriaceae,1.9845995078193222e-05,8.726216552065086e-12,,0.020761528303730705,,16.0
comps1,12,unclassified_Victivallaceae,1.9845995078193222e-05,1.174898556931577e-09,,0.022211905254259784,,10.909090909090908
comps1,12,unclassified_Oxalobacteraceae,1.9845995078193222e-05,7.351336496635344e-10,,0.034101947078359125,,11.320754716981133
comps1,12,unclassified_Natranaerobiaceae,1.9845995078193222e-05,1.4753877636134634e-09,,0.04874558737008263,,10.714285714285714
