other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Hemoglobine,1.2409098517515073e-42,2.4234453973943946e-25,3.3939641934970966e-24,170.8860759493671
Gender:M,1.5640116109380633e-35,2.3204651138293632e-23,4.579891624153274e-22,160.75949367088606
Beer_consumption.option,4.419490455779345e-22,2.0304943645504076e-11,2.626976833950971e-15,96.20253164556962
Haemophilus,9.231593616136055e-22,5.089384415278089e-12,2.042359456152189e-09,34.177215189873415
Roseburia,4.4760958977402633e-17,1.2540992374098167e-26,6.7136917819682975e-18,170.8860759493671
Bristol_stool_score,5.742824766516474e-15,3.251209971261495e-18,4.8149430048672074e-15,159.49367088607596
Height,1.0037972168637826e-14,8.970434197902489e-15,4.03284975317005e-14,89.87341772151899
unclassified_Pasteurellaceae,1.481026471000913e-11,1.0835064644423287e-06,3.7892386408964794e-06,15.18987341772152
Bifidobacterium,9.504864433888405e-11,2.671563585047832e-08,2.177377211010481e-06,21.518987341772153
L04AB_.TNF.alpha_inhibitors.,1.2137078216126544e-10,0.0013075739975774872,7.2929560999691615e-09,31.645569620253166
Clostridium_XI,3.0559674242243632e-09,2.966155868374177e-12,3.646725005403067e-08,91.13924050632912
Anaerostipes,4.452885283253542e-09,7.212994078285805e-12,2.5258953100148647e-14,143.03797468354432
Cloacibacterium,7.86521788459227e-09,0.03866937626940439,0.0007807007249880873,16.455696202531644
unclassified_Lactobacillaceae,7.86521788459227e-09,1.3398055617795314e-07,0.00020645529469500324,16.455696202531644
Actinobacillus,1.4122521966379513e-07,1.4721971255585429e-05,7.799468152896231e-06,39.24050632911392
Ulcerative_colitis,3.0962777127941564e-07,4.9608285806843416e-06,1.9055056743361298e-06,27.848101265822784
unclassified_Peptostreptococcaceae,3.6127927148457375e-07,3.572096984265964e-08,5.331502759678442e-06,36.708860759493675
Uric_acid,6.270996899985553e-07,1.3690037696277825e-09,5.451769152489881e-09,98.73417721518987
Blautia,9.000155889295693e-07,1.785681340390505e-12,4.0774591491577456e-11,183.54430379746836
