n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps1,37,Roseburia,6.873082140087429e-10,6.395312565086985e-25,5.138973190461749e-06,3.980252683510621e-09,0.9040845869774553,26.666666666666668
comps1,37,Faecalibacterium,1.659497480420369e-13,6.41536730172753e-14,0.09631356460160362,4.072337449450957e-08,0.3341693898868905,18.53932584269663
comps1,37,Hemoglobine,0.0027709597950441936,1.6259303620744523e-30,0.21020344558300585,6.562676805429909e-05,0.01665456344877011,27.40740740740741
comps1,37,Bloating_.days_past_week.option,9.46102120348581e-05,6.3739229528783e-08,,0.010907842959036329,,44.0
comps1,37,Mean_corpuscular_hemoglobin_concentration,0.00018811541746947282,0.00023145625571200016,0.456056540250256,0.019079839248169257,0.14507050832034962,16.304347826086957
comps2,15,unclassified_Lachnospiraceae,3.163116720023417e-11,1.582433543956779e-09,0.012334708485158772,0.009923200212945526,0.0008234460891014493,10.06711409395973
comps2,15,Bread_type_preference.option,0.03455787761087103,0.00010627239937057848,0.026494636154589267,0.03646983035602654,0.41621760692725096,12.068965517241379
comps5,17,Hip_circumference,9.105165263626494e-06,1.460124114533956e-08,0.3221988061625817,0.0062409017355999664,0.19982283223025854,23.809523809523807
comps5,17,Prevotella,2.139554058457401e-15,4.724832176616932e-14,0.5065551690490403,0.009919420642252109,0.5325042685883554,17.708333333333336
comps5,17,unclassified_Euzebyaceae,1.1811778435174316e-07,4.226276690520788e-08,,0.032969765151724506,,29.03225806451613
comps5,17,Body_mass_index,8.425771081124593e-10,9.04085812315705e-11,0.2344826070931848,0.033585601989313915,0.06112579865167481,22.413793103448278
comps5,17,Haemophilus,0.042695980250035334,1.5310489181285506e-13,0.610384513874678,0.033894853524689246,0.06779871242892292,33.33333333333333
comps5,17,Clostridium_sensu_stricto,0.011044586042150849,6.748649706271461e-05,0.010515245935858907,0.038751092662341564,0.2355706292492803,11.11111111111111
comps5,17,Dialister,5.465246858094677e-13,6.365148014877466e-16,,0.042399532851850226,,41.17647058823529
