other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
unclassified_Thermoactinomycetaceae,3.3611074727836776e-33,4.655911698987927e-26,1.3713840290762109e-11,98.64864864864865
Akkermansia,1.6727627771500055e-27,4.5834747172150845e-20,3.200171506792938e-08,52.702702702702695
unclassified_Leptotrichiaceae,3.278104932997616e-27,0.004905989403790794,6.506332083676234e-07,36.486486486486484
unclassified_Eubacteriaceae,2.852126561979532e-25,2.9625428236626907e-23,1.8917500189045733e-10,101.35135135135135
Barnesiella,2.3394549613535493e-24,3.194739319056256e-20,4.183852086521096e-09,75.67567567567568
unclassified_Desulfomicrobiaceae,6.168156929095746e-23,6.018512975982112e-18,2.5067678935760866e-09,85.13513513513513
Oscillibacter,1.8447647091198108e-22,1.0298345375332592e-18,1.4510281997546668e-07,52.702702702702695
unclassified_Puniceicoccaceae,2.4972826323553005e-22,3.3798973045653734e-17,1.928354514958497e-08,68.91891891891892
Porphyromonas,1.749539393811224e-21,2.853957122625782e-07,2.39557801250234e-07,51.35135135135135
unclassified_Methanocellaceae,4.28365641650424e-21,0.00028156373643964394,1.0704544709820942e-06,41.891891891891895
unclassified_Beutenbergiaceae,6.2882218702150626e-21,5.694713593804536e-05,2.39557801250234e-07,52.702702702702695
Cloacibacillus,7.388076740020334e-19,2.077304267244614e-08,3.404056003306718e-05,25.675675675675674
unclassified_Porphyromonadaceae,9.34379563141284e-19,4.093979715092362e-15,6.654873815198758e-11,147.2972972972973
Alistipes,3.4039643220078442e-18,1.381158937844054e-23,1.3713840290762109e-11,172.97297297297297
unclassified_Peptococcaceae,5.9911548486675815e-18,4.635522798631345e-20,1.4996962238555273e-09,113.51351351351352
Streptobacillus,7.572778658521413e-18,0.02287131308326707,5.564813267988638e-05,24.324324324324326
unclassified_Haloplasmataceae,7.572778658521413e-18,4.1109748313570844e-08,5.564813267988638e-05,24.324324324324326
Filifactor,7.572778658521413e-18,0.015955630851333502,5.564813267988638e-05,24.324324324324326
unclassified_Gracilibacteraceae,9.861656741126337e-18,1.503357584872445e-22,1.1229377332989829e-10,147.2972972972973
Bilophila,1.3247961662076152e-17,1.3701245464036907e-12,2.5067678935760866e-09,109.45945945945945
unclassified_Heliobacteriaceae,4.994588067835364e-17,1.9530792393049308e-14,4.183852086521096e-09,106.75675675675676
unclassified_Incertae,6.34511571223153e-17,5.408102173142508e-23,5.343095683379047e-10,132.43243243243242
Aeromonas,7.639206541493988e-17,0.01592044707944414,9.093917454676772e-05,22.972972972972975
unclassified_Parachlamydiaceae,7.639206541493988e-17,0.01306635873765806,9.093917454676772e-05,22.972972972972975
unclassified_Oxalobacteraceae,2.463708922576038e-16,4.1315390298744256e-20,3.18180139076095e-10,143.24324324324326
Methanobrevibacter,3.471133442366754e-16,1.4086362470490246e-19,1.8917500189045733e-10,151.35135135135135
unclassified_Natranaerobiaceae,3.471133442366754e-16,7.326842245445102e-22,1.8917500189045733e-10,151.35135135135135
Methanosphaera,1.184983685400238e-15,6.478181375521558e-12,5.564813267988638e-05,27.027027027027028
unclassified_Clostridiaceae,4.49324814449168e-15,3.7509464451872077e-23,3.18180139076095e-10,152.7027027027027
Mannheimia,7.41936169631271e-15,0.01804372287464352,0.00024275166077742603,20.27027027027027
unclassified_Chrysiogenaceae,1.0730073253370899e-14,0.01306635873765806,9.093917454676772e-05,25.675675675675674
Gallicola,1.0730073253370899e-14,0.01306635873765806,9.093917454676772e-05,25.675675675675674
unclassified_Clostridiales,2.118947651300767e-14,2.363577327197941e-22,6.654873815198758e-11,181.08108108108107
Plan_to_change_weight.option,3.1780472308956283e-14,1.2233802343969332e-12,8.778140541547679e-08,87.83783783783784
Weight_perception.option,8.045097559069454e-14,5.464972243883137e-12,5.3036341887691494e-08,95.94594594594594
