other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Facklamia,2.0574876500137957e-26,8.524378665964727e-06,4.6639844225248576e-07,59.64912280701754
Acinetobacter,1.5831909252774123e-20,0.0008438873408124186,1.1902335610184627e-06,42.10526315789473
Bacteroides,6.583784345646983e-19,4.777363656800428e-18,5.15284100522186e-12,226.3157894736842
unclassified_Fusobacteriaceae,7.81805174190596e-18,0.001579656636301224,0.00020964095842772638,31.57894736842105
Alcohol_.average_past_week.option,2.513367275727713e-16,8.704536252756562e-13,8.7553193361065e-12,112.28070175438596
Coprobacillus,1.6834588086353883e-14,1.9296442000913093e-05,4.2655778960214105e-05,26.31578947368421
Clostridium_XlVb,2.8015147467609958e-14,1.950183764765688e-09,3.030839925268365e-08,159.64912280701756
Veillonella,8.25226830589073e-14,8.212337410911295e-05,7.678995994064805e-08,59.64912280701754
J01CR02_.amoxicillin_and_enzyme_inhibitor.,1.893964730892226e-13,3.106793011671515e-12,1.6065910319505151e-06,68.42105263157895
Fusobacterium,2.0650823871920865e-13,0.013630362170293208,0.001001992934010798,24.561403508771928
L04AX01_.azathioprine.,5.95149188226902e-12,0.0004887644111528003,8.877188144573912e-07,56.14035087719298
unclassified_Thermaceae,7.13370553470735e-12,1.936237305995371e-05,1.4559705478017146e-05,28.07017543859649
Aerococcus,3.03113785364029e-11,0.02550317405106443,0.0005743474703954918,35.08771929824561
Paraeggerthella,1.7331663571311929e-10,3.7350373242805823e-06,0.0012666865866580597,22.807017543859647
Flavonifractor,2.7719542346851043e-10,5.828746696960673e-08,1.9079541703692006e-05,33.33333333333333
J01CA04_.amoxicillin.,1.5198392192256459e-09,4.344536765179796e-11,1.1165111806352969e-06,80.7017543859649
Eggerthella,2.6077152406348744e-09,7.207432458025435e-07,0.000793364430201578,26.31578947368421
Sick_leave_.freq._past_year.option,3.6864092961168346e-09,3.068885426941667e-09,1.8450069317973491e-06,84.21052631578947
Mean_corpuscular_hemoglobin_concentration,5.329425107595293e-08,3.4627368719744495e-06,5.366077763903012e-05,161.4035087719298
Pelomonas,1.098466450051576e-07,4.691100768922606e-06,8.938407520608998e-08,100.0
Mucispirillum,1.1332550822844e-07,3.3371872080460664e-05,1.9079541703692006e-05,47.368421052631575
J01XE01_.nitrofurantoin.,2.0196971010367425e-06,0.0031609159081201262,0.001681394377279092,66.66666666666666
Phascolarctobacterium,3.98182898778769e-06,5.86147582126434e-07,0.0006639858641434367,43.859649122807014
Sutterella,4.904216159364793e-06,3.829796827869177e-10,8.819234013589348e-06,80.7017543859649
Ulcerative_colitis,8.248085365557875e-06,6.6945404123127556e-06,0.0007843220990423046,38.59649122807017
unclassified_Thermoplasmataceae,1.1284393631408953e-05,0.008153575796635469,0.0007693622862632212,75.43859649122807
unclassified_Hahellaceae,1.1284393631408953e-05,0.000872216453881819,0.0005306330825134597,75.43859649122807
Smoking_with_inhalation:Ja,2.0689051585695975e-05,9.136291996102584e-07,1.471096955890359e-05,78.94736842105263
unclassified_Streptococcaceae,2.35532947192236e-05,6.225050409445584e-06,1.6047556121538034e-06,112.28070175438596
Height,2.5648752118288127e-05,4.0785484422287806e-08,6.947924775790656e-05,124.56140350877195
unclassified_Deferribacteraceae,2.7594917084702416e-05,0.00014237721091177127,0.0005743474703954918,80.7017543859649
L04AB_.TNF.alpha_inhibitors.,3.308157778190168e-05,0.0018457107346621135,0.00037799099168925424,43.859649122807014
Salmonella,3.905595277524769e-05,0.0023503348599165012,0.0920964124860178,10.526315789473683
Gastroentritis_.other_treatment.,4.2042506846493854e-05,1.7502179458919174e-06,3.2498842443312268e-06,105.26315789473684
unclassified_Methylococcaceae,7.31531954712024e-05,2.346597309599111e-05,0.0238804821768065,47.368421052631575
Alanine_transaminase_.ALT.,0.00012661317244267562,0.013981626189124465,0.10297206513141613,12.280701754385964
